pi,err
3.17035,0
3.17441,0.00287758
3.171,0.00338402
3.16709,0.0042353
3.15493,0.0113838
3.1464,0.0122748
3.14982,0.0109875
3.14402,0.0110425
3.1469,0.0101848
3.14351,0.00971324
3.14658,0.00930378
3.1436,0.00899387
3.14045,0.00883712
3.14007,0.00821392
3.13718,0.00815913
3.13957,0.00799081
3.13947,0.00752142
3.14005,0.00712624
3.14027,0.00675464
3.1413,0.00649374
3.14014,0.00628562
3.13886,0.00612954
3.13832,0.00588654
3.13937,0.00573326
3.13913,0.00550909
3.1372,0.0056246
3.13845,0.00555482
3.13917,0.00540195
3.13779,0.00538778
3.13775,0.00520832
3.13708,0.00508415
3.13664,0.00494394
3.13557,0.00490974
3.13696,0.00496083
3.13744,0.00484133
3.1362,0.00486146
3.13642,0.00473496
3.13667,0.00461678
3.13698,0.00450894
3.137,0.00439627
3.13553,0.00452947
3.13553,0.00442162
3.13512,0.0043378
3.13466,0.00426349
3.13421,0.00419217
3.13498,0.00417093
3.13547,0.0041109
3.13481,0.00407685
3.13588,0.0041307
3.13768,0.00442233
3.13824,0.00437153
3.13755,0.0043419
3.13866,0.00439994
3.13905,0.00433544
3.13907,0.00425666
3.13919,0.00418234
3.13869,0.00413853
3.13893,0.00407418
3.13873,0.00401024
3.13869,0.00394355
3.13882,0.00388081
3.13924,0.00384102
3.13947,0.00378701
3.13897,0.00376075
3.13911,0.00370573
3.13943,0.00366299
3.13994,0.00364332
3.13939,0.00363002
3.13952,0.00357941
3.13921,0.00354159
3.13917,0.00349189
3.13901,0.00344707
3.13889,0.00340211
3.13877,0.00335813
3.13881,0.00331357
3.13837,0.00329803
3.13884,0.00328788
3.13967,0.00334876
3.13922,0.00333649
3.13938,0.00329854
3.13944,0.00325837
3.13924,0.00322443
3.13921,0.00318573
3.13892,0.00316134
3.13931,0.00314786
3.13927,0.0031115
3.13935,0.00307675
3.13983,0.00307901
3.14008,0.00305506
3.13989,0.00302745
3.13967,0.00300196
3.13948,0.00297521
3.1405,0.00311138
3.14047,0.00307841
3.14047,0.00304601
3.14062,0.00301801
3.14088,0.00299797
3.14098,0.00296907
3.14129,0.00295586
3.14168,0.00295159
