1-unif,1-expo,1-lor,2-unif,2-expo,2-lor,10-unif,10-expo,10-lor,100-unif,100-expo,100-lor
0.122649,0.130849,-2.46556,0.426149,0.719442,-0.792947,0.361074,0.788945,0.697708,0.499566,1.02508,2.02612
0.169918,0.186231,-1.6919,0.250542,0.294225,-1.13918,0.440321,0.761049,-5.79986,0.522476,1.15094,-0.000897661
0.729649,1.30804,0.879663,0.603382,0.978214,0.403821,0.588718,0.998303,0.328642,0.517734,0.994397,0.0615697
0.331166,0.402219,-0.586466,0.4515,0.625232,-0.17844,0.310763,0.644796,-3.85168,0.489324,0.87839,-0.344617
0.477115,0.648393,-0.0720204,0.591072,0.934636,0.339472,0.427383,0.943798,1.37258,0.455501,0.884826,0.941714
0.571835,0.848246,0.229586,0.328921,0.469089,-1.69044,0.478551,1.08341,5.36655,0.465175,0.840528,-1.30855
0.705029,1.22088,0.750964,0.680524,1.14402,0.642271,0.521781,1.01274,0.483277,0.481883,1.05322,0.511769
0.0860072,0.0899326,-3.61046,0.495745,1.22446,-0.171122,0.480995,0.934422,-0.256863,0.451591,0.895096,-0.525603
0.656019,1.06717,0.533577,0.513758,0.765791,0.0532042,0.536562,0.943715,-1.33559,0.516323,1.01683,0.439791
0.905484,2.35898,3.26821,0.871025,2.08517,2.52081,0.420316,0.814052,-2.82048,0.480854,0.954222,-0.205532
0.371496,0.464413,-0.427169,0.573772,0.980368,0.375758,0.376804,0.808703,0.861507,0.524314,1.08515,3.94964
0.836567,1.81135,1.77341,0.428852,0.916357,-6.6317,0.516983,1.01816,-5.13577,0.427672,0.730058,-1.15997
0.776048,1.49632,1.17868,0.472186,0.840318,-0.266358,0.610931,1.1707,0.895736,0.485586,0.915235,-12.7894
0.0211376,0.0213642,-15.0368,0.296788,0.435511,-7.40261,0.370167,0.863885,-3.37528,0.544369,1.14316,3.1299
0.168325,0.184313,-1.7114,0.223779,0.255876,-1.27137,0.467863,1.0926,1.63689,0.502394,1.03508,0.499001
0.572439,0.849658,0.231585,0.559148,0.819501,0.188328,0.45041,1.03289,5.26624,0.494177,0.962778,0.514064
