I-value,I-unif,error,I-value-new,I-im-sampl,error-new
1.06226,0.531132,0.443953,1.15111,0.575555,0.822292
0.898519,0.653595,0.35731,1.69844,0.94985,2.96954
1.13702,0.774452,0.305263,1.29516,1.03618,2.27577
0.897768,0.799115,0.266828,0.723388,0.97362,1.8278
1.01778,0.83556,0.238345,0.837973,0.951012,1.52971
1.03862,0.864568,0.2156,1.27412,0.99717,1.39054
0.989258,0.880154,0.197605,0.991196,0.996423,1.23499
1.00555,0.894087,0.184249,1.00531,0.997411,1.10553
0.917161,0.896394,0.172532,0.665315,0.964201,0.997698
0.92583,0.89907,0.163191,0.698966,0.940089,0.909405
1.0058,0.907964,0.155803,1.39072,0.977642,0.894729
0.938088,0.910281,0.148835,0.865711,0.969032,0.831136
0.984171,0.915559,0.142636,1.1241,0.980108,0.783331
0.988618,0.92043,0.13693,0.901696,0.974881,0.73626
1.02987,0.92727,0.131917,0.974398,0.974851,0.693852
0.897725,0.925532,0.127934,0.725484,0.960182,0.654707
0.992564,0.929256,0.123463,0.814902,0.952111,0.620672
1.01666,0.933856,0.119907,1.72125,0.992592,0.634044
0.986582,0.936492,0.116435,0.8864,0.987282,0.604658
1.04199,0.941516,0.113488,1.15156,0.995105,0.579187
1.03135,0.945599,0.110618,0.848647,0.988448,0.554026
1.0238,0.948999,0.107763,1.1397,0.995024,0.535754
1.02596,0.952206,0.105214,1.11295,0.999938,0.520147
0.977519,0.953218,0.102889,1.05663,1.00221,0.503563
0.946033,0.952942,0.100825,0.857805,0.996652,0.486299
0.988346,0.954253,0.098534,0.951129,0.994966,0.471062
0.940296,0.953755,0.0967059,0.903348,0.991694,0.456275
0.977243,0.954565,0.0947121,0.954786,0.990421,0.443376
0.969339,0.955057,0.0929349,0.769822,0.983068,0.429432
0.983964,0.95599,0.0913545,1.05579,0.985413,0.420011
1.02582,0.958172,0.0898558,0.947978,0.984244,0.408791
1.02226,0.960114,0.0884482,1.18903,0.990449,0.400496
0.911981,0.958698,0.0870723,0.850674,0.986338,0.390156
1.06223,0.961656,0.0857159,1.22521,0.993163,0.381578
1.03303,0.963639,0.0842891,0.968328,0.992473,0.372809
1.0051,0.96476,0.0830295,0.982304,0.992198,0.364144
0.936978,0.964029,0.0818917,0.715064,0.984905,0.35513
1.00885,0.965178,0.0807949,0.899104,0.982705,0.347163
1.00232,0.966107,0.0796439,1.04263,0.984203,0.340938
1.03995,0.967908,0.0785859,1.31567,0.992288,0.340525
0.9992,0.968653,0.0774737,0.88262,0.989677,0.334179
0.992419,0.969205,0.0764827,0.983813,0.989541,0.329076
1.00262,0.969965,0.0754712,1.31079,0.996842,0.340481
1.03516,0.971414,0.0745923,1.12565,0.999704,0.335038
1.0103,0.972259,0.0737057,0.9219,0.998013,0.328566
1.0083,0.973026,0.0728811,1.00235,0.998105,0.322813
1.02037,0.974012,0.0720845,1.00181,0.998182,0.317359
1.00192,0.974582,0.0713204,1.03636,0.998961,0.312421
0.964377,0.974378,0.0706214,1.02684,0.999519,0.307897
1.01653,0.975204,0.0698872,1.87056,1.0166,0.32388
0.982807,0.97535,0.069182,0.936058,1.01505,0.318685
1.03744,0.976522,0.068501,0.929649,1.01344,0.313159
0.961913,0.976251,0.0678631,1.16754,1.01629,0.317394
1.04145,0.977437,0.067264,1.1564,1.01884,0.31315
1.03233,0.978417,0.0666051,0.948468,1.01758,0.308148
1.00631,0.978906,0.0660034,1.13901,1.01971,0.304856
0.934129,0.978134,0.0654741,1.01394,1.01961,0.301076
1.05926,0.979509,0.0647913,1.00157,1.01931,0.296772
1.04026,0.980522,0.0641999,0.900282,1.01732,0.29226
0.96503,0.980268,0.0637056,1.02616,1.01747,0.288522
1.09553,0.982127,0.0631392,1.41017,1.0238,0.291652
0.912322,0.981019,0.0626684,0.903481,1.02189,0.288631
0.991918,0.981189,0.0621527,1.19427,1.02459,0.288147
1.00003,0.981479,0.0615665,0.717326,1.01986,0.283909
0.957973,0.981123,0.0610979,0.900133,1.01804,0.280139
0.99683,0.981358,0.0606135,0.968265,1.0173,0.276586
0.872546,0.979757,0.0602675,1.00569,1.01713,0.273799
1.00849,0.980174,0.0598309,0.93462,1.01594,0.270259
0.950651,0.979752,0.0593915,0.825768,1.01322,0.266845
0.871024,0.978221,0.0589499,0.766134,1.00974,0.263908
0.976206,0.978193,0.0584983,0.827444,1.00721,0.260572
0.985722,0.978296,0.05808,1.06926,1.00806,0.257907
0.9694,0.978176,0.0576611,0.853159,1.00596,0.254791
1.10443,0.979859,0.057242,1.29996,1.00988,0.254101
1.00431,0.980181,0.0568275,0.823916,1.00744,0.251016
0.941898,0.979684,0.056451,0.813634,1.00492,0.248196
1.08344,0.981014,0.0560143,0.967022,1.00443,0.245619
0.938163,0.980471,0.0556358,0.697025,1.00054,0.242696
0.932012,0.979866,0.0552908,1.09382,1.00171,0.240905
0.971811,0.979766,0.0549623,0.909012,1.00056,0.238336
0.897293,0.97876,0.0546352,1.39941,1.00543,0.249047
0.952712,0.978447,0.0542806,0.796767,1.00291,0.2463
1.02163,0.978961,0.0539289,1.13905,1.00453,0.244252
1.0043,0.979259,0.0535977,0.925958,1.00361,0.241843
1.09049,0.980552,0.0532364,1.06365,1.00431,0.239735
0.992269,0.980687,0.0529336,0.938567,1.00355,0.237353
1.02077,0.981142,0.0525847,0.900541,1.00238,0.234949
1.08006,0.982254,0.0522199,0.950836,1.0018,0.232658
1.05094,0.983017,0.0518563,0.799241,0.999552,0.230211
0.968347,0.982856,0.0515656,0.778026,0.997118,0.227849
1.12439,0.984394,0.0512471,1.06402,0.997845,0.225682
1.06702,0.985283,0.0509449,1.1649,0.999642,0.224023
1.04016,0.985866,0.0506537,1.29899,1.00283,0.224972
1.00118,0.986028,0.050404,0.822647,1.00093,0.222772
1.0664,0.986865,0.0501122,1.46674,1.00578,0.22331
1.02874,0.987297,0.0497966,0.83939,1.00407,0.221171
0.98938,0.987318,0.0495075,0.970485,1.00372,0.219934
1.04153,0.987866,0.0492326,0.888025,1.00255,0.217877
1.0405,0.988392,0.0489667,0.985522,1.00238,0.216014
0.954664,0.988058,0.0487811,1.12183,1.00357,0.214405
