#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.77468     1.77468           0
           2     1.74587     1.76028   0.0101868
           3     1.73525     1.75193   0.0096196
           4     1.74853     1.75108  0.00725234
           5     1.74819      1.7505  0.00582488
           6     1.74552     1.74967   0.0049129
           7     1.73879     1.74812  0.00445013
           8     1.75232     1.74864  0.00392472
           9     1.76964     1.75098  0.00412388
          10     1.72728     1.74861  0.00433944
          11     1.79913      1.7532  0.00589399
          12      1.7888     1.75617   0.0061041
          13     1.79278     1.75898  0.00625055
          14     1.81477     1.76297  0.00695931
          15      1.7629     1.76296  0.00649536
          16     1.76402     1.76303  0.00608974
          17     1.75413     1.76251  0.00575397
          18     1.73888     1.76119  0.00558206
          19      1.7524     1.76073  0.00530742
          20     1.75748     1.76057  0.00504454
          21     1.70684     1.75801  0.00541443
          22     1.69665     1.75522  0.00584268
          23      1.6863     1.75222  0.00631049
          24     1.68876     1.74958  0.00657836
          25     1.72987     1.74879  0.00636228
          26     1.75626     1.74908  0.00612406
          27     1.75562     1.74932  0.00590203
          28     1.77581     1.75027  0.00576659
          29     1.78776     1.75156  0.00571087
          30       1.798     1.75311  0.00572646
          31     1.82072     1.75529   0.0059426
          32     1.78644     1.75626  0.00583609
          33     1.75941     1.75636  0.00566002
          34     1.77346     1.75686  0.00551584
          35     1.78437     1.75765  0.00541394
          36     1.74199     1.75721  0.00528098
          37     1.81248     1.75871  0.00534537
          38     1.81599     1.76021  0.00541311
          39     1.86608     1.76293  0.00591597
          40     1.88019     1.76586  0.00645372
          41     1.81019     1.76694  0.00638623
          42     1.79263     1.76755  0.00626339
          43     1.84686      1.7694  0.00638351
          44     1.81254     1.77038  0.00631328
          45      1.8244     1.77158  0.00628611
          46     1.83354     1.77292  0.00629211
          47      1.8398     1.77435  0.00631708
          48      1.8862     1.77668  0.00660131
          49     1.85246     1.77822   0.0066453
          50     1.89238     1.78051  0.00689343
          51     1.85926     1.78205  0.00692907
          52     1.80561      1.7825  0.00681061
          53     1.80468     1.78292  0.00669495
          54     1.82814     1.78376  0.00662314
          55     1.83455     1.78468  0.00656678
          56      1.7692     1.78441  0.00645534
          57     1.76581     1.78408  0.00635033
          58     1.77543     1.78393  0.00624259
          59      1.8044     1.78428  0.00614642
          60     1.82257     1.78492  0.00607702
          61     1.87468     1.78639  0.00615299
          62     1.85067     1.78743  0.00614048
          63      1.8417     1.78829  0.00610315
          64     1.83388       1.789  0.00604922
          65     1.82523     1.78956  0.00598178
          66     1.80459     1.78978  0.00589548
          67     1.82823     1.79036  0.00583535
          68     1.84186     1.79112  0.00579848
          69     1.82904     1.79167  0.00574043
          70     1.77588     1.79144  0.00566285
          71     1.73577     1.79066  0.00563712
          72     1.77529     1.79044  0.00556286
          73     1.75155     1.78991  0.00551211
          74     1.72953     1.78909  0.00549768
          75     1.75862     1.78869  0.00543937
          76     1.74282     1.78808  0.00540118
          77     1.76639      1.7878  0.00533838
          78     1.76932     1.78756  0.00527519
          79     1.79231     1.78763  0.00520876
          80      1.7691     1.78739   0.0051488
          81     1.77929     1.78729  0.00508621
          82     1.82132     1.78771  0.00504108
          83      1.7799     1.78761  0.00498122
          84     1.77732     1.78749  0.00492343
          85     1.78419     1.78745  0.00486566
          86     1.79068     1.78749  0.00480923
          87     1.78156     1.78742  0.00475443
          88     1.76479     1.78717  0.00470735
          89     1.77801     1.78706  0.00465558
          90     1.80144     1.78722  0.00460659
          91     1.80854     1.78746  0.00456193
          92     1.82387     1.78785  0.00452948
          93     1.81584     1.78815  0.00449076
          94     1.76762     1.78793  0.00444829
          95      1.8331     1.78841   0.0044268
          96     1.83334     1.78888  0.00440536
          97      1.8359     1.78936  0.00438653
          98     1.80944     1.78957  0.00434655
          99     1.75588     1.78923  0.00431595
         100     1.74172     1.78875  0.00429885
