#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.380044   -0.380044           0
           2    -0.35136   -0.365702   0.0101412
           3   -0.340697   -0.357367  0.00959277
           4     -0.3539     -0.3565  0.00723363
           5   -0.353577   -0.355916  0.00581048
           6     -0.3509    -0.35508  0.00490184
           7   -0.344154   -0.353519  0.00444314
           8   -0.357671   -0.354038  0.00391795
           9   -0.374966   -0.356363   0.0041152
          10   -0.332631    -0.35399  0.00433431
          11   -0.404537   -0.358585  0.00589254
          12   -0.394107   -0.361545  0.00609989
          13   -0.398162   -0.364362  0.00624722
          14   -0.420081   -0.368342  0.00695414
          15   -0.368169    -0.36833  0.00649054
          16   -0.369282    -0.36839  0.00608515
          17   -0.359315   -0.367856  0.00575056
          18   -0.344141   -0.366539  0.00557997
          19   -0.357611   -0.366069  0.00530604
          20   -0.362655   -0.365898  0.00504348
          21   -0.312066   -0.363335  0.00541572
          22   -0.301889   -0.360542  0.00584555
          23   -0.291602   -0.357544  0.00631327
          24   -0.294096   -0.354901   0.0065805
          25    -0.33527   -0.354115  0.00636396
          26   -0.361584   -0.354403  0.00612567
          27   -0.360918   -0.354644  0.00590354
          28   -0.381201   -0.355592  0.00576839
          29   -0.392997   -0.356882  0.00571186
          30   -0.403335   -0.358431   0.0057275
          31   -0.425979    -0.36061  0.00594278
          32   -0.391671    -0.36158  0.00583581
          33   -0.364742   -0.361676  0.00565975
          34   -0.378855   -0.362181  0.00551579
          35   -0.389643   -0.362966  0.00541372
          36   -0.347345   -0.362532   0.0052807
          37   -0.417703   -0.364023  0.00534435
          38   -0.421082   -0.365525  0.00541054
          39   -0.471257   -0.368236  0.00591214
          40   -0.485174   -0.371159  0.00644675
          41   -0.415298   -0.372236  0.00637876
          42   -0.397842   -0.372845  0.00625596
          43   -0.452113   -0.374689  0.00637629
          44   -0.417832   -0.375669  0.00630631
          45   -0.429792   -0.376872  0.00627982
          46   -0.438922   -0.378221   0.0062865
          47   -0.445399    -0.37965  0.00631314
          48   -0.491698   -0.381985  0.00659909
          49   -0.458067   -0.383537  0.00664457
          50   -0.497908   -0.385825  0.00689417
          51   -0.464676   -0.387371  0.00693019
          52   -0.411025   -0.387826  0.00681183
          53   -0.410088   -0.388246  0.00669624
          54   -0.433575   -0.389085  0.00662464
          55   -0.439854   -0.390008  0.00656819
          56   -0.374537   -0.389732  0.00645671
          57   -0.371095   -0.389405  0.00635171
          58   -0.380688   -0.389255  0.00624397
          59   -0.409816   -0.389603  0.00614786
          60   -0.427998   -0.390243  0.00607861
          61   -0.480184   -0.391718  0.00615518
          62   -0.456006   -0.392755  0.00614262
          63   -0.447124   -0.393618  0.00610545
          64   -0.439248   -0.394331  0.00605153
          65   -0.430518   -0.394887  0.00598399
          66   -0.410048   -0.395117  0.00589773
          67    -0.43368   -0.395693  0.00583772
          68   -0.447238   -0.396451  0.00580088
          69   -0.434418   -0.397001  0.00574284
          70   -0.381228   -0.396775  0.00566522
          71   -0.341143   -0.395992  0.00563936
          72   -0.380651   -0.395779  0.00556506
          73   -0.356785   -0.395245   0.0055144
          74   -0.334753   -0.394427  0.00550013
          75   -0.363867    -0.39402  0.00544187
          76   -0.348083   -0.393415  0.00540373
          77   -0.371765   -0.393134  0.00534086
          78   -0.374676   -0.392898  0.00527763
          79   -0.397774   -0.392959  0.00521119
          80   -0.374473   -0.392728  0.00515117
          81   -0.384751    -0.39263  0.00508851
          82   -0.426605   -0.393044   0.0050433
          83   -0.385165   -0.392949  0.00498343
          84   -0.382581   -0.392826  0.00492563
          85   -0.389445   -0.392786  0.00486785
          86    -0.39589   -0.392822  0.00481138
          87   -0.386725   -0.392752  0.00475658
          88    -0.37009   -0.392494   0.0047095
          89   -0.383368   -0.392392   0.0046577
          90   -0.406852   -0.392552  0.00460872
          91    -0.41382   -0.392786  0.00456399
          92   -0.429248   -0.393182  0.00453156
          93   -0.421119   -0.393483  0.00449278
          94   -0.372879   -0.393264  0.00445033
          95   -0.438401   -0.393739  0.00442877
          96   -0.438529   -0.394205  0.00440714
          97   -0.441183    -0.39469  0.00438824
          98   -0.414697   -0.394894  0.00434821
          99   -0.361188   -0.394553   0.0043176
         100   -0.347089   -0.394079  0.00430043
