#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0590651   0.0590651           0
           2    0.058125    0.058595 0.000332389
           3    0.057702   0.0582974 0.000328902
           4   0.0581699   0.0582655 0.000248217
           5    0.058194   0.0582512 0.000198985
           6   0.0580935   0.0582249 0.000167548
           7   0.0578686    0.058174 0.000151146
           8   0.0583063   0.0581905 0.000133155
           9   0.0588974   0.0582691 0.000139614
          10   0.0574683    0.058189  0.00014683
          11   0.0598936    0.058344  0.00019912
          12   0.0595206    0.058442 0.000205255
          13   0.0596649   0.0585361 0.000209918
          14   0.0603859   0.0586682 0.000232822
          15   0.0586509   0.0586671 0.000217304
          16   0.0586858   0.0586682 0.000203725
          17   0.0584124   0.0586532 0.000192296
          18   0.0578927   0.0586109 0.000186197
          19   0.0583631   0.0585979 0.000176853
          20   0.0584845   0.0585922 0.000168102
          21   0.0568177   0.0585077 0.000180087
          22   0.0564412   0.0584138 0.000194865
          23   0.0561153   0.0583139 0.000210464
          24   0.0561862   0.0582252 0.000219574
          25    0.057595      0.0582 0.000212233
          26   0.0584933   0.0582113  0.00020437
          27   0.0584111   0.0582187 0.000196934
          28   0.0590925   0.0582499 0.000192358
          29   0.0595139   0.0582935 0.000190599
          30   0.0598622   0.0583458 0.000191284
          31   0.0606074   0.0584187 0.000198539
          32   0.0594466   0.0584508 0.000194916
          33   0.0585589   0.0584541 0.000189037
          34   0.0590224   0.0584708 0.000184215
          35   0.0593495   0.0584959 0.000180654
          36     0.05794   0.0584805 0.000176294
          37   0.0603352   0.0585306 0.000178514
          38   0.0604526   0.0585812 0.000180839
          39   0.0620584   0.0586704 0.000196958
          40   0.0625713   0.0587679 0.000214826
          41   0.0602078    0.058803 0.000212438
          42   0.0596006    0.058822 0.000208227
          43   0.0614563   0.0588833 0.000212205
          44   0.0603039   0.0589155 0.000209824
          45   0.0606887   0.0589549 0.000208829
          46   0.0610387   0.0590002 0.000209144
          47   0.0612161   0.0590474 0.000209941
          48   0.0628206    0.059126 0.000219792
          49   0.0615736   0.0591759  0.00022091
          50    0.062963   0.0592517 0.000229108
          51   0.0618725   0.0593031 0.000230307
          52   0.0600713   0.0593178 0.000226351
          53   0.0600454   0.0593316 0.000222496
          54   0.0608183   0.0593591 0.000220072
          55   0.0610592     0.05939 0.000218231
          56   0.0588384   0.0593802 0.000214556
          57   0.0587551   0.0593692 0.000211072
          58   0.0590995   0.0593646 0.000207484
          59   0.0600703   0.0593765 0.000204312
          60   0.0606685    0.059398 0.000202038
          61   0.0624129   0.0594475 0.000204682
          62   0.0615935   0.0594821 0.000204286
          63   0.0612826   0.0595107 0.000203033
          64   0.0609825   0.0595337 0.000201159
          65   0.0607067   0.0595517 0.000198872
          66   0.0600524   0.0595593 0.000196004
          67   0.0608556   0.0595786 0.000194031
          68   0.0613176   0.0596042 0.000192855
          69   0.0608713   0.0596226 0.000190933
          70   0.0591154   0.0596153 0.000188342
          71   0.0577689   0.0595893 0.000187477
          72   0.0590971   0.0595825 0.000184997
          73   0.0582936   0.0595648 0.000183304
          74   0.0575487   0.0595376  0.00018284
          75   0.0585122   0.0595239 0.000180913
          76   0.0579912   0.0595037 0.000179653
          77   0.0587655   0.0594942 0.000177576
          78   0.0588513   0.0594859  0.00017549
          79   0.0596675   0.0594882 0.000173284
          80   0.0588691   0.0594805  0.00017129
          81   0.0592026    0.059477  0.00016921
          82    0.060626   0.0594911 0.000167726
          83   0.0591975   0.0594875 0.000165742
          84   0.0591831   0.0594839 0.000163809
          85   0.0593481   0.0594823 0.000161889
          86   0.0596102   0.0594838 0.000160014
          87   0.0592908   0.0594816  0.00015819
          88   0.0587279    0.059473 0.000156624
          89   0.0591226   0.0594691 0.000154914
          90    0.059973   0.0594747 0.000153293
          91   0.0601839   0.0594825 0.000151807
          92   0.0606525   0.0594952 0.000150689
          93    0.060414   0.0595051 0.000149392
          94   0.0588012   0.0594976  0.00014799
          95   0.0609982   0.0595134 0.000147273
          96   0.0609713   0.0595286  0.00014652
          97   0.0610847   0.0595446 0.000145885
          98   0.0602972   0.0595523 0.000144598
          99    0.058395   0.0595406 0.000143609
         100   0.0579672   0.0595249 0.000143033
