#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.39464     1.39464           0
           2     1.39451     1.39458 4.56536e-05
           3     1.39455     1.39457 3.13595e-05
           4     1.39463     1.39458 2.66996e-05
           5     1.39461     1.39459 2.20864e-05
           6     1.39462     1.39459 1.91205e-05
           7     1.39464      1.3946 1.74879e-05
           8     1.39465     1.39461 1.63349e-05
           9     1.39467     1.39461 1.59981e-05
          10     1.39464     1.39462 1.47039e-05
          11     1.39459     1.39461 1.35539e-05
          12      1.3947     1.39462 1.40338e-05
          13     1.39462     1.39462 1.29603e-05
          14     1.39469     1.39463 1.29194e-05
          15     1.39473     1.39463 1.39432e-05
          16     1.39474     1.39464  1.4629e-05
          17     1.39482     1.39465 1.70234e-05
          18     1.39473     1.39465 1.67161e-05
          19     1.39479     1.39466 1.72535e-05
          20     1.39482     1.39467 1.81493e-05
          21     1.39477     1.39467 1.79211e-05
          22     1.39476     1.39468 1.75277e-05
          23      1.3947     1.39468 1.67822e-05
          24     1.39466     1.39468 1.61022e-05
          25      1.3946     1.39468 1.57414e-05
          26     1.39468     1.39468 1.51361e-05
          27      1.3947     1.39468 1.46084e-05
          28     1.39461     1.39467 1.42601e-05
          29     1.39477     1.39468 1.41258e-05
          30     1.39466     1.39468  1.3662e-05
          31     1.39474     1.39468 1.33855e-05
          32     1.39477     1.39468 1.32582e-05
          33     1.39467     1.39468 1.28655e-05
          34      1.3946     1.39468 1.27037e-05
          35     1.39472     1.39468 1.24035e-05
          36     1.39465     1.39468  1.2088e-05
          37     1.39478     1.39468 1.20705e-05
          38     1.39491     1.39469  1.3159e-05
          39     1.39483     1.39469 1.32933e-05
          40     1.39502      1.3947 1.52917e-05
          41     1.39489      1.3947 1.55932e-05
          42     1.39479     1.39471 1.53444e-05
          43     1.39475     1.39471 1.50147e-05
          44     1.39471     1.39471 1.46734e-05
          45     1.39461     1.39471 1.45022e-05
          46     1.39462      1.3947 1.43171e-05
          47      1.3944      1.3947 1.53704e-05
          48      1.3945     1.39469 1.55623e-05
          49     1.39439     1.39469 1.63941e-05
          50     1.39447     1.39468 1.66358e-05
          51     1.39459     1.39468 1.64131e-05
          52     1.39458     1.39468 1.62052e-05
          53     1.39459     1.39468 1.59848e-05
          54     1.39457     1.39468 1.58151e-05
          55      1.3947     1.39468 1.55335e-05
          56     1.39466     1.39468 1.52573e-05
          57     1.39471     1.39468 1.50019e-05
          58     1.39474     1.39468 1.47886e-05
          59     1.39459     1.39468 1.46192e-05
          60     1.39457     1.39467 1.44756e-05
          61      1.3945     1.39467 1.45238e-05
          62     1.39467     1.39467 1.42898e-05
          63     1.39458     1.39467 1.41395e-05
          64     1.39463     1.39467 1.39327e-05
          65     1.39471     1.39467 1.37347e-05
          66     1.39454     1.39467 1.36631e-05
          67     1.39455     1.39467   1.357e-05
          68     1.39462     1.39467  1.3385e-05
          69     1.39462     1.39466 1.32083e-05
          70     1.39465     1.39466 1.30209e-05
          71     1.39462     1.39466 1.28505e-05
          72     1.39464     1.39466  1.2675e-05
          73     1.39477     1.39466 1.25808e-05
          74     1.39478     1.39467 1.25025e-05
          75     1.39475     1.39467 1.23851e-05
          76     1.39474     1.39467 1.22543e-05
          77     1.39462     1.39467 1.21099e-05
          78     1.39465     1.39467 1.19572e-05
          79     1.39454     1.39467 1.19177e-05
          80     1.39462     1.39467 1.17802e-05
          81     1.39454     1.39466 1.17433e-05
          82     1.39472     1.39466  1.1619e-05
          83     1.39473     1.39467 1.15082e-05
          84     1.39474     1.39467 1.14083e-05
          85     1.39475     1.39467 1.13131e-05
          86     1.39479     1.39467 1.12762e-05
          87     1.39484     1.39467 1.13173e-05
          88      1.3947     1.39467 1.11947e-05
          89     1.39464     1.39467 1.10729e-05
          90     1.39459     1.39467 1.09895e-05
          91     1.39472     1.39467 1.08834e-05
          92     1.39462     1.39467 1.07768e-05
          93     1.39472     1.39467 1.06755e-05
          94     1.39475     1.39467 1.05919e-05
          95      1.3947     1.39467 1.04835e-05
          96     1.39481     1.39467 1.04716e-05
          97     1.39472     1.39467 1.03758e-05
          98     1.39474     1.39467 1.02913e-05
          99     1.39469     1.39467 1.01885e-05
         100     1.39463     1.39467 1.00942e-05
