#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.23575     1.23575           0
           2     1.24532     1.24053  0.00338501
           3     1.24768     1.24292  0.00297939
           4     1.24988     1.24466  0.00269544
           5     1.25277     1.24628   0.0025989
           6     1.23755     1.24482  0.00254009
           7     1.24249     1.24449  0.00219898
           8      1.2417     1.24414  0.00195156
           9     1.24617     1.24437   0.0017477
          10     1.25168      1.2451  0.00171896
          11     1.25764     1.24624  0.00190356
          12     1.23026     1.24491  0.00216102
          13     1.25647      1.2458  0.00217016
          14     1.25978      1.2468  0.00223319
          15     1.24103     1.24641  0.00211714
          16     1.23733     1.24584  0.00205945
          17      1.2549     1.24638  0.00200599
          18     1.24657     1.24639  0.00189457
          19      1.2491     1.24653  0.00180023
          20     1.23788      1.2461  0.00176143
          21     1.24008     1.24581  0.00170072
          22     1.25859     1.24639  0.00171978
          23     1.24481     1.24632  0.00164638
          24     1.24019     1.24607  0.00159746
          25     1.24932      1.2462  0.00153886
          26     1.23932     1.24593  0.00150222
          27     1.24801     1.24601  0.00144855
          28     1.24508     1.24598   0.0013972
          29     1.24799     1.24605  0.00135075
          30     1.23735     1.24576  0.00133647
          31     1.25192     1.24596  0.00130804
          32      1.2383     1.24572  0.00128886
          33     1.25892     1.24612  0.00131043
          34      1.2469     1.24614  0.00127209
          35     1.24597     1.24613  0.00123575
          36     1.26441     1.24664   0.0013015
          37     1.25065     1.24675  0.00127083
          38     1.23676     1.24649  0.00126431
          39     1.24778     1.24652  0.00123233
          40     1.25526     1.24674  0.00122072
          41     1.23755     1.24651  0.00121136
          42     1.25955     1.24683  0.00122166
          43     1.23474     1.24654  0.00122516
          44     1.24251     1.24645  0.00120074
          45     1.25176     1.24657  0.00117984
          46     1.23689     1.24636  0.00117281
          47     1.25408     1.24652  0.00115928
          48     1.25029      1.2466  0.00113778
          49      1.2509     1.24669  0.00111794
          50     1.23166     1.24639  0.00113527
          51     1.26086     1.24667  0.00114792
          52     1.25097     1.24676  0.00112881
          53     1.23539     1.24654  0.00112769
          54     1.24516     1.24652   0.0011071
          55     1.23673     1.24634  0.00110118
          56     1.24154     1.24625  0.00108484
          57     1.25123     1.24634  0.00106932
          58     1.25083     1.24642  0.00105368
          59     1.23764     1.24627  0.00104627
          60     1.25707     1.24645  0.00104422
          61     1.24392     1.24641  0.00102792
          62     1.25883     1.24661   0.0010307
          63     1.23267     1.24639   0.0010378
          64     1.24576     1.24638  0.00102163
          65     1.24591     1.24637  0.00100594
          66     1.22507     1.24605  0.00104116
          67     1.24436     1.24602  0.00102592
          68     1.25164      1.2461  0.00101416
          69     1.24403     1.24607 0.000999906
          70     1.24823      1.2461 0.000986097
          71     1.24447     1.24608 0.000972478
          72     1.24413     1.24605  0.00095935
          73     1.25675      1.2462  0.00095733
          74     1.25174     1.24628 0.000947313
          75     1.23881     1.24618 0.000939897
          76     1.24319     1.24614 0.000928348
          77      1.2478     1.24616 0.000916543
          78     1.25422     1.24626 0.000910595
          79     1.23581     1.24613 0.000908631
          80     1.24204     1.24608 0.000898712
          81     1.26079     1.24626 0.000905791
          82     1.24227     1.24621 0.000896049
          83     1.24792     1.24623  0.00088549
          84     1.25167      1.2463 0.000877316
          85     1.24536     1.24629 0.000867064
          86     1.25306     1.24636  0.00086055
          87     1.24153     1.24631 0.000852455
          88     1.23987     1.24624 0.000845901
          89     1.25447     1.24633 0.000841437
          90     1.25113     1.24638 0.000833777
          91     1.23972     1.24631  0.00082782
          92     1.23818     1.24622 0.000823529
          93     1.24511     1.24621 0.000814761
          94     1.24239     1.24617 0.000807104
          95      1.2402      1.2461 0.000801053
          96      1.2505     1.24615 0.000794013
          97     1.25278     1.24622 0.000788766
          98     1.24284     1.24618 0.000781469
          99     1.26024     1.24633 0.000786368
         100     1.23569     1.24622 0.000785662
