#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.19851    -3.19851           0
           2    -3.19805    -3.19828 0.000162896
           3    -3.19834     -3.1983 0.000109755
           4    -3.19944    -3.19859 0.000260787
           5    -3.19753    -3.19838 0.000281093
           6    -3.19857    -3.19841 0.000236126
           7    -3.19806    -3.19836 0.000207634
           8    -3.20083    -3.19867 0.000341148
           9    -3.19916    -3.19872 0.000307589
          10    -3.19735    -3.19859 0.000305731
          11    -3.19718    -3.19846 0.000303507
          12    -3.19815    -3.19843 0.000279321
          13    -3.19597    -3.19824 0.000315509
          14    -3.19845    -3.19826 0.000293318
          15    -3.19875    -3.19829 0.000275608
          16    -3.20074    -3.19844 0.000297846
          17    -3.19906    -3.19848 0.000282503
          18    -3.19909    -3.19851 0.000268856
          19    -3.19819     -3.1985 0.000255229
          20     -3.1966     -3.1984 0.000259423
          21    -3.19822    -3.19839 0.000247221
          22    -3.19754    -3.19835 0.000238976
          23    -3.19543    -3.19823 0.000260127
          24    -3.19982    -3.19829 0.000257634
          25    -3.19706    -3.19824  0.00025204
          26    -3.19868    -3.19826 0.000242904
          27    -3.19944     -3.1983 0.000237783
          28    -3.20165    -3.19842 0.000257563
          29    -3.19989    -3.19847 0.000253561
          30    -3.19726    -3.19843 0.000248329
          31    -3.19788    -3.19842 0.000240972
          32    -3.19979    -3.19846 0.000237244
          33    -3.19559    -3.19837  0.00024549
          34    -3.20108    -3.19845 0.000250813
          35    -3.20109    -3.19853 0.000254759
          36    -3.19964    -3.19856 0.000249563
          37    -3.19813    -3.19855 0.000243082
          38    -3.19876    -3.19855 0.000236752
          39    -3.19662     -3.1985 0.000235805
          40    -3.19714    -3.19847 0.000232358
          41    -3.19717    -3.19844 0.000228827
          42    -3.19805    -3.19843 0.000223564
          43    -3.20096    -3.19849  0.00022598
          44    -3.19735    -3.19846 0.000222323
          45    -3.20303    -3.19856 0.000239463
          46    -3.20116    -3.19862 0.000240841
          47    -3.19803    -3.19861 0.000236045
          48    -3.19927    -3.19862 0.000231531
          49    -3.19979    -3.19864 0.000228038
          50    -3.19938    -3.19866 0.000223946
          51    -3.19766    -3.19864 0.000220405
          52    -3.19735    -3.19861 0.000217549
          53    -3.19696    -3.19858  0.00021567
          54    -3.19435     -3.1985  0.00022548
          55    -3.19696    -3.19848 0.000223117
          56    -3.19628    -3.19844 0.000222552
          57    -3.19806    -3.19843 0.000218746
          58    -3.19905    -3.19844 0.000215237
          59    -3.19726    -3.19842 0.000212519
          60    -3.19898    -3.19843 0.000209181
          61    -3.19747    -3.19842 0.000206348
          62    -3.19806    -3.19841 0.000203098
          63    -3.19945    -3.19843 0.000200547
          64     -3.1979    -3.19842 0.000197582
          65    -3.19549    -3.19837 0.000199619
          66    -3.19649    -3.19834 0.000198617
          67    -3.19952    -3.19836 0.000196432
          68    -3.19779    -3.19835 0.000193726
          69    -3.19528    -3.19831 0.000195984
          70    -3.19826    -3.19831 0.000193185
          71    -3.19814    -3.19831 0.000190479
          72    -3.20005    -3.19833 0.000189371
          73     -3.1989    -3.19834 0.000186936
          74    -3.19571     -3.1983 0.000187747
          75    -3.19711    -3.19829 0.000185913
          76    -3.19771    -3.19828 0.000183621
          77    -3.19574    -3.19825 0.000184162
          78    -3.19856    -3.19825 0.000181845
          79    -3.20022    -3.19827 0.000181252
          80    -3.19751    -3.19827 0.000179239
          81     -3.1973    -3.19825 0.000177423
          82    -3.19717    -3.19824 0.000175752
          83    -3.20023    -3.19826 0.000175262
          84     -3.1958    -3.19823 0.000175613
          85    -3.19885    -3.19824 0.000173697
          86    -3.19788    -3.19824 0.000171729
          87     -3.1975    -3.19823 0.000169966
          88    -3.19828    -3.19823 0.000168036
          89    -3.19573     -3.1982  0.00016848
          90    -3.19796     -3.1982  0.00016663
          91    -3.19553    -3.19817 0.000167362
          92    -3.19939    -3.19818 0.000166071
          93    -3.19855    -3.19819 0.000164333
          94    -3.19688    -3.19817 0.000163174
          95    -3.20022    -3.19819 0.000162871
          96    -3.19689    -3.19818  0.00016174
          97    -3.19757    -3.19817 0.000160194
          98    -3.19816    -3.19817  0.00015856
          99     -3.1993    -3.19819 0.000157362
         100    -3.19509    -3.19816   0.0001588
