sum_prog,sum2_prog,err_prog
0.0834819,0.00696923,9.31323e-10
0.0850147,0.00722985,0.00108385
0.0842505,0.00710089,0.000954682
0.0845397,0.00714926,0.00075853
0.0843552,0.00711778,0.00062885
0.0846133,0.0071614,0.000574579
0.0846445,0.0071664,0.000493342
0.0842003,0.00709255,0.000599205
0.0834476,0.00697059,0.000887239
0.083269,0.00694039,0.000816297
0.0835714,0.00699116,0.000796141
0.0836013,0.00699557,0.000730355
0.0837489,0.00702004,0.000688927
0.0836599,0.0070048,0.000645443
0.0839418,0.00705277,0.000661112
0.0839226,0.00704915,0.00062007
0.0838188,0.00703155,0.000592225
0.0838042,0.00702878,0.000559503
0.0839429,0.00705209,0.000546978
0.0838046,0.00702897,0.00053683
0.0836059,0.00699623,0.000546795
0.0833223,0.00695029,0.000590937
0.0834039,0.0069637,0.00057085
0.0834126,0.00696484,0.000547131
0.083474,0.0069749,0.000528686
0.0835282,0.00698376,0.000511121
0.0835363,0.00698485,0.000492254
0.0836067,0.00699652,0.000479685
0.0835947,0.0069943,0.000463294
0.0835057,0.00697945,0.000456326
0.0834901,0.00697665,0.000441872
0.0835711,0.00699019,0.000435427
0.0834766,0.00697451,0.00043237
0.0835056,0.00697919,0.000420623
0.0836035,0.00699571,0.000419851
0.0835265,0.00698288,0.000415187
0.0834954,0.00697755,0.00040513
0.0834636,0.00697213,0.00039571
0.083433,0.0069669,0.000386747
0.0834778,0.0069743,0.00037966
0.0834112,0.00696324,0.000376187
0.0834012,0.00696143,0.000367364
0.0834179,0.0069641,0.000359202
0.0834713,0.006973,0.000354975
0.0834882,0.00697572,0.000347491
0.0834005,0.0069613,0.000350839
0.0833529,0.00695335,0.00034659
0.0834315,0.00696663,0.000348167
0.0834594,0.00697121,0.00034218
0.0834791,0.0069744,0.000335901
0.0834658,0.00697208,0.000329576
0.0835269,0.00698237,0.000328859
0.0835432,0.006985,0.000323056
0.0835651,0.00698857,0.000317811
0.0835848,0.0069918,0.000312646
0.0836143,0.00699668,0.000308454
0.083692,0.00700992,0.000312666
0.0837155,0.00701379,0.000308157
0.0837717,0.00702329,0.000308015
0.0837526,0.00702002,0.000303472
0.0837123,0.00701328,0.000301161
0.0837426,0.00701833,0.000297827
0.0837423,0.00701819,0.0002931
0.083772,0.00702312,0.000290015
0.0837166,0.00701396,0.000290793
0.0836859,0.00700881,0.000287999
0.0837024,0.0070115,0.000284173
0.0837044,0.00701176,0.000280001
0.0837488,0.00701924,0.000279437
0.0837638,0.0070217,0.00027585
0.0837784,0.00702409,0.000272351
0.083769,0.00702244,0.000268733
