rw,err
0,0
1,0
1.4094,0.00408348
1.72948,0.0056109
2.00002,0.00709234
2.2345,0.00859509
2.44203,0.00909053
2.64141,0.00910222
2.82803,0.0100741
3.00499,0.0107426
3.16573,0.0115657
3.31548,0.0134106
3.47354,0.014659
3.62001,0.0158031
3.76098,0.0156694
3.88824,0.015917
4.0062,0.0159211
4.12033,0.0161779
4.24459,0.0169098
4.35597,0.0184015
4.47253,0.0192265
4.57891,0.0194761
4.68832,0.0198294
4.7911,0.0198068
4.89643,0.0199434
4.98568,0.0210196
5.07283,0.0208931
5.16444,0.021964
5.25828,0.0217748
5.34969,0.0225181
5.44299,0.0236371
5.52872,0.0248925
5.62471,0.0253359
5.71359,0.0260265
5.80637,0.0261239
5.89593,0.0251943
5.9893,0.0260843
6.06357,0.0259718
6.14853,0.0261525
6.2301,0.0259953
6.30996,0.0251543
6.38084,0.0249417
6.46544,0.0251604
6.54519,0.0253696
6.61782,0.0268985
6.68974,0.0265229
6.76276,0.0263609
6.8324,0.0263308
6.89739,0.0270417
6.96373,0.0269089
7.03441,0.0265201
7.10061,0.0267272
7.16445,0.0270089
7.24087,0.0270352
7.31585,0.0260894
7.37398,0.0270354
7.44695,0.0277701
7.51825,0.0276352
7.58084,0.0269095
7.65497,0.0273814
7.71998,0.027706
7.7887,0.0285446
7.84911,0.0282161
7.91854,0.0290447
7.98401,0.0289493
8.04737,0.0291121
8.12151,0.029306
8.17769,0.0297913
8.23707,0.0304543
8.29896,0.03095
8.35852,0.0307054
8.41639,0.0310071
8.47266,0.0311156
8.53225,0.0317154
8.59026,0.0322859
8.64585,0.0325144
8.70671,0.0324456
8.75888,0.0316794
8.81681,0.032153
8.86789,0.0327793
8.91811,0.03335
8.9817,0.0343761
9.04351,0.0346032
9.10157,0.0351847
9.15194,0.0362069
9.19687,0.0366312
9.24855,0.0358336
9.30841,0.0352791
9.35487,0.0351195
9.41242,0.0350568
9.45952,0.0351872
9.52257,0.034709
9.57498,0.0350305
9.62996,0.0350212
9.6854,0.0356504
9.7459,0.0366605
9.79216,0.0367714
9.83453,0.0375711
9.88848,0.0375511
9.93532,0.0381677
