call,err_call,put,err_put
15.0209,0,5.41502,0
14.9251,0.0677907,5.43945,0.0172764
14.9717,0.0590853,5.44305,0.011887
15.0041,0.0524695,5.45516,0.0137638
15.0217,0.0448128,5.44723,0.0131001
15.0252,0.0374855,5.44647,0.0109387
15.0096,0.0352369,5.44488,0.00948986
14.9963,0.0332492,5.44787,0.00876051
15.0045,0.0305357,5.44221,0.00944221
15.0031,0.0275133,5.44119,0.00855267
15.0041,0.025032,5.44125,0.00777542
14.9986,0.0235486,5.43805,0.00776152
14.9988,0.0217381,5.44646,0.0108012
14.9931,0.0209308,5.45462,0.0127449
14.9963,0.0197827,5.44763,0.0136771
14.9907,0.0193224,5.44833,0.0128401
