#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.24131    -5.24131           0
           2    -5.10281    -5.17206   0.0489654
           3    -5.10072    -5.14828   0.0379815
           4    -5.08446    -5.13232   0.0316598
           5    -5.07634    -5.12113   0.0272357
           6    -5.09985    -5.11758    0.022926
           7    -5.07676    -5.11175    0.020379
           8    -5.09764    -5.10999   0.0179078
           9    -5.07021    -5.10557   0.0164544
          10    -5.02677    -5.09769   0.0165888
          11    -5.09315    -5.09728   0.0150859
          12    -5.07802    -5.09567   0.0139138
          13    -5.11237    -5.09696   0.0129027
          14    -5.07427    -5.09533   0.0120824
          15     -5.0821    -5.09445   0.0113091
          16    -5.07583    -5.09329    0.010662
          17    -5.12353    -5.09507   0.0101821
          18    -5.03935    -5.09197    0.010076
          19     -5.1424    -5.09463  0.00988911
          20    -5.10538    -5.09516  0.00940927
          21    -5.06598    -5.09377  0.00906328
          22     -5.0876    -5.09349  0.00865566
          23    -5.09865    -5.09372  0.00828223
          24     -5.1348    -5.09543  0.00811208
          25    -5.03005    -5.09281  0.00819827
          26    -5.11882    -5.09381  0.00794373
          27    -5.10535    -5.09424    0.007661
          28    -5.11791    -5.09509  0.00743387
          29     -5.0677    -5.09414  0.00723724
          30    -5.04045    -5.09235  0.00721389
          31     -5.1301    -5.09357  0.00708321
          32    -5.07482    -5.09298  0.00688604
          33    -5.05992    -5.09198  0.00674987
          34    -5.10049    -5.09223  0.00655598
          35    -5.07178    -5.09165  0.00639466
          36    -5.07674    -5.09123  0.00623043
          37    -5.09591    -5.09136  0.00606332
          38    -5.08646    -5.09123  0.00590513
          39    -5.08181    -5.09099  0.00575865
          40     -5.0355     -5.0896  0.00577937
          41    -5.11886    -5.09032  0.00568229
          42    -5.08122     -5.0901  0.00555113
          43    -5.10801    -5.09052  0.00543764
          44    -5.11827    -5.09115  0.00535052
          45    -5.09724    -5.09128  0.00523333
          46    -5.10011    -5.09147  0.00512308
          47    -5.10905    -5.09185   0.0050277
          48    -5.09978    -5.09201  0.00492568
          49    -5.13322    -5.09285   0.0048964
          50      -5.074    -5.09248  0.00481297
          51    -5.09573    -5.09254  0.00471902
          52    -5.11086    -5.09289  0.00464139
          53    -5.09599    -5.09295  0.00455419
          54    -5.08605    -5.09282  0.00447165
          55    -5.05667    -5.09217  0.00443839
          56    -5.07563    -5.09187  0.00436894
          57    -5.09063    -5.09185  0.00429234
          58    -5.09326    -5.09187  0.00421841
          59    -5.02755    -5.09078  0.00428547
          60    -5.12617    -5.09137  0.00425444
          61    -5.09523    -5.09144  0.00418516
          62    -5.09816    -5.09155  0.00411906
          63    -5.07116    -5.09122  0.00406637
          64    -5.06306    -5.09078  0.00402658
          65    -5.05656    -5.09026  0.00399891
          66    -5.14232    -5.09104  0.00401538
          67     -5.0898    -5.09103   0.0039555
          68     -5.0722    -5.09075    0.003907
          69    -5.10415    -5.09094   0.0038552
          70    -5.13138    -5.09152  0.00384316
          71    -5.11627    -5.09187   0.0038048
          72    -5.09224    -5.09187  0.00375196
          73    -5.11394    -5.09218  0.00371272
          74     -5.1103    -5.09242  0.00367061
          75    -5.06296    -5.09203  0.00364263
          76    -5.11361    -5.09231  0.00360575
          77    -5.07347    -5.09207  0.00356722
          78    -5.10889    -5.09228    0.003528
          79    -5.11293    -5.09254  0.00349301
          80    -5.12554    -5.09296  0.00347361
          81     -5.0641     -5.0926  0.00344895
          82    -5.10679    -5.09277  0.00341123
          83    -5.07173    -5.09252  0.00337954
          84    -5.11915    -5.09284  0.00335414
          85    -5.12146    -5.09317  0.00333154
          86    -5.11998    -5.09349  0.00330735
          87    -5.12062     -5.0938    0.003284
          88    -5.12086    -5.09411  0.00326105
          89    -5.08719    -5.09403  0.00322534
          90    -5.10981     -5.0942  0.00319427
          91    -5.11064    -5.09438  0.00316427
          92    -5.10799    -5.09453  0.00313333
          93    -5.10726    -5.09467  0.00310262
          94    -5.11613     -5.0949  0.00307801
          95    -5.03441    -5.09426  0.00311076
          96    -5.13955    -5.09473  0.00311392
          97     -5.0533     -5.0943  0.00311097
          98    -5.09631    -5.09433  0.00307929
          99    -5.07489    -5.09413  0.00305444
         100    -5.10906    -5.09428  0.00302754
