#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.890359    0.890359           0
           2    0.822814    0.856586   0.0238807
           3    0.823678    0.845617   0.0182669
           4     0.81463     0.83787   0.0152546
           5    0.811968     0.83269   0.0130537
           6    0.820972    0.830737   0.0110232
           7    0.810328    0.827821  0.00982647
           8    0.822413    0.827145  0.00862138
           9    0.810025    0.825243  0.00787052
          10    0.789396    0.821658  0.00785751
          11    0.819832    0.821492  0.00714495
          12    0.812531    0.820745  0.00658845
          13    0.828558    0.821346  0.00610899
          14    0.811894    0.820671  0.00570982
          15    0.814577    0.820265   0.0053436
          16     0.81236    0.819771  0.00503241
          17    0.834707    0.820649  0.00481247
          18    0.796212    0.819292  0.00473274
          19    0.845153    0.820653  0.00467527
          20    0.825435    0.820892  0.00444762
          21    0.807589    0.820259   0.0042807
          22    0.815917    0.820061  0.00409067
          23    0.820943      0.8201  0.00391299
          24    0.841034    0.820972  0.00384595
          25    0.789347    0.819707   0.0038946
          26    0.832512    0.820199  0.00377581
          27    0.825524    0.820397  0.00364112
          28    0.830473    0.820756  0.00352882
          29    0.805442    0.820228  0.00344642
          30    0.793828    0.819348  0.00344206
          31    0.837695     0.81994  0.00338152
          32    0.811849    0.819687  0.00328529
          33    0.806418    0.819285  0.00321025
          34    0.822786    0.819388  0.00311748
          35    0.807479    0.819048  0.00304692
          36     0.81248    0.818865  0.00296774
          37    0.820827    0.818918    0.002888
          38     0.81538    0.818825   0.0028135
          39    0.811329    0.818633  0.00274792
          40    0.790509     0.81793  0.00276772
          41    0.832006    0.818273  0.00272142
          42    0.814312    0.818179  0.00265826
          43    0.828615    0.818422  0.00260749
          44    0.829923    0.818683   0.0025613
          45    0.819532    0.818702  0.00250445
          46    0.822253    0.818779   0.0024512
          47    0.826367    0.818941  0.00240435
          48    0.822872    0.819023  0.00235566
          49    0.840585    0.819463  0.00234833
          50    0.809323     0.81926   0.0023101
          51    0.819117    0.819257  0.00226481
          52    0.826992    0.819406  0.00222613
          53    0.821078    0.819437  0.00218435
          54    0.816034    0.819374  0.00214481
          55    0.801013     0.81904  0.00213164
          56    0.808884    0.818859  0.00210127
          57    0.817383    0.818833  0.00206457
          58    0.819485    0.818844    0.002029
          59    0.788159    0.818324  0.00206019
          60    0.833283    0.818574  0.00204089
          61    0.821273    0.818618  0.00200791
          62    0.820242    0.818644  0.00197569
          63    0.806981    0.818459  0.00195299
          64    0.804848    0.818246  0.00193402
          65    0.802742    0.818008  0.00191892
          66    0.842267    0.818375  0.00192472
          67    0.819046    0.818385  0.00189602
          68    0.809801    0.818259  0.00187234
          69    0.825045    0.818357  0.00184778
          70     0.83782    0.818635  0.00184219
          71    0.829824    0.818793  0.00182297
          72    0.817512    0.818775  0.00179774
          73     0.82996    0.818928  0.00177963
          74    0.827299    0.819042  0.00175917
          75    0.803913     0.81884  0.00174724
          76    0.829979    0.818986  0.00173039
          77    0.808532    0.818851  0.00171323
          78    0.825386    0.818934  0.00169331
          79    0.830621    0.819082  0.00167833
          80    0.836085    0.819295  0.00167075
          81    0.807867    0.819154  0.00165607
          82    0.827496    0.819256    0.001639
          83    0.808139    0.819122  0.00162471
          84     0.82964    0.819247  0.00161019
          85     0.83439    0.819425  0.00160107
          86    0.831462    0.819565  0.00158856
          87    0.830172    0.819687  0.00157497
          88    0.832653    0.819834  0.00156395
          89    0.816874    0.819801  0.00154673
          90    0.825056    0.819859  0.00153065
          91    0.826857    0.819936  0.00151576
          92    0.827195    0.820015  0.00150134
          93     0.82377    0.820056  0.00148574
          94    0.829048    0.820151  0.00147301
          95    0.791203    0.819846  0.00148868
          96    0.842126    0.820079  0.00149116
          97    0.798445    0.819856  0.00149237
          98    0.819572    0.819853  0.00147715
          99    0.812105    0.819774   0.0014643
         100    0.826661    0.819843  0.00145127
