#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.43753     1.43753           0
           2     1.54349     1.49051    0.037462
           3     1.65202     1.54435   0.0505583
           4      1.6966     1.58241   0.0502437
           5     1.75863     1.61765   0.0510823
           6     1.77332      1.6436   0.0487132
           7     1.75693     1.65979   0.0443632
           8     1.75872     1.67215   0.0405048
           9     1.75597     1.68147   0.0370594
          10     1.75775      1.6891   0.0341296
          11     1.77468     1.69688   0.0319015
          12     1.74587     1.70096   0.0295031
          13     1.73525      1.7036   0.0273513
          14     1.74853     1.70681   0.0255852
          15     1.74819     1.70957   0.0240278
          16     1.74552     1.71181   0.0226309
          17     1.73879      1.7134   0.0213553
          18     1.75232     1.71556    0.020278
          19     1.76964     1.71841   0.0194095
          20     1.72728     1.71885   0.0184441
          21     1.79913     1.72267   0.0179575
          22      1.7888     1.72568    0.017391
          23     1.79278      1.7286   0.0168778
          24     1.81477     1.73219   0.0165521
          25      1.7629     1.73342   0.0159355
          26     1.76402     1.73459   0.0153661
          27     1.75413     1.73532    0.014814
          28     1.73888     1.73544   0.0142854
          29      1.7524     1.73603   0.0138048
          30     1.75748     1.73674   0.0133631
          31     1.70684     1.73578   0.0129668
          32     1.69665     1.73456   0.0126192
          33      1.6863     1.73309   0.0123212
          34     1.68876     1.73179   0.0120276
          35     1.72987     1.73174   0.0116841
          36     1.75626     1.73242   0.0113794
          37     1.75562     1.73304   0.0110891
          38     1.77581     1.73417   0.0108543
          39     1.78776     1.73554   0.0106626
          40       1.798      1.7371   0.0105097
          41     1.82072     1.73914   0.0104494
          42     1.78644     1.74027   0.0102611
          43     1.75941     1.74072   0.0100321
          44     1.77346     1.74146  0.00983166
          45     1.78437     1.74241  0.00965931
          46     1.74199      1.7424  0.00944933
          47     1.81248     1.74389  0.00936518
          48     1.81599      1.7454  0.00928974
          49     1.86608     1.74786  0.00942101
          50     1.88019     1.75051  0.00959716
          51     1.81019     1.75168  0.00948006
          52     1.79263     1.75246   0.0093304
          53     1.84686     1.75425  0.00932279
          54     1.81254     1.75532  0.00921244
          55      1.8244     1.75658  0.00913015
          56     1.83354     1.75795  0.00906994
          57      1.8398     1.75939  0.00902377
          58      1.8862     1.76158  0.00912922
          59     1.85246     1.76312  0.00910352
          60     1.89238     1.76527  0.00920317
          61     1.85926     1.76681  0.00918038
          62     1.80561     1.76744  0.00905361
          63     1.80468     1.76803  0.00892918
          64     1.82814     1.76897  0.00883893
          65     1.83455     1.76998  0.00876034
          66      1.7692     1.76997  0.00862762
          67     1.76581      1.7699  0.00849907
          68     1.77543     1.76999  0.00837447
          69      1.8044     1.77048  0.00826794
          70     1.82257     1.77123  0.00818325
          71     1.87468     1.77269  0.00819669
          72     1.85067     1.77377  0.00815409
          73      1.8417      1.7747  0.00809532
          74     1.83388      1.7755  0.00802533
          75     1.82523     1.77616  0.00794567
          76     1.80459     1.77654  0.00784992
          77     1.82823     1.77721  0.00777663
          78     1.84186     1.77804  0.00772098
          79     1.82904     1.77868  0.00765019
          80     1.77588     1.77865  0.00755464
          81     1.73577     1.77812   0.0074799
          82     1.77529     1.77808  0.00738876
          83     1.75155     1.77776  0.00730665
          84     1.72953     1.77719  0.00724219
          85     1.75862     1.77697  0.00716028
          86     1.74282     1.77657  0.00708803
          87     1.76639     1.77646  0.00700752
          88     1.76932     1.77638  0.00692836
          89     1.79231     1.77655  0.00685283
          90      1.7691     1.77647  0.00677719
          91     1.77929      1.7765  0.00670278
          92     1.82132     1.77699  0.00664761
          93      1.7799     1.77702   0.0065762
          94     1.77732     1.77702  0.00650624
          95     1.78419      1.7771  0.00643819
          96     1.79068     1.77724  0.00637268
          97     1.78156     1.77729  0.00630714
          98     1.76479     1.77716  0.00624407
          99     1.77801     1.77717  0.00618101
         100     1.80144     1.77741  0.00612396
