#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0460443  -0.0460443           0
           2   -0.171365   -0.108704   0.0443074
           3   -0.266066   -0.161158   0.0520266
           4   -0.301416   -0.196223   0.0494439
           5   -0.337716   -0.224521   0.0469601
           6   -0.332989   -0.242599   0.0424708
           7   -0.305229   -0.251546   0.0373341
           8   -0.317057   -0.259735   0.0335534
           9   -0.362157   -0.271115   0.0316964
          10   -0.407393   -0.284743   0.0313197
          11   -0.405889   -0.295756   0.0303471
          12   -0.425219   -0.306545   0.0296739
          13   -0.412654   -0.314707   0.0284918
          14   -0.362031   -0.318087   0.0266564
          15   -0.400522   -0.323583   0.0254395
          16   -0.383678   -0.327339   0.0241252
          17    -0.37366   -0.330064   0.0228595
          18   -0.382325   -0.332967   0.0217731
          19   -0.365512    -0.33468   0.0206944
          20    -0.35001   -0.335447   0.0196739
          21   -0.355299   -0.336392   0.0187597
          22   -0.348602   -0.336947   0.0179152
          23   -0.368755    -0.33833   0.0171896
          24   -0.361149   -0.339281   0.0164996
          25   -0.316605   -0.338374   0.0158646
          26   -0.353635   -0.338961   0.0152652
          27   -0.364616   -0.339911   0.0147294
          28   -0.397492   -0.341967   0.0143462
          29   -0.387067   -0.343522   0.0139355
          30   -0.374307   -0.344549   0.0135087
          31   -0.402131   -0.346406   0.0132001
          32    -0.40979   -0.348387   0.0129353
          33   -0.399076   -0.349923   0.0126342
          34   -0.364426   -0.350349   0.0122698
          35   -0.415639   -0.352215   0.0120602
          36   -0.369981   -0.352708   0.0117353
          37   -0.357506   -0.352838   0.0114189
          38   -0.409022   -0.354317   0.0112137
          39   -0.427324   -0.356189   0.0110813
          40   -0.399317   -0.357267   0.0108566
          41   -0.346531   -0.357005   0.0105949
          42   -0.330146   -0.356365    0.010362
          43   -0.286156   -0.354733   0.0102488
          44   -0.309138   -0.353696   0.0100681
          45   -0.327327    -0.35311  0.00986145
          46   -0.371289   -0.353506  0.00965498
          47   -0.317375   -0.352737  0.00948011
          48   -0.312509   -0.351899  0.00931958
          49   -0.332167   -0.351496  0.00913808
          50   -0.350096   -0.351468  0.00895536
          51   -0.347222   -0.351385  0.00878015
          52   -0.351806   -0.351393  0.00861131
          53   -0.405169   -0.352408   0.0085084
          54   -0.374755   -0.352821  0.00836089
          55   -0.361388   -0.352977  0.00821033
          56   -0.336766   -0.352688  0.00806882
          57   -0.337355   -0.352419  0.00793174
          58    -0.31027   -0.351692   0.0078282
          59   -0.280314   -0.350482  0.00778844
          60    -0.33915   -0.350293  0.00766093
          61   -0.355673   -0.350382  0.00753585
          62   -0.371079   -0.350715  0.00742169
          63   -0.362185   -0.350897  0.00730612
          64   -0.362472   -0.351078   0.0071942
          65   -0.354692   -0.351134  0.00708373
          66   -0.373813   -0.351477  0.00698473
          67   -0.350957    -0.35147  0.00688049
          68   -0.387313   -0.351997  0.00679946
          69    -0.40251   -0.352729  0.00674022
          70   -0.373418   -0.353024  0.00665041
          71   -0.369212   -0.353252  0.00656064
          72   -0.314751   -0.352718  0.00649128
          73    -0.27483   -0.351651  0.00648945
          74   -0.296533   -0.350906  0.00644436
          75   -0.283994   -0.350014  0.00641989
          76   -0.297525   -0.349323  0.00637246
          77   -0.338352   -0.349181   0.0062913
          78   -0.288606   -0.348404  0.00625839
          79   -0.322407   -0.348075  0.00618781
          80   -0.335811   -0.347922  0.00611236
          81   -0.353296   -0.347988  0.00603726
          82   -0.316495   -0.347604  0.00597584
          83   -0.324941   -0.347331  0.00591008
          84   -0.348147   -0.347341  0.00583973
          85   -0.359788   -0.347487  0.00577286
          86   -0.377716   -0.347839  0.00571643
          87   -0.403704   -0.348481  0.00568667
          88   -0.414735   -0.349234  0.00567167
          89   -0.434985   -0.350197  0.00568919
          90   -0.419836   -0.350971  0.00567836
          91   -0.377549   -0.351263  0.00562346
          92   -0.396861   -0.351759  0.00558414
          93   -0.374681   -0.352005  0.00552953
          94   -0.358651   -0.352076  0.00547116
          95   -0.374413   -0.352311  0.00541862
          96   -0.412382   -0.352937  0.00539818
          97    -0.44725   -0.353909  0.00542939
          98   -0.473777   -0.355132  0.00551004
          99   -0.415759   -0.355744  0.00548831
         100   -0.370961   -0.355897  0.00543553
