#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0478786   0.0478786           0
           2   0.0514118   0.0496452  0.00124916
           3   0.0549728   0.0514211  0.00167211
           4    0.056491   0.0526886  0.00166662
           5   0.0585266   0.0538562  0.00169361
           6   0.0589968   0.0547129  0.00161357
           7   0.0584755   0.0552504  0.00146986
           8   0.0585542   0.0556634  0.00134289
           9   0.0584514   0.0559732  0.00122889
          10    0.058469   0.0562228  0.00113106
          11   0.0590651   0.0564812  0.00105734
          12    0.058125   0.0566182 0.000978063
          13    0.057702   0.0567015 0.000906373
          14   0.0581699   0.0568064 0.000847679
          15    0.058194   0.0568989 0.000796198
          16   0.0580935   0.0569736 0.000749928
          17   0.0578686   0.0570262  0.00070766
          18   0.0583063   0.0570973  0.00067191
          19   0.0588974   0.0571921 0.000643191
          20   0.0574683   0.0572059  0.00061118
          21   0.0598936   0.0573339 0.000595326
          22   0.0595206   0.0574333 0.000576504
          23   0.0596649   0.0575303 0.000559544
          24   0.0603859   0.0576493 0.000548734
          25   0.0586509   0.0576894 0.000528245
          26   0.0586858   0.0577277 0.000509317
          27   0.0584124    0.057753 0.000491084
          28   0.0578927    0.057758 0.000473571
          29   0.0583631   0.0577789   0.0004577
          30   0.0584845   0.0578024 0.000443047
          31   0.0568177   0.0577706 0.000429893
          32   0.0564412   0.0577291 0.000418461
          33   0.0561153   0.0576802 0.000408628
          34   0.0561862   0.0576363 0.000398965
          35    0.057595   0.0576351 0.000387568
          36   0.0584933   0.0576589 0.000377535
          37   0.0584111   0.0576792 0.000367878
          38   0.0590925   0.0577164 0.000360072
          39   0.0595139   0.0577625 0.000353777
          40   0.0598622    0.057815 0.000348805
          41   0.0606074   0.0578831 0.000346883
          42   0.0594466   0.0579203 0.000340615
          43   0.0585589   0.0579352 0.000333018
          44   0.0590224   0.0579599 0.000326364
          45   0.0593495   0.0579908 0.000320569
          46     0.05794   0.0579897 0.000313602
          47   0.0603352   0.0580396 0.000310875
          48   0.0604526   0.0580899 0.000308436
          49   0.0620584   0.0581708 0.000312594
          50   0.0625713   0.0582589 0.000318491
          51   0.0602078   0.0582971  0.00031453
          52   0.0596006   0.0583221 0.000309479
          53   0.0614563   0.0583813 0.000309238
          54   0.0603039   0.0584169 0.000305554
          55   0.0606887   0.0584582 0.000302777
          56   0.0610387   0.0585043 0.000300857
          57   0.0612161   0.0585518 0.000299317
          58   0.0628206   0.0586254 0.000303069
          59   0.0615736   0.0586754 0.000302024
          60    0.062963   0.0587469 0.000305327
          61   0.0618725   0.0587981 0.000304591
          62   0.0600713   0.0588186 0.000300369
          63   0.0600454   0.0588381 0.000296232
          64   0.0608183   0.0588691 0.000293215
          65   0.0610592   0.0589027 0.000290633
          66   0.0588384   0.0589018 0.000286231
          67   0.0587551   0.0588996 0.000281968
          68   0.0590995   0.0589025 0.000277836
          69   0.0600703   0.0589194 0.000274325
          70   0.0606685   0.0589444 0.000271541
          71   0.0624129   0.0589933 0.000272076
          72   0.0615935   0.0590294 0.000270683
          73   0.0612826   0.0590603 0.000268729
          74   0.0609825   0.0590862  0.00026635
          75   0.0607067   0.0591078 0.000263674
          76   0.0600524   0.0591203 0.000260497
          77   0.0608556   0.0591428 0.000258087
          78   0.0613176   0.0591707  0.00025628
          79   0.0608713   0.0591922 0.000253938
          80   0.0591154   0.0591913 0.000250766
          81   0.0577689   0.0591737 0.000248284
          82   0.0590971   0.0591728 0.000245258
          83   0.0582936   0.0591622 0.000242532
          84   0.0575487    0.059143 0.000240404
          85   0.0585122   0.0591355  0.00023769
          86   0.0579912   0.0591222 0.000235298
          87   0.0587655   0.0591181  0.00023263
          88   0.0588513   0.0591151 0.000230006
          89   0.0596675   0.0591213 0.000227505
          90   0.0588691   0.0591185 0.000224995
          91   0.0592026   0.0591194 0.000222524
          92    0.060626   0.0591358 0.000220707
          93   0.0591975   0.0591365 0.000218335
          94   0.0591831    0.059137 0.000216013
          95   0.0593481   0.0591392  0.00021375
          96   0.0596102   0.0591441  0.00021158
          97   0.0592908   0.0591456 0.000209404
          98   0.0587279   0.0591414 0.000207311
          99   0.0591226   0.0591412 0.000205217
         100    0.059973   0.0591495 0.000203333
