#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.958352    0.958352           0
           2     1.02899    0.993672   0.0249747
           3     1.10135     1.02956   0.0337055
           4     1.13107     1.05494   0.0334958
           5     1.17242     1.07844   0.0340549
           6     1.18221     1.09573   0.0324755
           7     1.17129     1.10653   0.0295755
           8     1.17248     1.11477   0.0270032
           9     1.17065     1.12098   0.0247062
          10     1.17184     1.12606    0.022753
          11     1.18312     1.13125   0.0212676
          12     1.16391     1.13397   0.0196688
          13     1.15683     1.13573   0.0182342
          14     1.16568     1.13787   0.0170568
          15     1.16546     1.13971   0.0160185
          16     1.16368     1.14121   0.0150873
          17      1.1592     1.14227   0.0142368
          18     1.16821     1.14371   0.0135187
          19     1.17976     1.14561   0.0129396
          20     1.15152      1.1459    0.012296
          21     1.19942     1.14845   0.0119717
          22     1.19254     1.15045    0.011594
          23     1.19519      1.1524   0.0112519
          24     1.20985     1.15479   0.0110347
          25     1.17527     1.15561   0.0106237
          26     1.17602      1.1564    0.010244
          27     1.16942     1.15688  0.00987598
          28     1.15925     1.15696  0.00952363
          29     1.16827     1.15735   0.0092032
          30     1.17165     1.15783  0.00890876
          31     1.13789     1.15719  0.00864457
          32      1.1311     1.15637  0.00841277
          33      1.1242      1.1554  0.00821414
          34     1.12584     1.15453  0.00801842
          35     1.15325     1.15449   0.0077894
          36     1.17084     1.15494  0.00758626
          37     1.17041     1.15536  0.00739274
          38     1.18388     1.15611  0.00723617
          39     1.19184     1.15703  0.00710839
          40     1.19867     1.15807  0.00700648
          41     1.21381     1.15943  0.00696626
          42     1.19096     1.16018  0.00684073
          43     1.17294     1.16048  0.00668807
          44      1.1823     1.16097  0.00655444
          45     1.18958     1.16161  0.00643954
          46     1.16133      1.1616  0.00629955
          47     1.20832      1.1626  0.00624345
          48     1.21066      1.1636  0.00619316
          49     1.24406     1.16524  0.00628067
          50     1.25346       1.167  0.00639811
          51     1.20679     1.16778  0.00632004
          52     1.19509     1.16831  0.00622027
          53     1.23124      1.1695  0.00621519
          54     1.20836     1.17022  0.00614162
          55     1.21627     1.17105  0.00608677
          56     1.22236     1.17197  0.00604663
          57     1.22654     1.17293  0.00601585
          58     1.25747     1.17438  0.00608615
          59     1.23497     1.17541  0.00606902
          60     1.26158     1.17685  0.00613545
          61     1.23951     1.17788  0.00612026
          62     1.20374     1.17829  0.00603574
          63     1.20312     1.17869  0.00595279
          64     1.21876     1.17931  0.00589262
          65     1.22304     1.17999  0.00584023
          66     1.17947     1.17998  0.00575174
          67      1.1772     1.17994  0.00566605
          68     1.18362     1.17999  0.00558298
          69     1.20293     1.18032  0.00551196
          70     1.21505     1.18082   0.0054555
          71     1.24979     1.18179  0.00546446
          72     1.23378     1.18251  0.00543606
          73      1.2278     1.18313  0.00539688
          74     1.22258     1.18367  0.00535022
          75     1.21682     1.18411  0.00529711
          76     1.20306     1.18436  0.00523328
          77     1.21882      1.1848  0.00518442
          78     1.22791     1.18536  0.00514732
          79     1.21936     1.18579  0.00510012
          80     1.18392     1.18576  0.00503643
          81     1.15718     1.18541   0.0049866
          82     1.18353     1.18539  0.00492584
          83      1.1677     1.18518   0.0048711
          84     1.15302     1.18479  0.00482813
          85     1.17241     1.18465  0.00477352
          86     1.16188     1.18438  0.00472535
          87     1.17759      1.1843  0.00467168
          88     1.17955     1.18425  0.00461891
          89     1.19487     1.18437  0.00456855
          90      1.1794     1.18431  0.00451812
          91     1.18619     1.18433  0.00446852
          92     1.21422     1.18466  0.00443174
          93      1.1866     1.18468  0.00438413
          94     1.18488     1.18468   0.0043375
          95     1.18946     1.18473  0.00429213
          96     1.19379     1.18483  0.00424846
          97     1.18771     1.18486  0.00420476
          98     1.17653     1.18477  0.00416271
          99     1.18534     1.18478  0.00412067
         100     1.20096     1.18494  0.00408264
