#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.75726     1.75726           0
           2     1.75679     1.75702 0.000168208
           3     1.75685     1.75697 0.000121667
           4     1.75681     1.75693  9.7378e-05
           5     1.75682     1.75691 8.00533e-05
           6     1.75686      1.7569 6.70646e-05
           7     1.75675     1.75688 6.07424e-05
           8     1.75667     1.75685 5.82257e-05
           9     1.75667     1.75683 5.53461e-05
          10     1.75671     1.75682 5.12214e-05
          11     1.75669     1.75681 4.79773e-05
          12     1.75672      1.7568 4.45848e-05
          13     1.75663     1.75679 4.30428e-05
          14     1.75661     1.75677 4.18054e-05
          15     1.75651     1.75676 4.26243e-05
          16     1.75667     1.75675 4.02924e-05
          17     1.75675     1.75675 3.79223e-05
          18     1.75671     1.75675 3.58862e-05
          19     1.75675     1.75675 3.39976e-05
          20     1.75685     1.75675 3.26502e-05
          21     1.75691     1.75676 3.19118e-05
          22     1.75681     1.75676 3.05287e-05
          23     1.75685     1.75677 2.94471e-05
          24     1.75681     1.75677 2.82691e-05
          25     1.75682     1.75677 2.72182e-05
          26     1.75673     1.75677 2.62083e-05
          27     1.75681     1.75677 2.52858e-05
          28     1.75685     1.75677   2.454e-05
          29     1.75691     1.75678  2.4157e-05
          30      1.7568     1.75678 2.33631e-05
          31      1.7567     1.75678 2.27641e-05
          32     1.75672     1.75677 2.21294e-05
          33     1.75657     1.75677 2.23246e-05
          34     1.75647     1.75676 2.33155e-05
          35     1.75649     1.75675 2.38599e-05
          36      1.7567     1.75675 2.32423e-05
          37     1.75674     1.75675 2.26176e-05
          38     1.75676     1.75675 2.20252e-05
          39     1.75689     1.75675  2.1736e-05
          40     1.75702     1.75676 2.21776e-05
          41     1.75697     1.75677 2.22345e-05
          42     1.75695     1.75677 2.21243e-05
          43     1.75685     1.75677 2.16943e-05
          44     1.75674     1.75677 2.12125e-05
          45     1.75664     1.75677 2.09355e-05
          46     1.75663     1.75677 2.06865e-05
          47      1.7568     1.75677 2.02602e-05
          48     1.75668     1.75676 1.99084e-05
          49     1.75685     1.75677 1.95764e-05
          50     1.75685     1.75677 1.92625e-05
          51     1.75688     1.75677   1.902e-05
          52     1.75688     1.75677 1.87744e-05
          53     1.75681     1.75677 1.84306e-05
          54     1.75684     1.75677 1.81352e-05
          55     1.75676     1.75677 1.78076e-05
          56     1.75681     1.75677 1.75019e-05
          57     1.75678     1.75677 1.71951e-05
          58     1.75683     1.75678 1.69219e-05
          59     1.75673     1.75677  1.6656e-05
          60     1.75675     1.75677 1.63848e-05
          61     1.75682     1.75677 1.61302e-05
          62     1.75685     1.75678 1.59139e-05
          63     1.75685     1.75678 1.57049e-05
          64     1.75684     1.75678 1.54897e-05
          65     1.75685     1.75678 1.52947e-05
          66     1.75689     1.75678  1.5149e-05
          67     1.75681     1.75678 1.49299e-05
          68     1.75688     1.75678 1.47858e-05
          69     1.75677     1.75678 1.45732e-05
          70     1.75684     1.75678 1.43876e-05
          71     1.75675     1.75678 1.41938e-05
          72      1.7569     1.75678 1.40963e-05
          73     1.75684     1.75679 1.39214e-05
          74     1.75689     1.75679 1.38096e-05
          75     1.75692     1.75679 1.37394e-05
          76     1.75689     1.75679 1.36293e-05
          77     1.75695     1.75679 1.36118e-05
          78     1.75693     1.75679 1.35558e-05
          79     1.75685     1.75679 1.34006e-05
          80     1.75685      1.7568  1.3254e-05
          81     1.75684      1.7568 1.31015e-05
          82     1.75684      1.7568 1.29508e-05
          83     1.75669      1.7568 1.28531e-05
          84     1.75666     1.75679 1.28064e-05
          85     1.75667     1.75679 1.27388e-05
          86     1.75668     1.75679 1.26519e-05
          87     1.75672     1.75679 1.25345e-05
          88     1.75681     1.75679 1.23935e-05
          89      1.7568     1.75679 1.22553e-05
          90     1.75691     1.75679 1.21945e-05
          91     1.75685     1.75679 1.20778e-05
          92      1.7569     1.75679 1.19997e-05
          93     1.75689     1.75679 1.19156e-05
          94     1.75675     1.75679 1.17963e-05
          95     1.75673     1.75679 1.16924e-05
          96     1.75673     1.75679 1.15892e-05
          97     1.75671     1.75679 1.15004e-05
          98     1.75677     1.75679 1.13858e-05
          99     1.75672     1.75679 1.12939e-05
         100     1.75679     1.75679  1.1181e-05
