#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.972082    0.972082           0
           2    0.881407    0.926745   0.0320584
           3    0.903104    0.918865   0.0223197
           4    0.909873    0.916617   0.0168526
           5      0.9178    0.916853   0.0134837
           6    0.914119    0.916398   0.0112441
           7    0.881117    0.911358    0.010708
           8    0.882916    0.907802  0.00994218
           9    0.873049    0.903941  0.00955803
          10    0.840203    0.897567   0.0105148
          11    0.887034     0.89661   0.0096024
          12    0.909243    0.897662  0.00885972
          13     0.90746    0.898416   0.0082102
          14    0.908209    0.899116  0.00765349
          15    0.899811    0.899162   0.0071434
          16     0.86191    0.896834  0.00706618
          17      0.8979    0.896896   0.0066508
          18    0.896945    0.896899  0.00628131
          19    0.876814    0.895842  0.00603901
          20    0.910725    0.896586  0.00578272
          21    0.900927    0.896793  0.00551105
          22    0.843007    0.894348  0.00577744
          23    0.874383     0.89348  0.00559108
          24     0.90892    0.894123    0.005395
          25    0.901428    0.894415  0.00518711
          26    0.882326     0.89395   0.0050084
          27    0.892836    0.893909  0.00482308
          28     0.91139    0.894534  0.00469106
          29    0.854335    0.893147  0.00472966
          30    0.857633    0.891964  0.00471783
          31    0.861472     0.89098  0.00466705
          32    0.863405    0.890118  0.00460007
          33    0.863801    0.889321  0.00452927
          34    0.903004    0.889723   0.0044139
          35    0.915461    0.890459  0.00434862
          36    0.936149    0.891728  0.00440915
          37    0.925445    0.892639  0.00438314
          38    0.887169    0.892495  0.00427016
          39    0.885409    0.892313  0.00416453
          40    0.909387     0.89274  0.00408223
          41    0.924029    0.893503  0.00405337
          42     0.89216    0.893471  0.00395699
          43    0.897554    0.893566   0.0038661
          44    0.888307    0.893447  0.00378008
          45    0.903184    0.893663  0.00370227
          46     0.87263    0.893206  0.00364991
          47    0.867213    0.892653  0.00361391
