#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.76744     1.76744           0
           2      1.7276     1.74752   0.0140862
           3     1.76467     1.75324    0.010487
           4     1.76649     1.75655   0.0083725
           5     1.76032      1.7573  0.00673191
           6     1.74315     1.75494  0.00600913
           7     1.72376     1.75049  0.00659854
           8     1.77559     1.75363  0.00647669
           9     1.79252     1.75795  0.00705282
          10     1.77032     1.75919  0.00645521
          11     1.72894     1.75644   0.0064274
          12      1.7658     1.75722    0.005939
          13     1.70741     1.75339  0.00660308
          14     1.76226     1.75402  0.00616181
          15     1.83411     1.75936  0.00772543
          16     1.79676      1.7617  0.00758794
          17     1.76442     1.76186  0.00714329
          18      1.7518      1.7613  0.00676824
          19     1.80372     1.76353   0.0067703
          20     1.77513     1.76411  0.00645659
          21     1.71847     1.76194  0.00650472
          22     1.72611     1.76031  0.00640967
          23     1.66286     1.75607  0.00739995
          24     1.78822     1.75741  0.00721185
          25     1.77567     1.75814  0.00696025
          26     1.75552     1.75804  0.00669328
          27     1.76551     1.75832   0.0064511
          28     1.76672     1.75862  0.00622769
          29     1.84355     1.76155  0.00666609
          30      1.7454     1.76101  0.00646556
          31     1.73833     1.76028  0.00629825
          32     1.78439     1.76103  0.00614634
          33     1.79965      1.7622  0.00607048
          34     1.76608     1.76231    0.005893
          35     1.80123     1.76343  0.00582858
          36     1.77351     1.76371  0.00567341
          37     1.75022     1.76334  0.00553178
          38      1.7578      1.7632  0.00538813
          39     1.77548     1.76351  0.00525917
          40     1.72526     1.76255   0.0052139
          41     1.79991     1.76347  0.00516572
          42     1.73398     1.76276  0.00509023
          43     1.80031     1.76364  0.00504617
          44     1.75674     1.76348  0.00493392
          45     1.71739     1.76246  0.00492945
          46     1.75305     1.76225  0.00482653
          47     1.75673     1.76213  0.00472527
          48     1.77402     1.76238  0.00463331
          49      1.7509     1.76215  0.00454467
          50     1.76581     1.76222  0.00445436
          51      1.7812     1.76259  0.00438253
          52     1.74137     1.76218  0.00431722
          53     1.72317     1.76145  0.00429808
          54     1.72385     1.76075  0.00427451
          55     1.75573     1.76066  0.00419777
          56     1.78686     1.76113  0.00414881
          57     1.77814     1.76143  0.00408674
          58     1.80254     1.76214  0.00407728
          59     1.73197     1.76162   0.0040401
          60     1.71875     1.76091  0.00403546
          61     1.74434     1.76064  0.00397844
          62     1.79994     1.76127  0.00396445
          63     1.77122     1.76143  0.00390467
          64      1.7737     1.76162  0.00384836
          65     1.77068     1.76176  0.00379168
          66     1.72646     1.76123  0.00377176
          67     1.76517     1.76129  0.00371593
          68     1.75866     1.76125  0.00366148
          69     1.70464     1.76043  0.00369919
          70     1.79536     1.76093  0.00367986
          71     1.75503     1.76084  0.00362896
          72      1.7447     1.76062  0.00358548
          73     1.74325     1.76038  0.00354425
          74     1.75406     1.76029  0.00349738
          75     1.77621     1.76051  0.00345718
          76     1.74865     1.76035  0.00341521
          77     1.75672      1.7603  0.00337118
          78     1.77575      1.7605  0.00333377
          79      1.7616     1.76052   0.0032916
          80      1.7464     1.76034  0.00325518
          81     1.71658      1.7598  0.00325951
          82     1.74869     1.75966  0.00322258
          83     1.78805     1.76001  0.00320185
          84     1.77463     1.76018  0.00316846
          85     1.73374     1.75987  0.00314642
          86      1.7802      1.7601  0.00311871
          87     1.71878     1.75963  0.00311883
          88     1.78435     1.75991  0.00309602
          89     1.72045     1.75947  0.00309282
          90     1.69243     1.75872  0.00314686
          91     1.70322     1.75811  0.00317083
          92     1.77544      1.7583  0.00314195
          93     1.71713     1.75786  0.00313919
          94      1.7862     1.75816  0.00312024
          95     1.77457     1.75833  0.00309218
          96      1.8209     1.75898   0.0031279
          97     1.74741     1.75886  0.00309792
          98     1.74715     1.75875  0.00306862
          99     1.72514     1.75841  0.00305633
         100     1.76554     1.75848   0.0030266
