#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -4.96595    -4.96595           0
           2    -4.92565     -4.9458   0.0142491
           3    -4.96301    -4.95154   0.0105914
           4    -4.96594    -4.95514  0.00853334
           5    -4.95786    -4.95568  0.00684398
           6    -4.94172    -4.95335  0.00608597
           7    -4.92182    -4.94885  0.00667892
           8    -4.97642    -4.95229  0.00667403
           9    -4.99168    -4.95667  0.00722602
          10    -4.96768    -4.95777  0.00658674
          11    -4.92612    -4.95489  0.00658661
          12    -4.96395    -4.95565   0.0060808
          13    -4.90339    -4.95163  0.00681356
          14    -4.96071    -4.95228   0.0063577
          15    -5.03286    -4.95765   0.0078834
          16     -4.9975    -4.96014   0.0077741
          17    -4.96348    -4.96034  0.00731928
          18    -4.95089    -4.95981  0.00693142
          19    -5.00192    -4.96203  0.00691177
          20    -4.97174    -4.96251  0.00658321
          21    -4.91668    -4.96033  0.00662161
          22    -4.92365    -4.95866  0.00652713
          23     -4.8583     -4.9543  0.00756266
          24    -4.98804    -4.95571  0.00737709
          25    -4.97273    -4.95639  0.00711335
          26     -4.9542     -4.9563  0.00684026
          27    -4.96495    -4.95662  0.00659441
          28    -4.96837    -4.95704  0.00637223
          29    -5.04343    -4.96002  0.00681337
          30    -4.94266    -4.95944  0.00661078
          31    -4.93621    -4.95869  0.00643988
          32    -4.98418    -4.95949   0.0062877
          33    -4.99524    -4.96057  0.00618978
          34    -4.96715    -4.96077  0.00601075
          35    -5.00232    -4.96195  0.00595514
          36    -4.97316    -4.96226  0.00579785
          37    -4.94835    -4.96189  0.00565333
          38    -4.95656    -4.96175   0.0055063
          39     -4.9721    -4.96201  0.00537151
          40     -4.9224    -4.96102  0.00532772
          41    -4.99708     -4.9619  0.00526988
          42    -4.93202    -4.96119   0.0051922
          43    -5.00127    -4.96212  0.00515441
          44    -4.95409    -4.96194   0.0050405
          45    -4.92042    -4.96102  0.00501223
          46    -4.95421    -4.96087  0.00490545
          47    -4.95476    -4.96074  0.00480281
          48    -4.97329      -4.961  0.00470986
          49     -4.9507    -4.96079  0.00461843
          50    -4.96519    -4.96088   0.0045269
          51    -4.97886    -4.96123  0.00445184
          52    -4.93872     -4.9608  0.00438723
          53    -4.92013    -4.96003  0.00437105
          54     -4.9182    -4.95926  0.00435822
          55    -4.95269    -4.95914  0.00428061
          56    -4.98314    -4.95957  0.00422559
          57     -4.9762    -4.95986  0.00416152
          58    -5.00159    -4.96058   0.0041515
          59    -4.92923    -4.96005  0.00411499
          60    -4.91773    -4.95934   0.0041064
          61    -4.94181    -4.95905  0.00404913
          62      -4.998    -4.95968  0.00403226
          63    -4.97067    -4.95986  0.00397202
          64     -4.9716    -4.96004  0.00391419
          65    -4.96617    -4.96013  0.00385511
          66    -4.92295    -4.95957  0.00383764
          67    -4.96469    -4.95965  0.00378113
          68    -4.95644     -4.9596  0.00372582
          69    -4.89991    -4.95873   0.0037709
          70    -4.99362    -4.95923  0.00374982
          71    -4.95317    -4.95915  0.00369798
          72    -4.94475    -4.95895  0.00365202
          73    -4.94215    -4.95872  0.00360923
          74    -4.94977     -4.9586  0.00356249
          75    -4.97332    -4.95879  0.00352039
          76    -4.94636    -4.95863  0.00347787
          77    -4.95246    -4.95855  0.00343362
          78    -4.97431    -4.95875  0.00339554
          79    -4.96182    -4.95879  0.00335278
          80    -4.94391     -4.9586  0.00331603
          81    -4.91388    -4.95805  0.00332074
          82    -4.94586     -4.9579  0.00328357
          83    -4.98828    -4.95827  0.00326434
          84    -4.97043    -4.95841  0.00322869
          85    -4.93259    -4.95811  0.00320497
          86    -4.97808    -4.95834  0.00317611
          87    -4.91627    -4.95786   0.0031762
          88    -4.98263    -4.95814  0.00315256
          89    -4.91618    -4.95767  0.00315219
          90    -4.89039    -4.95692  0.00320458
          91    -4.89875    -4.95628  0.00323249
          92    -4.97483    -4.95648  0.00320364
          93    -4.91569    -4.95605  0.00319908
          94    -4.98308    -4.95633  0.00317795
          95    -4.97479    -4.95653  0.00315043
          96    -5.01779    -4.95717  0.00318159
          97    -4.94499    -4.95704  0.00315127
          98     -4.9453    -4.95692  0.00312139
          99    -4.92444    -4.95659  0.00310705
         100    -4.96063    -4.95663  0.00307624
