#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.956774    0.956774           0
           2    0.937629    0.947201  0.00676871
           3    0.955769    0.950057  0.00507938
           4    0.956374    0.951637  0.00404757
           5    0.953722    0.952054  0.00325948
           6    0.944354     0.95077   0.0029581
           7    0.935081    0.948529  0.00327643
           8    0.959999    0.949963  0.00316509
           9    0.968377    0.952009  0.00341121
          10     0.95809    0.952617  0.00312383
          11    0.939194    0.951397  0.00306895
          12    0.956184    0.951796  0.00283902
          13    0.927966    0.949963  0.00315742
          14    0.954104    0.950258  0.00294572
          15    0.989249    0.952858  0.00372361
          16     0.97058    0.953965  0.00365192
          17     0.95437    0.953989  0.00343718
          18     0.94835    0.953676  0.00326047
          19    0.974888    0.954792  0.00327444
          20    0.960611    0.955083  0.00312361
          21     0.93198    0.953983  0.00316269
          22    0.936629    0.953194  0.00311575
          23     0.90557    0.951124  0.00360322
          24    0.966144     0.95175  0.00350702
          25    0.960107    0.952084  0.00338263
          26    0.950654    0.952029  0.00325298
          27    0.955036     0.95214   0.0031344
          28    0.955995    0.952278  0.00302548
          29    0.993542    0.953701  0.00323851
          30    0.946248    0.953452  0.00314007
          31    0.942697    0.953105  0.00305789
          32    0.964897    0.953474  0.00298445
          33     0.97301    0.954066  0.00295214
          34    0.954442    0.954077  0.00286533
          35    0.971551    0.954576  0.00282663
          36    0.959133    0.954703  0.00275094
          37    0.948406    0.954533  0.00268185
          38    0.951768     0.95446  0.00261226
          39    0.960387    0.954612   0.0025497
          40    0.936777    0.954166  0.00252464
          41    0.973007    0.954626  0.00250454
          42    0.939236    0.954259  0.00247157
          43    0.972268    0.954678  0.00244932
          44     0.95187    0.954614  0.00239448
          45    0.930295    0.954074  0.00240148
          46    0.949328    0.953971  0.00235149
          47    0.951631    0.953921  0.00230199
          48    0.959497    0.954037  0.00225696
          49    0.949111    0.953936  0.00221313
          50     0.95544    0.953966  0.00216908
          51     0.96438    0.954171  0.00213613
          52    0.944214    0.953979  0.00210362
          53    0.934441     0.95361  0.00209598
          54    0.936051    0.953285  0.00208224
          55    0.950938    0.953243  0.00204482
          56    0.967654      0.9535  0.00202443
          57    0.961037    0.953632  0.00199323
          58    0.973822     0.95398  0.00198903
          59    0.938636     0.95372  0.00197224
          60    0.931795    0.953355  0.00197294
          61    0.945157     0.95322  0.00194516
          62    0.972755    0.953536  0.00193914
          63    0.959013    0.953622  0.00191031
          64    0.960068    0.953723  0.00188311
          65    0.959267    0.953808  0.00185607
          66    0.936695    0.953549  0.00184597
          67    0.955131    0.953573  0.00181857
          68    0.951497    0.953542  0.00179208
          69    0.927673    0.953167  0.00180491
          70    0.971347    0.953427  0.00179771
          71    0.950554    0.953387  0.00177284
          72    0.946171    0.953286  0.00175105
          73    0.945965    0.953186  0.00172993
          74    0.951017    0.953157  0.00170681
          75    0.961732    0.953271  0.00168787
          76    0.947791    0.953199   0.0016672
          77     0.95201    0.953184  0.00164562
          78    0.960751    0.953281  0.00162738
          79    0.954145    0.953291  0.00160682
          80    0.947121    0.953214  0.00158859
          81    0.932158    0.952954   0.0015901
          82    0.947378    0.952886  0.00157216
          83    0.967063    0.953057  0.00156247
          84    0.959677    0.953136  0.00154586
          85    0.941539       0.953  0.00153368
          86    0.964094    0.953129  0.00152126
          87    0.932695    0.952894   0.0015218
          88    0.966139    0.953044  0.00151193
          89    0.935923    0.952852  0.00150713
          90    0.919636    0.952483  0.00153491
          91    0.925761    0.952189  0.00154587
          92    0.960145    0.952276  0.00153149
          93    0.933442    0.952073  0.00152835
          94    0.965352    0.952214  0.00151861
          95    0.959441     0.95229  0.00150453
          96     0.98535    0.952635  0.00152776
          97    0.948051    0.952588  0.00151274
          98     0.94671    0.952528  0.00149849
          99    0.936893     0.95237  0.00149165
         100    0.955828    0.952404  0.00147714
