#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.671112    0.671112           0
           2    0.617495    0.644303   0.0189566
           3    0.581443     0.62335     0.02127
           4    0.604721    0.618693   0.0164545
           5    0.585643    0.612083   0.0144303
           6    0.611493    0.611984   0.0120255
           7    0.621326    0.613319   0.0103814
           8    0.618084    0.613915  0.00910079
           9     0.58965    0.611218  0.00847955
          10    0.594242    0.609521  0.00779968
          11    0.599249    0.608587   0.0071463
          12    0.592055    0.607209  0.00668226
          13    0.597422    0.606456   0.0062105
          14    0.610157    0.606721  0.00577252
          15    0.593357     0.60583    0.005456
          16    0.605264    0.605794  0.00511511
          17    0.608318    0.605943  0.00481638
          18    0.604147    0.605843  0.00454983
          19    0.602734    0.605679  0.00431331
          20    0.599871    0.605389  0.00410741
          21    0.618985    0.606036  0.00396252
          22    0.583605    0.605017  0.00391138
          23    0.604624       0.605  0.00374136
          24    0.592329    0.604472  0.00362253
          25    0.603572    0.604436   0.0034778
          26     0.59039    0.603896  0.00338574
          27    0.576941    0.602897  0.00340434
          28    0.592659    0.602532  0.00330234
          29     0.60364     0.60257  0.00318869
          30    0.594936    0.602315  0.00309253
          31    0.590779    0.601943  0.00301508
          32    0.593271    0.601672  0.00293301
          33    0.608733    0.601886  0.00285193
          34     0.60381    0.601943  0.00276861
          35    0.599756     0.60188  0.00269021
          36    0.594171    0.601666  0.00262399
          37    0.598349    0.601577  0.00255461
          38    0.611142    0.601828  0.00249975
          39    0.603182    0.601863   0.0024359
          40    0.616151     0.60222  0.00240105
          41    0.607221    0.602342  0.00234558
          42    0.593002     0.60212  0.00230025
          43    0.592385    0.601893  0.00225787
          44    0.574027     0.60126  0.00229366
          45    0.594734    0.601115  0.00224727
          46    0.594394    0.600969  0.00220316
          47    0.598421    0.600915  0.00215695
          48    0.596889    0.600831  0.00211364
          49    0.587634    0.600562   0.0020876
          50    0.606828    0.600687   0.0020496
          51    0.571515    0.600115   0.0020877
          52    0.594757    0.600012   0.0020501
          53     0.60691    0.600142  0.00201554
          54    0.563583    0.599465  0.00208883
          55    0.602585    0.599522  0.00205162
          56    0.595267    0.599446  0.00201639
          57    0.594813    0.599364  0.00198265
          58    0.619791    0.599717   0.0019795
          59    0.619495    0.600052  0.00197413
          60    0.580444    0.599725  0.00196809
          61     0.59856    0.599706  0.00193592
          62    0.607975    0.599839  0.00190928
          63    0.626342     0.60026  0.00192476
          64    0.611394    0.600434  0.00190254
          65    0.591242    0.600293  0.00187851
          66    0.586526    0.600084   0.0018616
          67     0.60514    0.600159  0.00183534
          68    0.584868    0.599935  0.00182207
          69    0.594541    0.599856  0.00179734
          70    0.581466    0.599594  0.00179076
          71    0.584652    0.599383  0.00177787
          72    0.585639    0.599192  0.00176339
          73    0.610079    0.599341  0.00174553
          74    0.602997    0.599391  0.00172264
          75     0.60989    0.599531  0.00170535
          76     0.60293    0.599576   0.0016835
          77    0.603909    0.599632  0.00166258
          78    0.609581    0.599759  0.00164615
          79    0.607698     0.59986  0.00162837
          80    0.602035    0.599887  0.00160824
          81    0.596603    0.599847   0.0015889
          82    0.589919    0.599725  0.00157413
          83    0.604722    0.599786  0.00155631
          84    0.609813    0.599905  0.00154236
          85    0.602396    0.599934  0.00152449
          86     0.58485    0.599759  0.00151682
          87    0.590192    0.599649  0.00150337
          88    0.606022    0.599721  0.00148803
          89    0.592417    0.599639  0.00147357
          90    0.589197    0.599523  0.00146176
          91    0.581181    0.599322  0.00145953
          92    0.605434    0.599388  0.00144517
          93    0.596341    0.599355     0.00143
          94    0.606514    0.599432  0.00141682
          95    0.605779    0.599498  0.00140348
          96    0.587378    0.599372  0.00139453
          97    0.607446    0.599455  0.00138263
          98    0.580846    0.599265   0.0013815
          99    0.609289    0.599367  0.00137125
         100    0.626584    0.599639  0.00138429
