#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -4.60299    -4.60299           0
           2    -4.60422     -4.6036 0.000436875
           3    -4.60325    -4.60349 0.000306939
           4    -4.60372    -4.60354 0.000235733
           5    -4.60084      -4.603 0.000520084
           6    -4.60185    -4.60281  0.00046758
           7    -4.60238    -4.60275 0.000404832
           8    -4.60429    -4.60294 0.000397211
           9    -4.59989     -4.6026 0.000476009
          10    -4.59896    -4.60224 0.000550659
          11    -4.60061    -4.60209 0.000520028
          12    -4.60123    -4.60202 0.000481573
          13    -4.60187    -4.60201 0.000444669
          14     -4.6035    -4.60211  0.00042554
          15    -4.60028    -4.60199 0.000414276
          16    -4.59981    -4.60186  0.00041017
          17    -4.60289    -4.60192 0.000390554
          18     -4.6024    -4.60194 0.000369771
          19    -4.60347    -4.60202 0.000358915
          20    -4.60275    -4.60206 0.000342827
          21    -4.60303    -4.60211 0.000329605
          22    -4.60042    -4.60203 0.000323401
          23    -4.60298    -4.60207 0.000311996
          24    -4.60198    -4.60207 0.000299019
          25    -4.60039      -4.602 0.000294493
          26     -4.6022    -4.60201 0.000283268
          27    -4.60059    -4.60196 0.000277633
          28     -4.6008    -4.60191 0.000270766
          29    -4.60158     -4.6019 0.000261676
          30     -4.5996    -4.60183 0.000263936
          31    -4.59951    -4.60175 0.000265781
          32    -4.60174    -4.60175 0.000257476
          33    -4.59995     -4.6017 0.000255374
          34    -4.60163    -4.60169  0.00024787
          35     -4.6023    -4.60171 0.000241399
          36    -4.59973    -4.60166  0.00024091
          37    -4.59971     -4.6016 0.000240079
          38    -4.60178    -4.60161 0.000233808
          39    -4.60103    -4.60159 0.000228276
          40    -4.60205    -4.60161 0.000222849
          41    -4.60193    -4.60161 0.000217555
          42     -4.6021    -4.60162 0.000212679
          43    -4.60242    -4.60164 0.000208529
          44    -4.60137    -4.60164 0.000203882
          45    -4.60077    -4.60162 0.000200265
          46    -4.60224    -4.60163 0.000196363
          47    -4.60117    -4.60162 0.000192434
          48     -4.6005     -4.6016 0.000189833
          49    -4.59978    -4.60156 0.000189567
          50    -4.59897    -4.60151 0.000192719
          51    -4.59753    -4.60143 0.000204118
          52    -4.60076    -4.60142 0.000200602
          53    -4.60031     -4.6014 0.000197897
          54    -4.59906    -4.60135 0.000198926
          55    -4.60021    -4.60133 0.000196395
          56    -4.60102    -4.60133 0.000192968
          57    -4.60333    -4.60136 0.000192766
          58    -4.60608    -4.60144 0.000205879
          59    -4.60467     -4.6015 0.000209532
          60    -4.60158     -4.6015 0.000206044
          61    -4.60392    -4.60154 0.000206461
          62    -4.60276    -4.60156 0.000204074
          63    -4.60314    -4.60158 0.000202372
          64    -4.60431    -4.60163 0.000203633
          65    -4.60196    -4.60163 0.000200564
          66    -4.59823    -4.60158 0.000204037
          67    -4.59919    -4.60154   0.0002041
          68    -4.59935    -4.60151 0.000203643
          69    -4.59877    -4.60147 0.000204529
          70    -4.59918    -4.60144 0.000204202
          71    -4.60114    -4.60144 0.000201371
          72    -4.60226    -4.60145   0.0001989
          73    -4.60114    -4.60144 0.000196221
          74    -4.60193    -4.60145 0.000193681
          75    -4.60344    -4.60148 0.000192906
          76    -4.60551    -4.60153 0.000197537
          77    -4.60164    -4.60153 0.000194977
          78    -4.60079    -4.60152  0.00019271
          79    -4.60042    -4.60151 0.000190778
          80     -4.6002    -4.60149 0.000189097
          81    -4.59896    -4.60146 0.000189336
          82     -4.6011    -4.60146 0.000187079
          83    -4.60404    -4.60149 0.000187396
          84    -4.60357    -4.60151 0.000186803
          85    -4.60138    -4.60151 0.000184611
          86    -4.59905    -4.60148 0.000184661
          87     -4.6029     -4.6015  0.00018326
          88    -4.60229    -4.60151 0.000181398
          89    -4.60241    -4.60152 0.000179646
          90    -4.60242    -4.60153  0.00017793
          91    -4.59843    -4.60149 0.000179199
          92    -4.60093    -4.60149 0.000177356
          93    -4.60162    -4.60149 0.000175455
          94    -4.60088    -4.60148 0.000173707
          95    -4.60072    -4.60147 0.000172064
          96    -4.60136    -4.60147 0.000170276
          97    -4.60044    -4.60146 0.000168856
          98    -4.59981    -4.60144 0.000167975
          99    -4.60344    -4.60146 0.000167484
         100    -4.60323    -4.60148 0.000166738
