#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.17692    -6.17692           0
           2    -6.19728     -6.1871  0.00719685
           3    -6.18858    -6.18759  0.00481471
           4    -6.19318    -6.18899  0.00380844
           5    -6.19639    -6.19047  0.00332188
           6    -6.18284     -6.1892  0.00300201
           7    -6.19032    -6.18936   0.0025774
           8     -6.1809     -6.1883  0.00246281
           9    -6.18977    -6.18846  0.00219453
          10    -6.19344    -6.18896  0.00203081
          11    -6.17963    -6.18811  0.00201551
          12    -6.19851    -6.18898  0.00202517
          13    -6.18877    -6.18896  0.00186945
          14      -6.186    -6.18875   0.0017479
          15    -6.19691     -6.1893  0.00171385
          16    -6.18899    -6.18928  0.00160684
          17    -6.19249    -6.18946  0.00152338
          18    -6.19638    -6.18985  0.00148633
          19    -6.18125     -6.1894  0.00147539
          20    -6.19957     -6.1899  0.00148667
          21    -6.19832    -6.19031  0.00146887
          22     -6.1756    -6.18964  0.00154681
          23    -6.19154    -6.18972  0.00148177
          24    -6.19414     -6.1899  0.00143144
          25    -6.18964    -6.18989  0.00137422
          26     -6.1902     -6.1899  0.00132141
          27    -6.18969     -6.1899   0.0012725
          28    -6.18464    -6.18971  0.00124085
          29    -6.19169    -6.18978  0.00119993
          30    -6.18838    -6.18973  0.00116083
          31     -6.1947    -6.18989  0.00113442
          32    -6.19754    -6.19013  0.00112389
          33     -6.1949    -6.19028   0.0010991
          34    -6.18725    -6.19019  0.00107036
          35    -6.18386    -6.19001  0.00105494
          36    -6.19666    -6.19019  0.00104172
          37    -6.19539    -6.19033  0.00102302
          38    -6.18729    -6.19025 0.000999223
          39     -6.1816    -6.19003 0.000997912
          40    -6.19403    -6.19013 0.000977956
          41    -6.19796    -6.19032 0.000972598
          42    -6.18279    -6.19014 0.000965836
          43    -6.18993    -6.19014 0.000943387
          44    -6.18529    -6.19003 0.000928355
          45    -6.16959    -6.18957  0.00101275
          46    -6.19526     -6.1897 0.000998257
          47    -6.18539     -6.1896  0.00098121
          48    -6.19152    -6.18964 0.000961577
