#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.989713    0.989713           0
           2    0.996361    0.993037  0.00235036
           3    0.997889    0.994654  0.00204917
           4    0.999375    0.995834   0.0018457
           5     1.00128    0.996923  0.00176874
           6    0.990898    0.995919  0.00173574
           7    0.994051    0.995652  0.00150815
           8     0.99372     0.99541  0.00133883
           9    0.996947    0.995581  0.00120091
          10     1.00064    0.996087  0.00118261
          11     1.00462    0.996863  0.00130491
          12     0.98594    0.995952  0.00147997
          13     1.00381    0.996557  0.00148432
          14     1.00599     0.99723  0.00152347
          15    0.993487    0.996981  0.00144219
          16    0.990727     0.99659  0.00140402
          17     1.00303    0.996968  0.00137157
          18    0.997277    0.996986  0.00129548
          19    0.998909    0.997087  0.00123124
          20    0.991032    0.996784  0.00120633
          21    0.992588    0.996584  0.00116532
          22     1.00513    0.996973  0.00117529
          23    0.995833    0.996923  0.00112524
          24     0.99258    0.996742  0.00109281
          25    0.999011    0.996833  0.00105286
          26    0.992122    0.996652  0.00102783
          27    0.997822    0.996695 0.000990677
          28    0.995984     0.99667 0.000955622
          29     0.99804    0.996717 0.000923838
          30    0.990794    0.996519 0.000913897
          31     1.00067    0.996653 0.000894185
          32    0.991589    0.996495 0.000880136
          33     1.00587    0.996779 0.000898105
          34    0.997427    0.996798 0.000871892
          35    0.996966    0.996803 0.000846994
          36     1.00938    0.997152 0.000892634
          37    0.999978    0.997229  0.00087177
          38     0.99059    0.997054 0.000866157
          39    0.997935    0.997077 0.000844242
          40     1.00295    0.997224 0.000835804
          41    0.990874    0.997069  0.00082964
          42     1.00598    0.997281 0.000836561
          43    0.989059     0.99709 0.000838671
          44    0.994309    0.997026 0.000821988
          45     1.00065    0.997107  0.00080766
          46    0.990396    0.996961 0.000803169
          47     1.00212    0.997071 0.000793532
          48    0.999527    0.997122 0.000778649
          49    0.999957     0.99718 0.000764905
          50    0.987033    0.996977 0.000776061
          51     1.00664    0.997166 0.000783647
          52    0.999989    0.997221 0.000770455
          53    0.989395    0.997073 0.000769937
          54    0.995853     0.99705  0.00075601
          55    0.990366    0.996929 0.000751969
          56    0.993566    0.996869 0.000740935
          57     1.00005    0.996925 0.000730037
          58    0.999977    0.996977 0.000719344
          59    0.991168    0.996879 0.000713859
          60      1.0043    0.997003 0.000712594
          61    0.995188    0.996973 0.000701533
          62     1.00549     0.99711 0.000703529
          63    0.987557    0.996958 0.000708514
          64    0.996612    0.996953 0.000697464
          65    0.996671    0.996949 0.000686747
          66    0.982272    0.996726 0.000711437
          67    0.995728    0.996711 0.000700975
          68     1.00062    0.996769 0.000693023
          69    0.995464     0.99675 0.000683238
          70    0.998323    0.996773 0.000673846
          71    0.995763    0.996758 0.000664506
          72    0.995484    0.996741 0.000655512
          73     1.00403     0.99684  0.00065409
          74     1.00054     0.99689 0.000647161
          75    0.991991    0.996825  0.00064182
          76    0.994785    0.996798 0.000633936
          77    0.997823    0.996812 0.000625843
          78     1.00227    0.996882  0.00062172
          79    0.989794    0.996792 0.000620289
          80    0.994028    0.996757 0.000613497
          81     1.00712    0.996885 0.000619121
          82    0.994378    0.996855 0.000612325
          83    0.998083    0.996869 0.000605127
          84     1.00064    0.996914 0.000599585
          85    0.996535     0.99691 0.000592548
          86     1.00157    0.996964 0.000588129
          87    0.993736    0.996927 0.000582538
          88    0.992601    0.996878 0.000577989
          89     1.00269    0.996943 0.000575172
          90      1.0004    0.996981  0.00057006
          91    0.992623    0.996934 0.000565804
          92    0.991411    0.996874 0.000562829
          93    0.995882    0.996863 0.000556878
          94    0.994177    0.996834 0.000551687
          95    0.992606     0.99679 0.000547672
          96    0.999788    0.996821 0.000542857
          97      1.0012    0.996866 0.000539139
          98    0.994498    0.996842 0.000534179
          99     1.00662    0.996941 0.000537829
         100    0.989756    0.996869 0.000537228
