#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.19064     1.19064           0
           2     1.20176      1.1962  0.00392881
           3     1.20221      1.1982  0.00308743
           4     1.20284     1.19936  0.00252344
           5     1.20786     1.20106  0.00252746
           6     1.20466     1.20166  0.00217619
           7     1.19403     1.20057  0.00212097
           8     1.20466     1.20108  0.00191657
           9     1.19935     1.20089  0.00171328
          10     1.21263     1.20206  0.00190204
          11     1.18909     1.20088  0.00206266
          12     1.20759     1.20144  0.00196496
          13     1.19312      1.2008  0.00191527
          14     1.20241     1.20092   0.0017819
          15     1.20151     1.20096  0.00166354
          16     1.20233     1.20104  0.00156178
          17     1.18429     1.20006   0.0017534
          18     1.19793     1.19994  0.00165997
          19     1.19713     1.19979  0.00157919
          20      1.2024     1.19992  0.00150561
          21      1.1989     1.19987   0.0014347
          22     1.20935      1.2003  0.00143274
          23      1.2101     1.20073  0.00143241
          24     1.20661     1.20097  0.00139351
          25     1.19532     1.20075  0.00135599
          26     1.22198     1.20156  0.00153002
          27      1.1887     1.20109  0.00154574
          28     1.19157     1.20075  0.00152747
          29      1.2109      1.2011   0.0015144
          30     1.20022     1.20107   0.0014642
          31     1.20572     1.20122  0.00142462
          32     1.20874     1.20145  0.00139936
          33     1.20386     1.20153  0.00135885
          34     1.19848     1.20144  0.00132184
          35      1.2105      1.2017  0.00130919
          36     1.19279     1.20145  0.00129596
          37     1.20252     1.20148  0.00126126
          38     1.20297     1.20152  0.00122868
          39     1.20169     1.20152  0.00119718
          40     1.20196     1.20153   0.0011673
          41     1.21305     1.20181  0.00117215
          42     1.19216     1.20158  0.00116657
          43     1.21143     1.20181   0.0011617
          44     1.19265      1.2016   0.0011538
          45      1.1981     1.20153  0.00113079
          46     1.20602     1.20162  0.00111042
          47     1.19457     1.20147   0.0010969
          48     1.21584     1.20177  0.00111413
          49     1.20442     1.20183   0.0010927
          50     1.19235     1.20164  0.00108716
          51      1.2114     1.20183  0.00108257
          52     1.20399     1.20187  0.00106255
          53     1.20508     1.20193  0.00104423
          54     1.20238     1.20194  0.00102493
          55     1.20271     1.20195  0.00100639
          56     1.20001     1.20192 0.000989012
          57     1.20859     1.20204 0.000978566
          58     1.20093     1.20202 0.000961882
          59      1.1961     1.20192 0.000950796
          60     1.20687       1.202 0.000938525
          61     1.20759     1.20209 0.000927598
          62      1.2094     1.20221 0.000920095
          63     1.19818     1.20214 0.000907708
          64      1.2007     1.20212 0.000893808
          65     1.18689     1.20189 0.000910259
          66      1.2081     1.20198 0.000901315
          67     1.19579     1.20189 0.000892582
          68     1.20334     1.20191 0.000879712
          69     1.20082     1.20189 0.000867104
          70     1.18442     1.20165 0.000889934
          71     1.20408     1.20168 0.000878058
          72     1.20088     1.20167 0.000865933
          73     1.19351     1.20156 0.000861253
          74     1.21508     1.20174  0.00086878
          75     1.18756     1.20155 0.000877523
          76     1.20312     1.20157  0.00086622
          77     1.20639     1.20163 0.000857233
          78      1.2005     1.20162 0.000846367
          79     1.21067     1.20173 0.000843373
          80     1.19746     1.20168 0.000834523
          81     1.20975     1.20178 0.000830149
          82     1.19147     1.20165 0.000829486
          83     1.20056     1.20164 0.000819596
          84     1.20531     1.20168 0.000811004
          85     1.19913     1.20165 0.000802022
          86     1.20711     1.20172 0.000795205
          87     1.21291     1.20185   0.0007964
          88     1.19572     1.20178 0.000790385
          89     1.20317     1.20179 0.000781658
          90     1.20296     1.20181 0.000773081
          91     1.19789     1.20176  0.00076578
          92     1.20636     1.20181 0.000759086
          93     1.20136     1.20181 0.000750939
          94     1.20374     1.20183 0.000743231
          95     1.20821      1.2019 0.000738432
          96     1.19194     1.20179 0.000737988
          97     1.20898     1.20187  0.00073409
          98     1.20451     1.20189 0.000727094
          99     1.19721     1.20185  0.00072129
         100     1.20284     1.20186 0.000714146
