#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.51854    -6.51854           0
           2     -6.5225    -6.52052  0.00140177
           3    -6.53216     -6.5244  0.00330211
           4    -6.53454    -6.52693  0.00330878
           5    -6.52058    -6.52566   0.0028805
           6    -6.53618    -6.52742  0.00288464
           7      -6.529    -6.52764  0.00248135
           8    -6.51333    -6.52585  0.00274155
           9    -6.54628    -6.52812  0.00324311
          10       -6.53    -6.52831  0.00292421
          11    -6.53405    -6.52883  0.00270454
          12    -6.53372    -6.52924  0.00250965
          13    -6.51249    -6.52795  0.00262669
          14    -6.52548    -6.52777  0.00244501
          15    -6.53861     -6.5285  0.00238626
          16    -6.53928    -6.52917  0.00233036
          17    -6.52489    -6.52892  0.00220682
          18    -6.51322    -6.52805  0.00224997
          19    -6.52952    -6.52812  0.00213288
          20    -6.52657    -6.52805  0.00202765
          21    -6.55318    -6.52924  0.00225684
          22    -6.51811    -6.52874  0.00221027
          23    -6.53857    -6.52916  0.00215516
          24    -6.51402    -6.52853  0.00215578
          25    -6.51797    -6.52811  0.00211053
          26    -6.51043    -6.52743  0.00213612
          27    -6.50748    -6.52669  0.00218101
          28    -6.55427    -6.52768  0.00231484
          29    -6.51249    -6.52715  0.00229352
          30    -6.53328    -6.52736  0.00222614
          31    -6.52537    -6.52729  0.00215525
          32    -6.53296    -6.52747  0.00209516
          33    -6.51208      -6.527  0.00208296
          34    -6.52903    -6.52706  0.00202254
          35     -6.5311    -6.52718  0.00196805
          36    -6.52549    -6.52713  0.00191394
          37    -6.53274    -6.52728  0.00186821
          38    -6.53489    -6.52748  0.00182974
          39    -6.53696    -6.52773  0.00179889
          40    -6.53035    -6.52779  0.00175512
          41    -6.52031    -6.52761  0.00172177
          42    -6.54247    -6.52796  0.00171676
          43    -6.51824    -6.52774  0.00169166
          44    -6.53188    -6.52783  0.00165583
          45     -6.5287    -6.52785  0.00161914
          46    -6.53316    -6.52797  0.00158806
          47    -6.52752    -6.52796   0.0015543
          48    -6.52435    -6.52788  0.00152373
          49    -6.54817     -6.5283  0.00154789
          50    -6.51436    -6.52802  0.00154184
          51     -6.5374     -6.5282  0.00152255
          52    -6.52276     -6.5281  0.00149687
          53    -6.52283      -6.528  0.00147192
          54    -6.52878    -6.52801  0.00144474
          55    -6.53766    -6.52819  0.00142908
          56    -6.52306     -6.5281  0.00140649
          57    -6.52732    -6.52808  0.00138188
          58    -6.53263    -6.52816  0.00136028
          59     -6.5389    -6.52834  0.00134935
          60    -6.53158     -6.5284  0.00132794
          61    -6.52184    -6.52829  0.00131051
          62    -6.50831    -6.52797  0.00132841
          63    -6.54387    -6.52822   0.0013311
          64    -6.52398    -6.52815  0.00131195
          65    -6.54358    -6.52839  0.00131305
          66    -6.51076    -6.52812  0.00132004
          67    -6.52302    -6.52805  0.00130253
          68    -6.53435    -6.52814  0.00128667
          69    -6.53734    -6.52827  0.00127491
          70    -6.52242    -6.52819  0.00125943
          71     -6.5288     -6.5282  0.00124172
          72    -6.52199    -6.52811  0.00122747
          73    -6.52674    -6.52809   0.0012108
          74    -6.52469    -6.52805  0.00119531
          75    -6.53529    -6.52814  0.00118326
          76    -6.52391    -6.52809  0.00116901
          77    -6.52854    -6.52809  0.00115384
          78     -6.5385    -6.52823  0.00114673
          79    -6.54157     -6.5284  0.00114458
          80    -6.52022    -6.52829  0.00113483
          81    -6.52992    -6.52831  0.00112099
          82    -6.52009    -6.52821   0.0011118
          83    -6.53073    -6.52824  0.00109882
          84    -6.52381    -6.52819  0.00108701
          85    -6.52815    -6.52819  0.00107422
          86      -6.534    -6.52826  0.00106385
          87    -6.53766    -6.52837   0.0010571
          88    -6.52419    -6.52832  0.00104615
          89     -6.5312    -6.52835   0.0010349
          90    -6.52092    -6.52827  0.00102668
          91    -6.52535    -6.52824   0.0010159
          92    -6.52623    -6.52821  0.00100509
          93    -6.53362    -6.52827 0.000995966
          94    -6.52061    -6.52819 0.000988699
          95    -6.52521    -6.52816 0.000978789
          96    -6.54238    -6.52831 0.000979731
          97    -6.52981    -6.52832 0.000969753
          98    -6.52281    -6.52827 0.000961489
          99    -6.54171     -6.5284 0.000961321
         100    -6.53213    -6.52844  0.00095243
