#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.06969     1.06969           0
           2     1.07331      1.0715  0.00127856
           3     1.07949     1.07416  0.00233635
           4     1.08238     1.07622  0.00249711
           5     1.07384     1.07574  0.00204236
           6     1.08356     1.07705  0.00207634
           7     1.07852     1.07726  0.00179037
           8     1.06834     1.07614  0.00188187
           9     1.09033     1.07772  0.00223736
          10     1.07866     1.07781  0.00201559
          11     1.08091     1.07809  0.00185192
          12     1.08201     1.07842  0.00172612
          13      1.0665      1.0775  0.00182057
          14     1.07584     1.07739  0.00169441
          15     1.08527     1.07791  0.00166093
          16     1.08508     1.07836  0.00161642
          17     1.07578     1.07821  0.00152846
          18     1.06829     1.07766  0.00153958
          19     1.07836     1.07769    0.001459
          20     1.07611     1.07761  0.00138819
          21     1.09427     1.07841  0.00153211
          22     1.07206     1.07812  0.00148935
          23     1.08561     1.07844  0.00145975
          24     1.06843     1.07803  0.00145738
          25     1.07064     1.07773  0.00142876
          26     1.06599     1.07728   0.0014434
          27     1.06291     1.07675  0.00148485
          28     1.09612     1.07744   0.0015848
          29     1.06686     1.07707  0.00157157
          30     1.08044     1.07719  0.00152319
          31     1.07638     1.07716  0.00147428
          32     1.08142     1.07729  0.00143421
          33     1.06722     1.07699  0.00142285
          34     1.07858     1.07704  0.00138177
          35     1.07979     1.07711  0.00134454
          36     1.07606     1.07708  0.00130751
          37     1.08127      1.0772  0.00127706
          38     1.08226     1.07733  0.00125039
          39     1.08368     1.07749  0.00122886
          40     1.07929     1.07754  0.00119896
          41     1.07295     1.07743  0.00117492
          42     1.08707     1.07766  0.00116918
          43     1.07188     1.07752  0.00114968
          44     1.08046     1.07759  0.00112549
          45     1.07891     1.07762  0.00110086
          46     1.08048     1.07768  0.00107869
          47      1.0768     1.07766   0.0010559
          48      1.0749      1.0776  0.00103547
          49     1.09156     1.07789  0.00105277
          50      1.0677     1.07769  0.00105124
          51     1.08353      1.0778  0.00103686
          52     1.07402     1.07773  0.00101947
          53     1.07383     1.07765  0.00100288
          54     1.07845     1.07767 0.000984419
          55     1.08416     1.07779 0.000973561
          56     1.07427     1.07772 0.000958196
          57     1.07743     1.07772 0.000941399
          58     1.08139     1.07778 0.000927297
          59     1.08518     1.07791 0.000920022
          60     1.08029     1.07795 0.000905548
          61     1.07356     1.07788 0.000893558
          62     1.06401     1.07765 0.000906709
          63     1.08783     1.07781 0.000906599
          64     1.07475     1.07777 0.000893697
          65     1.08806     1.07792 0.000893882
          66     1.06738     1.07776 0.000894508
          67     1.07463     1.07772 0.000882379
          68     1.08168     1.07778 0.000871326
          69      1.0842     1.07787 0.000863661
          70     1.07386     1.07781 0.000853216
          71     1.07781     1.07781 0.000841199
          72     1.07347     1.07775 0.000831672
          73     1.07766     1.07775  0.00082028
          74     1.07644     1.07773 0.000809385
          75     1.08271      1.0778 0.000801305
          76     1.07461     1.07776 0.000791861
          77     1.07799     1.07776 0.000781582
          78     1.08446     1.07785 0.000776262
          79     1.08648     1.07795 0.000774092
          80     1.07308     1.07789  0.00076681
          81     1.07879      1.0779 0.000757423
          82     1.07193     1.07783 0.000751684
          83     1.07961     1.07785 0.000742933
          84      1.0753     1.07782 0.000734708
          85     1.07939     1.07784 0.000726297
          86     1.08141     1.07788 0.000719037
          87     1.08533     1.07797 0.000715843
          88     1.07572     1.07794 0.000708162
          89     1.07972     1.07796 0.000700488
          90     1.07273     1.07791 0.000695112
          91     1.07609     1.07789 0.000687761
          92     1.07756     1.07788 0.000680294
          93     1.08245     1.07793 0.000674748
          94     1.07297     1.07788 0.000669633
          95     1.07661     1.07786 0.000662716
          96     1.08754     1.07797 0.000663431
          97     1.07885     1.07797 0.000656653
          98     1.07407     1.07793 0.000651158
          99     1.08669     1.07802 0.000650554
         100     1.07992     1.07804 0.000644324
