#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.793763    0.793763           0
           2    0.801171    0.797467  0.00261921
           3    0.801471    0.798802  0.00205829
           4     0.80189    0.799574  0.00168229
           5    0.805241    0.800707  0.00168497
           6    0.803106    0.801107  0.00145079
           7    0.796019     0.80038  0.00141398
           8    0.803109    0.800721  0.00127771
           9    0.799565    0.800593  0.00114219
          10    0.808419    0.801375  0.00126803
          11    0.792726    0.800589  0.00137511
          12    0.805058    0.800961  0.00130997
          13    0.795413    0.800535  0.00127685
          14    0.801606    0.800611  0.00118793
          15    0.801005    0.800637  0.00110903
          16    0.801552    0.800695  0.00104119
          17    0.789528    0.800038  0.00116893
          18    0.798618    0.799959  0.00110665
          19    0.798085     0.79986  0.00105279
          20      0.8016    0.799947  0.00100374
          21    0.799267    0.799915 0.000956464
          22    0.806235    0.800202 0.000955162
          23    0.806736    0.800486 0.000954941
          24    0.804405    0.800649 0.000929006
          25     0.79688    0.800499 0.000903996
          26    0.814651    0.801043  0.00102001
          27    0.792468    0.800725   0.0010305
          28    0.794379    0.800499  0.00101832
          29    0.807267    0.800732   0.0010096
          30    0.800149    0.800713  0.00097613
          31    0.803812    0.800813 0.000949748
          32    0.805828    0.800969 0.000932909
          33     0.80257    0.801018 0.000905899
          34    0.798985    0.800958 0.000881226
          35       0.807    0.801131 0.000872791
          36    0.795196    0.800966 0.000863975
          37    0.801677    0.800985 0.000840839
          38    0.801983    0.801011 0.000819121
          39    0.801127    0.801014 0.000798123
          40    0.801304    0.801022 0.000778203
          41      0.8087    0.801209 0.000781432
          42    0.794771    0.801056 0.000777713
          43     0.80762    0.801208 0.000774466
          44    0.795101    0.801069 0.000769203
          45    0.798733    0.801018  0.00075386
          46    0.804012    0.801083 0.000740277
          47    0.796377    0.800982 0.000731266
          48     0.81056    0.801182 0.000742754
          49    0.802947    0.801218 0.000728469
          50    0.794901    0.801092 0.000724773
          51    0.807602    0.801219 0.000721716
          52    0.802659    0.801247 0.000708368
          53    0.803388    0.801287 0.000696154
          54    0.801588    0.801293 0.000683284
          55    0.801804    0.801302 0.000670924
          56    0.800008    0.801279 0.000659341
          57    0.805728    0.801357 0.000652378
          58    0.800617    0.801344 0.000641255
          59    0.797398    0.801278 0.000633864
          60    0.804579    0.801333 0.000625683
          61    0.805058    0.801394 0.000618399
          62    0.806265    0.801472 0.000613396
          63    0.798787     0.80143 0.000605139
          64    0.800463    0.801415 0.000595872
          65     0.79126    0.801258 0.000606839
          66    0.805397    0.801321 0.000600877
          67    0.797196    0.801259 0.000595054
          68    0.802229    0.801274 0.000586475
          69    0.800549    0.801263 0.000578069
          70    0.789612    0.801097 0.000593289
          71    0.802718     0.80112 0.000585372
          72    0.800588    0.801112 0.000577289
          73    0.795673    0.801038 0.000574169
          74    0.810052     0.80116 0.000579187
          75    0.791707    0.801033 0.000585015
          76    0.802082    0.801047  0.00057748
          77    0.804263    0.801089 0.000571489
          78    0.800332    0.801079 0.000564245
          79    0.807114    0.801156 0.000562249
          80    0.798305     0.80112 0.000556349
          81    0.806501    0.801187 0.000553432
          82    0.794315    0.801103 0.000552991
          83    0.800377    0.801094 0.000546398
          84    0.803542    0.801123 0.000540669
          85    0.799417    0.801103 0.000534681
          86    0.804743    0.801145 0.000530136
          87    0.808606    0.801231 0.000530933
          88    0.797148    0.801185 0.000526923
          89    0.802112    0.801195 0.000521106
          90    0.801975    0.801204 0.000515388
          91    0.798596    0.801175  0.00051052
          92     0.80424    0.801208 0.000506057
          93    0.800905    0.801205 0.000500626
          94    0.802491    0.801219 0.000495487
          95     0.80547    0.801264 0.000492288
          96    0.794626    0.801194 0.000491992
          97    0.805986    0.801244 0.000489393
          98    0.803006    0.801262  0.00048473
          99    0.798137     0.80123  0.00048086
         100    0.801896    0.801237 0.000476097
