#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.45828    -5.45828           0
           2    -5.45782    -5.45805 0.000163976
           3    -5.45817    -5.45809 0.000114133
           4    -5.45788    -5.45804  9.7468e-05
           5    -5.45877    -5.45818 0.000151619
           6    -5.45703    -5.45799  0.00021624
           7    -5.45704    -5.45786 0.000223713
           8    -5.45728    -5.45778 0.000206905
           9    -5.45972      -5.458 0.000274117
          10    -5.46009    -5.45821 0.000316323
          11    -5.45896    -5.45828 0.000294835
          12    -5.45858     -5.4583 0.000271332
          13    -5.45812    -5.45829 0.000250831
          14    -5.45693    -5.45819 0.000250848
          15    -5.45699    -5.45811 0.000246595
          16    -5.45884    -5.45816 0.000235314
          17     -5.4583    -5.45817  0.00022163
          18    -5.45818    -5.45817 0.000209319
          19    -5.45736    -5.45812 0.000202523
          20    -5.45824    -5.45813 0.000192474
          21    -5.45984    -5.45821 0.000199807
          22    -5.45992    -5.45829  0.00020529
          23    -5.45894    -5.45832 0.000198288
          24    -5.45805    -5.45831  0.00019034
          25    -5.45645    -5.45823 0.000196712
          26    -5.45796    -5.45822 0.000189433
          27    -5.45729    -5.45819 0.000185528
          28     -5.4588    -5.45821 0.000180189
          29     -5.4583    -5.45821 0.000174001
          30    -5.45796     -5.4582 0.000168409
          31    -5.45809     -5.4582 0.000163017
          32    -5.45846    -5.45821 0.000158121
          33    -5.45894    -5.45823 0.000154872
          34    -5.45832    -5.45823 0.000150341
          35    -5.45696     -5.4582 0.000150382
          36    -5.45812    -5.45819 0.000146221
          37    -5.45871    -5.45821 0.000142933
          38    -5.45855    -5.45822 0.000139463
          39    -5.45984    -5.45826 0.000141981
          40    -5.45864    -5.45827  0.00013875
          41    -5.45865    -5.45828  0.00013568
          42    -5.45821    -5.45828  0.00013246
          43    -5.45842    -5.45828  0.00012942
          44    -5.45849    -5.45828  0.00012657
          45    -5.45836    -5.45829 0.000123768
          46    -5.45815    -5.45828  0.00012111
          47    -5.45936    -5.45831 0.000120667
          48    -5.45867    -5.45831 0.000118399
          49    -5.45893    -5.45833 0.000116649
          50    -5.45763    -5.45831 0.000115137
          51    -5.45914    -5.45833 0.000114018
          52    -5.45783    -5.45832 0.000112219
          53    -5.45797    -5.45831   0.0001103
          54    -5.45734    -5.45829 0.000109716
          55    -5.45805    -5.45829 0.000107812
          56     -5.4581    -5.45829  0.00010594
          57    -5.45822    -5.45828 0.000104087
          58    -5.45838    -5.45829 0.000102305
          59    -5.45697    -5.45826  0.00010297
          60    -5.45727    -5.45825 0.000102587
          61    -5.45772    -5.45824 0.000101271
          62    -5.45861    -5.45824 9.98181e-05
          63    -5.45726    -5.45823 9.94449e-05
          64    -5.45967    -5.45825 0.000100416
          65    -5.45797    -5.45825 9.89645e-05
          66    -5.45757    -5.45824     9.8e-05
          67    -5.45807    -5.45823 9.65707e-05
          68    -5.45669    -5.45821 9.77884e-05
          69    -5.45763     -5.4582 9.67302e-05
          70    -5.45697    -5.45819 9.69342e-05
          71     -5.4593     -5.4582 9.68341e-05
          72    -5.45695    -5.45818 9.70297e-05
          73     -5.4578    -5.45818 9.58407e-05
          74    -5.45874    -5.45819 9.48426e-05
          75    -5.45733    -5.45818 9.42633e-05
          76    -5.45789    -5.45817 9.30984e-05
          77    -5.45871    -5.45818  9.2148e-05
          78    -5.45882    -5.45819 9.13361e-05
          79    -5.45881    -5.45819 9.05154e-05
          80     -5.4585     -5.4582 8.94661e-05
          81    -5.45754    -5.45819   8.873e-05
          82    -5.45918     -5.4582 8.84595e-05
          83    -5.45974    -5.45822 8.93173e-05
          84    -5.45979    -5.45824 9.01905e-05
          85    -5.45772    -5.45823 8.93377e-05
          86    -5.45827    -5.45823 8.82999e-05
          87    -5.45913    -5.45824 8.78795e-05
          88    -5.45852    -5.45825 8.69357e-05
          89    -5.45857    -5.45825 8.60325e-05
          90    -5.45767    -5.45824 8.53186e-05
          91    -5.45786    -5.45824 8.44851e-05
          92     -5.4582    -5.45824 8.35678e-05
          93     -5.4572    -5.45823 8.34188e-05
          94    -5.45896    -5.45824 8.28964e-05
          95    -5.45865    -5.45824 8.21372e-05
          96    -5.45809    -5.45824 8.12961e-05
          97    -5.45769    -5.45823 8.06565e-05
          98    -5.45906    -5.45824 8.02693e-05
          99    -5.45788    -5.45824  7.9543e-05
         100    -5.45911    -5.45825 7.92218e-05
