#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.11142     1.11142           0
           2     1.01883     1.06512   0.0327363
           3     1.01918     1.04981   0.0251522
           4      1.0072     1.03916   0.0209986
           5     1.00358     1.03204   0.0179644
           6     1.01626     1.02941   0.0151616
           7     1.00138     1.02541   0.0135142
           8     1.01667     1.02431    0.011869
           9    0.998255     1.02142   0.0108977
          10     0.96974     1.01625    0.010965
          11     1.01285     1.01594  0.00997257
          12     1.00422     1.01496  0.00918924
          13     1.02532     1.01576  0.00851685
          14     1.00139     1.01473   0.0079701
          15     1.00679      1.0142  0.00745635
          16     1.00258     1.01348  0.00702562
          17     1.03324     1.01464  0.00670783
          18    0.979772      1.0127  0.00660898
          19     1.04755     1.01454  0.00651069
          20     1.02272     1.01495  0.00619799
          21    0.996257     1.01406   0.0059664
          22     1.00875     1.01382  0.00570008
          23     1.01623     1.01392  0.00545322
          24      1.0423      1.0151   0.0053527
          25    0.971809     1.01337  0.00541148
          26     1.03125     1.01406  0.00524686
          27      1.0215     1.01433  0.00505976
          28     1.02833     1.01483  0.00490367
          29    0.994918     1.01415  0.00478243
          30     0.97929     1.01299  0.00476207
          31     1.03731     1.01377  0.00467267
          32     1.00208      1.0134  0.00454092
          33    0.992435     1.01277  0.00444755
          34     1.01855     1.01294  0.00431999
          35    0.998346     1.01252  0.00421664
          36     1.00307     1.01226  0.00410768
          37     1.01508     1.01234  0.00399737
          38     1.00864     1.01224  0.00389336
          39     1.00466     1.01204  0.00379837
          40     0.97382     1.01109  0.00382174
          41     1.02887     1.01152  0.00375304
          42     1.00517     1.01137  0.00366674
          43      1.0241     1.01167  0.00359339
          44     1.02854     1.01205  0.00353212
          45     1.01491     1.01211   0.0034542
          46     1.01718     1.01222  0.00338086
          47      1.0221     1.01243  0.00331545
          48     1.01757     1.01254   0.0032481
          49     1.04037     1.01311  0.00323108
          50    0.999509     1.01284  0.00317788
          51     1.01317     1.01284  0.00311558
          52     1.02373     1.01305  0.00306269
          53     1.01602     1.01311  0.00300542
          54      1.0091     1.01304  0.00295067
          55    0.988705     1.01259     0.00293
          56     1.00069     1.01238  0.00288537
          57     1.01128     1.01236  0.00283482
          58     1.01277     1.01237  0.00278595
          59     0.96996     1.01165  0.00282993
          60     1.03362     1.01202  0.00280636
          61     1.01512     1.01207  0.00276081
          62     1.01571     1.01213  0.00271691
          63    0.998198      1.0119  0.00268276
          64    0.993399     1.01161  0.00265638
          65    0.990179     1.01129   0.0026359
          66     1.04506      1.0118  0.00264517
          67     1.01109     1.01179  0.00260571
          68     0.99981     1.01161  0.00257333
          69     1.02122     1.01175   0.0025398
          70     1.03786     1.01212  0.00253077
          71     1.02809     1.01235  0.00250509
          72     1.01161     1.01234  0.00247032
          73     1.02698     1.01254  0.00244462
          74     1.02411     1.01269  0.00241658
          75    0.992768     1.01243  0.00239891
          76     1.02777     1.01263  0.00237582
          77    0.999918     1.01247   0.0023507
          78     1.02291      1.0126  0.00232437
          79     1.02842      1.0128  0.00230356
          80     1.03508     1.01308  0.00229155
          81    0.995033     1.01286  0.00227406
          82     1.02161     1.01296  0.00224883
          83    0.997835     1.01278  0.00222911
          84     1.02824     1.01296  0.00221015
          85     1.03263     1.01319  0.00219622
          86     1.03041      1.0134  0.00217979
          87     1.02949     1.01358  0.00216257
          88     1.03103     1.01378  0.00214706
          89     1.01008     1.01374  0.00212334
          90     1.02226     1.01383  0.00210186
          91     1.02453     1.01395  0.00208205
          92     1.02327     1.01405  0.00206188
          93     1.02021     1.01412  0.00204077
          94     1.02709     1.01425  0.00202372
          95    0.975466     1.01385   0.0020432
          96     1.04473     1.01417  0.00204708
          97     0.98564     1.01387    0.002047
          98      1.0146     1.01388  0.00202612
          99     1.00188     1.01376  0.00200928
         100     1.02326     1.01386  0.00199143
