#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.37456    -5.37456           0
           2    -5.37298    -5.37377 0.000556391
           3    -5.37403    -5.37386 0.000377679
           4    -5.37286    -5.37361 0.000355951
           5    -5.37222    -5.37333 0.000378029
           6    -5.37137      -5.373 0.000433534
           7    -5.37227     -5.3729 0.000384137
           8    -5.37189    -5.37277  0.00035613
           9    -5.37139    -5.37262 0.000348123
          10     -5.3748    -5.37284 0.000375416
          11    -5.37248    -5.37281 0.000342687
          12    -5.37232    -5.37277 0.000316469
          13    -5.37284    -5.37277 0.000292173
          14    -5.37263    -5.37276 0.000271489
          15    -5.37229    -5.37273 0.000255185
          16      -5.374    -5.37281 0.000251277
          17    -5.37327    -5.37284 0.000237967
          18     -5.3732    -5.37286 0.000225623
          19    -5.37299    -5.37286 0.000213856
          20    -5.37346    -5.37289 0.000205226
          21    -5.37115    -5.37281  0.00021164
          22    -5.37156    -5.37275 0.000209478
          23    -5.37079    -5.37267 0.000217093
          24    -5.37214    -5.37265  0.00020916
          25    -5.37168    -5.37261 0.000204304
          26    -5.37156    -5.37257  0.00020035
          27    -5.37179    -5.37254 0.000195007
          28     -5.3725    -5.37254 0.000188047
          29    -5.37327    -5.37256 0.000183233
          30    -5.37321    -5.37258  0.00017841
          31    -5.37239    -5.37258 0.000172763
          32    -5.37247    -5.37257 0.000167395
          33    -5.37386    -5.37261  0.00016676
          34    -5.37365    -5.37264 0.000164625
          35    -5.37259    -5.37264 0.000159928
          36    -5.37249    -5.37264 0.000155539
          37    -5.37264    -5.37264 0.000151335
          38    -5.37191    -5.37262  0.00014855
          39    -5.37221    -5.37261  0.00014512
          40    -5.37247    -5.37261 0.000141534
          41    -5.37296    -5.37261 0.000138351
          42    -5.37344    -5.37263 0.000136456
          43     -5.3723    -5.37263 0.000133506
          44    -5.37338    -5.37264 0.000131573
          45    -5.37258    -5.37264 0.000128657
          46    -5.37162    -5.37262 0.000127752
          47    -5.37317    -5.37263 0.000125565
          48    -5.37319    -5.37264 0.000123495
          49     -5.3723    -5.37264 0.000121168
          50    -5.37152    -5.37261  0.00012077
          51    -5.37211     -5.3726 0.000118805
          52    -5.37307    -5.37261 0.000116864
          53    -5.37089    -5.37258 0.000119104
          54    -5.37223    -5.37257 0.000117076
          55    -5.37208    -5.37256 0.000115293
          56    -5.37228    -5.37256 0.000113348
          57    -5.37227    -5.37255 0.000111472
          58    -5.37211    -5.37255 0.000109816
          59    -5.37164    -5.37253 0.000109026
          60    -5.37229    -5.37253 0.000107285
          61    -5.37262    -5.37253 0.000105536
          62    -5.37259    -5.37253 0.000103839
          63    -5.37071     -5.3725 0.000106147
          64    -5.37224     -5.3725 0.000104569
          65    -5.37181    -5.37249 0.000103496
          66    -5.37184    -5.37248  0.00010239
          67    -5.37111    -5.37246 0.000102858
          68    -5.37282    -5.37246 0.000101489
          69     -5.3725    -5.37246 0.000100019
          70    -5.37283    -5.37247   9.873e-05
          71    -5.37366    -5.37248 9.87659e-05
          72    -5.37155    -5.37247 9.82499e-05
          73     -5.3724    -5.37247 9.69086e-05
          74    -5.37333    -5.37248 9.62987e-05
          75    -5.37211    -5.37248  9.5143e-05
          76    -5.37243    -5.37248 9.38928e-05
          77    -5.37288    -5.37248 9.28232e-05
          78    -5.37276    -5.37249 9.17042e-05
          79    -5.37163    -5.37247 9.11799e-05
          80    -5.37149    -5.37246 9.08717e-05
          81    -5.37236    -5.37246 8.97579e-05
          82    -5.37235    -5.37246  8.8673e-05
          83     -5.3728    -5.37246 8.76974e-05
          84    -5.37265    -5.37247 8.66816e-05
          85    -5.37062    -5.37244 8.83522e-05
          86    -5.37391    -5.37246 8.89527e-05
          87    -5.37114    -5.37245 8.92258e-05
          88     -5.3722    -5.37244 8.82549e-05
          89    -5.37181    -5.37244 8.75497e-05
          90    -5.37271    -5.37244 8.66298e-05
          91    -5.37117    -5.37242 8.67987e-05
          92    -5.37216    -5.37242 8.59029e-05
          93    -5.37243    -5.37242 8.49793e-05
          94    -5.37178    -5.37242 8.43494e-05
          95     -5.3722    -5.37241 8.34915e-05
          96    -5.37164    -5.37241 8.30077e-05
          97    -5.37253    -5.37241 8.21614e-05
          98    -5.37253    -5.37241 8.13322e-05
          99    -5.37316    -5.37242  8.0863e-05
         100    -5.37162    -5.37241 8.04479e-05
