***************************************************
            HYDROGEN ATOM SIMULATION
***************************************************

Estimation of <r> in hydrogen atom first excited state.
Number of steps for each block: 100000.
Transition probability: unif.
Starting position: (1, 1, 1)a_0.

BLOCK:      ACTUAL VALUE:       AVERAGE VALUE:      ERROR:
1             5.02064             5.02064              4.4929
2             5.02064             5.02064             3.17696
3             5.02064             5.02064             2.59398
4             5.02064             5.02064             2.24645
5             5.02064             5.02064             2.00929
6             5.02064             5.02064             1.83422
7             5.02064             5.02064             1.69816
8             5.02064             5.02064             1.58848
9             5.02064             5.02064             1.49763
10             5.02064             5.02064             1.42078
11             5.02064             5.02064             1.35466
12             5.02064             5.02064             1.29699
13             5.02064             5.02064             1.24611
14             5.02064             5.02064             1.20078
15             5.02064             5.02064             1.16006
16             5.02064             5.02064             1.12323
17             5.02064             5.02064             1.08969
18             5.02064             5.02064             1.05899
19             5.02064             5.02064             1.03074
20             5.02064             5.02064             1.00464
21             5.02064             5.02064            0.980432
22             5.02064             5.02064             0.95789
23             5.02064             5.02064            0.936835
24             5.02064             5.02064             0.91711
25             5.02064             5.02064            0.898581
26             5.02064             5.02064            0.881131
27             5.02064             5.02064             0.86466
28             5.02064             5.02064            0.849079
29             5.02064             5.02064            0.834311
30             5.02064             5.02064            0.820288
31             5.02064             5.02064            0.806949
32             5.02064             5.02064            0.794241
33             5.02064             5.02064            0.782114
34             5.02064             5.02064            0.770527
35             5.02064             5.02064            0.759439
36             5.02064             5.02064            0.748817
37             5.02064             5.02064            0.738629
38             5.02064             5.02064            0.728845
39             5.02064             5.02064             0.71944
40             5.02064             5.02064             0.71039
41             5.02064             5.02064            0.701674
42             5.02064             5.02064             0.69327
43             5.02064             5.02064            0.685161
44             5.02064             5.02064            0.677331
45             5.02064             5.02064            0.669763
46             5.02064             5.02064            0.662442
47             5.02064             5.02064            0.655357
48             5.02064             5.02064            0.648495
49             5.02064             5.02064            0.641843
50             5.02064             5.02064            0.635392
51             5.02064             5.02064            0.629132
52             5.02064             5.02064            0.623054
53             5.02064             5.02064            0.617148
54             5.02064             5.02064            0.611407
55             5.02064             5.02064            0.605823
56             5.02064             5.02064            0.600389
57             5.02064             5.02064              0.5951
58             5.02064             5.02064            0.589947
59             5.02064             5.02064            0.584926
60             5.02064             5.02064            0.580031
61             5.02064             5.02064            0.575257
62             5.02064             5.02064            0.570599
63             5.02064             5.02064            0.566053
64             5.02064             5.02064            0.561613
65             5.02064             5.02064            0.557276
66             5.02064             5.02064            0.553038
67             5.02064             5.02064            0.548896
68             5.02064             5.02064            0.544845
69             5.02064             5.02064            0.540882
70             5.02064             5.02064            0.537005
71             5.02064             5.02064             0.53321
72             5.02064             5.02064            0.529494
73             5.02064             5.02064            0.525855
74             5.02064             5.02064            0.522289
75             5.02064             5.02064            0.518796
76             5.02064             5.02064            0.515371
77             5.02064             5.02064            0.512014
78             5.02064             5.02064            0.508721
79             5.02064             5.02064            0.505491
80             5.02064             5.02064            0.502322
81             5.02064             5.02064            0.499211
82             5.02064             5.02064            0.496158
83             5.02064             5.02064             0.49316
84             5.02064             5.02064            0.490216
85             5.02064             5.02064            0.487324
86             5.02064             5.02064            0.484482
87             5.02064             5.02064             0.48169
88             5.02064             5.02064            0.478945
89             5.02064             5.02064            0.476247
90             5.02064             5.02064            0.473594
91             5.02064             5.02064            0.470984
92             5.02064             5.02064            0.468418
93             5.02064             5.02064            0.465892
94             5.02064             5.02064            0.463408
95             5.02064             5.02064            0.460962
96             5.02064             5.02064            0.458555
97             5.02064             5.02064            0.456185
98             5.02064             5.02064            0.453852
99             5.02064             5.02064            0.451554
100             5.02064             5.02064             0.44929
