***************************************************
            HYDROGEN ATOM SIMULATION
***************************************************

Estimation of <r> in hydrogen atom first excited state.
Number of steps for each block: 100000.
Transition probability: gauss.
Starting position: (1, 1, 1)a_0.

BLOCK:      ACTUAL VALUE:       AVERAGE VALUE:      ERROR:
1             5.01632             5.01632             4.48855
2             4.91616             4.96624             3.13826
3             5.03201             4.98816             2.57511
4              5.0261             4.99765             2.23488
5             5.06503             5.01113             2.00501
6             5.00646             5.01035             1.82999
7             4.98925             5.00733              1.6931
8             5.03381             5.01064             1.58493
9             4.97347             5.00651              1.4929
10             4.99117             5.00498              1.4158
11             5.03875             5.00805             1.35084
12             5.00529             5.00782             1.29327
13             4.95068             5.00342              1.2413
14             4.97848             5.00164             1.19567
15             4.97277             4.99972             1.15463
16             5.02261             5.00115             1.11832
17             4.98195             5.00002             1.08466
18             5.02891             5.00162             1.05448
19             5.05604             5.00449             1.02701
20             5.01631             5.00508             1.00114
21             4.99914              5.0048            0.976953
22             4.98526             5.00391            0.954301
23              5.0333             5.00519            0.933593
24               5.021             5.00585            0.914072
25             4.98881             5.00516            0.895466
26             5.00359              5.0051            0.878065
27             4.98489             5.00435            0.861506
28             5.00149             5.00425            0.845963
29             4.95207             5.00245            0.830913
30             5.03842             5.00365            0.817168
31             5.00787             5.00379            0.803904
32             5.00281             5.00376            0.791238
33             5.05415             5.00528            0.779425
34             5.01612              5.0056            0.767932
35             4.95319             5.00411            0.756627
36             4.99658              5.0039             0.74601
37             5.00633             5.00396             0.73587
38             5.02695             5.00457            0.726222
39              5.0239             5.00506            0.716931
40             5.07967             5.00693            0.708209
41             4.99682             5.00668             0.69948
42             4.96512             5.00569            0.690949
43             4.96094             5.00465            0.682708
44             4.97123             5.00389             0.67479
45             4.96765             5.00309             0.66713
46              4.9906             5.00281            0.659798
47              5.0276             5.00334            0.652819
48             4.99713             5.00321            0.645964
49             5.05925             5.00436            0.639503
50             4.99834             5.00424            0.633058
51               4.981             5.00378            0.626757
52             4.98013             5.00333            0.620638
53             4.93175             5.00198            0.614568
54             5.04163             5.00271            0.608952
55             5.01716             5.00297            0.603426
56             5.02009             5.00328            0.598055
57             5.02847             5.00372            0.592845
58             5.01254             5.00387            0.587732
59             5.02077             5.00416            0.582767
60             4.99259             5.00397            0.577865
61             4.98482             5.00365            0.573069
62             5.03133              5.0041            0.568486
63             5.01429             5.00426            0.563976
64             4.97565             5.00381            0.559497
65             5.00895             5.00389            0.555186
66             4.96064             5.00324            0.550883
67             5.00672             5.00329            0.546763
68             4.97866             5.00293            0.542683
69             4.96416             5.00236            0.538668
70             5.00234             5.00236            0.534807
71             5.01242             5.00251            0.531044
72             5.05619             5.00325            0.527432
73             5.02666             5.00357            0.523845
74             5.05433             5.00426            0.520373
75             4.97662             5.00389             0.51685
76             5.02871             5.00422            0.513476
77             4.98675             5.00399            0.510105
78             4.96141             5.00344            0.506762
79             4.96662             5.00298            0.503492
80             4.98686             5.00278            0.500312
81             4.99841             5.00272            0.497208
82             4.94489             5.00202            0.494089
83             5.04822             5.00257            0.491165
84             4.99301             5.00246             0.48822
85             5.06002             5.00314            0.485414
86             5.04039             5.00357             0.48263
87             5.05454             5.00416            0.479912
88             5.01714              5.0043            0.477193
89             5.02009             5.00448            0.474523
90             4.96366             5.00403            0.471832
91             5.01146             5.00411            0.469241
92             5.01698             5.00425            0.466698
93              4.9968             5.00417            0.464174
94             4.98185             5.00393            0.461674
95             4.98357             5.00372            0.459215
96             4.99994             5.00368            0.456813
97             5.03475               5.004            0.454485
98             5.01579             5.00412            0.452172
99             5.01786             5.00426            0.449897
100             4.97101             5.00392            0.447608
