***************************************************
            HYDROGEN ATOM SIMULATION
***************************************************

Estimation of <r> in hydrogen atom first excited state.
Number of steps for each block: 100000.
Transition probability: gauss.
Starting position: (100, 100, 100)a_0.

BLOCK:      ACTUAL VALUE:       AVERAGE VALUE:      ERROR:
1             5.17998             5.17998             4.65319
2             5.01088             5.09543             3.23017
3             5.02779             5.07288             2.62433
4             4.99386             5.05313              2.2628
5             4.99134             5.04077             2.01835
6             5.03162             5.03925             1.84186
7             5.02471             5.03717             1.70444
8             4.99073             5.03136              1.5923
9             4.93685             5.02086             1.49771
10             5.03472             5.02225             1.42129
11             5.02037             5.02208              1.3551
12             4.99683             5.01997              1.2968
13             5.03708             5.02129             1.24629
14             5.04301             5.02284             1.20137
15             4.95606             5.01839             1.15948
16             5.01867             5.01841             1.12266
17             5.01838              5.0184             1.08914
18             4.96785              5.0156             1.05779
19             4.95966             5.01265              1.0289
20             4.99749             5.01189             1.00268
21             4.95208             5.00905            0.977886
22             4.98314             5.00787            0.955151
23             4.93078             5.00452            0.933453
24             4.96525             5.00288            0.913463
25             4.99842              5.0027            0.894971
26             5.04077             5.00417             0.87788
27              5.0719             5.00667            0.861956
28             5.01956             5.00714            0.846511
29             5.03446             5.00808            0.831964
30             4.96652             5.00669            0.817726
31             5.00113             5.00651            0.804396
32             5.04512             5.00772            0.791943
33             4.97955             5.00687            0.779702
34             5.03891             5.00781            0.768312
35             4.94056             5.00589             0.75693
36             4.94252             5.00413            0.746048
37             4.93525             5.00226            0.735589
38             5.00454             5.00232            0.725856
39             4.98551             5.00189             0.71642
40             4.92698             5.00002             0.70711
41             5.01025             5.00027            0.698473
42             5.00707             5.00043            0.690133
43               5.025               5.001            0.682148
44             4.95434             4.99994            0.674191
45             5.01425             5.00026            0.666706
46             5.04402             5.00121             0.65956
47             5.03524             5.00194            0.652612
48             5.03755             5.00268            0.645886
49             5.00058             5.00264            0.639255
50             4.92397             5.00106            0.632607
51             4.99524             5.00095            0.626358
52             4.97195             5.00039            0.620228
53             4.98042             5.00001            0.614297
54             4.96583             4.99938            0.608496
55             5.00071              4.9994            0.602942
56             4.99945             4.99941            0.597534
57             5.02269             4.99981            0.592324
58             4.94662              4.9989            0.587074
59             4.95159             4.99809            0.581973
60             4.98932             4.99795            0.577084
61             5.03812             4.99861            0.572419
62              5.0076             4.99875            0.567802
63             5.05269             4.99961            0.563387
64             5.00905             4.99976            0.558986
65             5.03841             5.00035            0.554744
66              5.0229             5.00069            0.550568
67             5.00366             5.00074            0.546449
68             4.98444              5.0005            0.542387
69              5.0103             5.00064            0.538459
70              5.0056             5.00071            0.534608
71             5.07741             5.00179            0.530959
72             5.00249              5.0018             0.52726
73             4.93894             5.00094            0.523534
74             5.00502             5.00099            0.519991
75             4.98279             5.00075            0.516485
76             5.02043             5.00101            0.513106
77             5.00062               5.001            0.509762
78             4.94445             5.00028            0.506402
79             5.01663             5.00049             0.50321
80             5.03278             5.00089              0.5001
81             5.05613             5.00157             0.49708
82             5.01082             5.00169            0.494052
83             4.99946             5.00166            0.491064
84             4.98022              5.0014            0.488104
85             4.98175             5.00117            0.485199
86             4.98949             5.00104            0.482355
87             4.98068              5.0008             0.47955
88             4.98017             5.00057            0.476792
89             4.94558             4.99995             0.47404
90             5.01759             5.00015             0.47142
91             5.01216             5.00028            0.468837
92             5.01172              5.0004            0.466295
93             5.03861             5.00081            0.463824
94             5.02373             5.00106            0.461375
95             5.00781             5.00113            0.458948
96             5.00092             5.00113            0.456551
97             4.97177             5.00082            0.454161
98             5.04419             5.00127            0.451883
99             4.95043             5.00075            0.449543
100             5.00702             5.00081            0.447296
