***************************************************
            HYDROGEN ATOM SIMULATION
***************************************************

Estimation of <r> in hydrogen atom first excited state.
Number of steps for each block: 100000.
Transition probability: gauss.
Starting position: (100, 100, 100)a_0.

BLOCK:      ACTUAL VALUE:       AVERAGE VALUE:      ERROR:
1              4.9956              4.9956                   0
2             5.00911             5.00235          0.00477363
3             4.97016             4.99162          0.00932254
4             4.97639             4.98781          0.00773084
5             5.02734             4.99572          0.00939353
6             5.06361             5.00703           0.0129607
7             5.02378             5.00943           0.0113278
8             5.01613             5.01026          0.00994273
9             4.95765             5.00442           0.0104156
10             4.97324              5.0013          0.00982974
11             5.01863             5.00288          0.00906149
12              4.9558             4.99895          0.00911593
13             4.97265             4.99693          0.00863638
14             4.95173              4.9937          0.00860192
15             4.97322             4.99233          0.00813615
16              4.9776             4.99141          0.00767961
17             5.02306             4.99327          0.00745004
18             4.96653             4.99179          0.00718276
19             5.00037             4.99224           0.0068189
20             5.04239             4.99475          0.00692372
21             5.05131             4.99744          0.00709855
22             5.03401              4.9991          0.00696779
23             5.02737             5.00033          0.00677236
24             4.98629             4.99975          0.00651542
25             4.98406             4.99912          0.00628494
26             5.00471             4.99934          0.00604689
27             4.99582              4.9992          0.00582433
28             5.00472              4.9994          0.00561965
29             4.95624             4.99791          0.00561947
30             5.00467             4.99814          0.00543666
31             4.92414             4.99575          0.00576155
32             5.04677             4.99735          0.00579789
33             5.02732             4.99825          0.00569288
34             4.97484             4.99757          0.00556693
35             5.04727             4.99899          0.00558611
36             4.99164             4.99878          0.00543466
37             4.96594             4.99789          0.00535975
38             5.03732             4.99893          0.00531816
39              4.9889             4.99867          0.00518801
40             4.99169              4.9985          0.00506125
41             4.97608             4.99795          0.00496725
42              4.9805             4.99754          0.00486632
43              5.0054             4.99772          0.00475658
44             4.98536             4.99744          0.00465677
45             4.98251             4.99711           0.0045651
46              4.9911             4.99698          0.00446772
47             4.96425             4.99628          0.00442659
48             4.97035             4.99574           0.0043672
49             4.95966               4.995          0.00433969
50             5.00413             4.99519          0.00425673
51             4.99314             4.99515          0.00417345
52             4.99111             4.99507          0.00409392
53               5.042             4.99595          0.00411132
54             5.04129             4.99679          0.00412002
55             4.97718             4.99644          0.00406052
56             5.03833             4.99719          0.00405634
57             5.01454             4.99749          0.00399659
58             5.02896             4.99803          0.00396434
59             4.96669              4.9975          0.00393258
60              4.9644             4.99695          0.00390553
61             5.02967             4.99749          0.00387817
62              4.9719             4.99707          0.00383751
63             4.99431             4.99703          0.00377684
64             5.00497             4.99715          0.00371987
65             4.94455             4.99634          0.00374964
66             5.00964             4.99655          0.00369824
67             4.97637             4.99625          0.00365528
68             4.99906             4.99629          0.00360176
69             4.97999             4.99605          0.00355729
70             4.95192             4.99542          0.00356191
71             4.98134             4.99522          0.00351725
72             4.92156              4.9942          0.00361413
73             5.03236             4.99472          0.00360223
74             4.99915             4.99478          0.00355405
75             4.98517             4.99465          0.00350897
76             4.99705             4.99468          0.00346294
77             5.01249             4.99492          0.00342568
78             5.03111             4.99538          0.00341303
79             4.98507             4.99525          0.00337232
80             5.02516             4.99562          0.00335084
81             5.01424             4.99585          0.00331734
82             4.98003             4.99566          0.00328249
83             4.99224             4.99562           0.0032432
84             5.03751             4.99612          0.00324272
85             4.99616             4.99612          0.00320457
86             5.00455             4.99622          0.00316881
87             5.02151             4.99651          0.00314569
88             4.99803             4.99652          0.00310999
89              5.0595             4.99723          0.00315451
90             4.95977             4.99682          0.00314681
91             5.00155             4.99687          0.00311266
92              5.0576             4.99753          0.00314805
93             5.02034             4.99777          0.00312375
94             4.96327             4.99741          0.00311201
95             4.99739             4.99741          0.00307925
96             5.02868             4.99773          0.00306436
97             5.03358              4.9981          0.00305498
98             4.96811              4.9978           0.0030391
99             4.96817              4.9975           0.0030231
100              4.9884              4.9974          0.00299424
