***************************************************
            HYDROGEN ATOM SIMULATION
***************************************************

Estimation of <r> in hydrogen atom first excited state.
Number of steps for each block: 100000.
Transition probability: unif.
Starting position: (1, 1, 1)a_0.

BLOCK:      ACTUAL VALUE:       AVERAGE VALUE:      ERROR:
1             4.98706             4.98706                   0
2             4.94393              4.9655           0.0152487
3             4.96106             4.96402           0.0102374
4             5.01168             4.97593           0.0128615
5             4.97819             4.97638           0.0102972
6             4.99589             4.97964          0.00907993
7             4.97236              4.9786          0.00784205
8             4.91657             4.97084          0.00998456
9             4.96584             4.97029          0.00889061
10             4.99845              4.9731           0.0084359
11             4.96615             4.97247          0.00769267
12             5.02769             4.97707          0.00831456
13             4.97138             4.97663          0.00768652
14             5.01748             4.97955          0.00767125
15             5.02185             4.98237          0.00766057
16             4.95438             4.98062           0.0073788
17             4.97213             4.98012          0.00696163
18             4.96392             4.97922          0.00663282
19             5.00513             4.98059          0.00642239
20             4.97693              4.9804          0.00610387
21             4.98738             4.98074          0.00582223
22             5.02687             4.98283          0.00592318
23             4.99991             4.98358          0.00571202
24              5.0255             4.98532           0.0057349
25             5.00821             4.98624          0.00557808
26             4.98076             4.98603          0.00536752
27             5.08498             4.98969          0.00629681
28             5.03763              4.9914          0.00630038
29             5.00133             4.99175           0.0060924
30             4.97358             4.99114          0.00591934
31             4.94935             4.98979          0.00587992
32             5.00018             4.99012          0.00570512
33             5.05148             4.99198          0.00582736
34             4.95599             4.99092          0.00575126
35             4.98536             4.99076          0.00558913
36             4.96748             4.99011          0.00547116
37             5.01911              4.9909          0.00537913
38             4.99572             4.99102          0.00523907
39             5.02785             4.99197          0.00518914
40             4.96526              4.9913          0.00510218
41             4.98447             4.99113          0.00498045
42             4.99978             4.99134          0.00486612
43             5.00155             4.99158          0.00475875
44             5.01117             4.99202          0.00467139
45             5.07534             4.99387          0.00492084
46             5.01558             4.99435          0.00483643
47             4.99267             4.99431          0.00473366
48             4.92174              4.9928          0.00487052
49             5.00764              4.9931          0.00478053
50             4.99825              4.9932          0.00468603
51             5.02767             4.99388          0.00464263
52             5.00904             4.99417          0.00456249
53              5.0256             4.99476          0.00451479
54             5.04214             4.99564          0.00451562
55             4.98697             4.99548          0.00443627
56              5.0121             4.99578          0.00436696
57             4.96712             4.99528          0.00431921
58             5.02997             4.99588          0.00428596
59             4.98963             4.99577          0.00421462
60             5.03418             4.99641           0.0041927
61             4.99884             4.99645          0.00412416
62             5.00991             4.99667          0.00406335
63              5.0183             4.99701          0.00401334
64             4.97722              4.9967          0.00396253
65             5.04315             4.99742          0.00396549
66             5.00317              4.9975          0.00390636
67              5.0346             4.99806           0.0038871
68             5.02678             4.99848          0.00385282
69             4.96837             4.99804          0.00382161
70             5.00224              4.9981          0.00376749
71             4.97396             4.99776          0.00372974
72             4.99042             4.99766          0.00367933
73             5.00587             4.99777          0.00363064
74             5.04843             4.99846          0.00364555
75             5.04701              4.9991          0.00365396
76             5.06868             5.00002           0.0037188
77              4.9686             4.99961          0.00369283
78              4.9565             4.99906          0.00368662
79             4.92095             4.99807          0.00377019
80             5.04489             4.99866          0.00376822
81             5.02649               4.999          0.00373734
82             5.00292             4.99905          0.00369206
83             4.99271             4.99897          0.00364837
84             5.00431             4.99903          0.00360549
85             4.98996             4.99893          0.00356465
86             5.03132              4.9993          0.00354305
87             5.02238             4.99957          0.00351224
88             4.96406             4.99917          0.00349544
89             4.96559             4.99879          0.00347646
90             4.98776             4.99867          0.00343999
91             4.98353              4.9985          0.00340621
92                5.03             4.99884          0.00338635
93             4.99699             4.99882             0.00335
94             5.02101             4.99906          0.00332266
95             4.96124             4.99866          0.00331145
96             5.04568             4.99915          0.00331297
97             5.02671             4.99943          0.00329098
98             4.97773             4.99921          0.00326484
99             4.92112             4.99842          0.00332579
100             5.00617              4.9985          0.00329343
