***************************************************
            HYDROGEN ATOM SIMULATION
***************************************************

Estimation of <r> in hydrogen atom first excited state.
Number of steps for each block: 100000.
Transition probability: unif.
Starting position: (100, 100, 100)a_0.

BLOCK:      ACTUAL VALUE:       AVERAGE VALUE:      ERROR:
1             5.28783             5.28783                   0
2             5.02504             5.15643           0.0929096
3             4.99336             5.10208           0.0761988
4              4.9977             5.07598           0.0614551
5             5.04549             5.06988           0.0494658
6             5.00086             5.05838           0.0425381
7             5.00151             5.05025            0.037229
8             5.02779             5.04745           0.0326811
9             4.98074             5.04003           0.0298785
10             4.96852             5.03288           0.0277334
11             5.00347             5.03021           0.0253407
12             4.96821             5.02504           0.0237499
13              5.0023             5.02329           0.0219873
14             4.98966             5.02089           0.0205476
15              5.0265             5.02126           0.0191812
16             5.01003             5.02056           0.0179952
17             4.95903             5.01694           0.0172969
18             4.98884             5.01538           0.0164063
19              5.0135             5.01528           0.0155431
20              4.9657              5.0128           0.0149623
21              5.0248             5.01337           0.0142607
22             4.95239              5.0106           0.0138793
23             5.00871             5.01052           0.0132761
24             4.97407               5.009           0.0128095
25             5.00327             5.00877           0.0122992
26             5.02854             5.00953           0.0118496
27             5.02705             5.01018           0.0114285
28             4.99697             5.00971           0.0110301
29             5.00181             5.00944           0.0106531
30             4.96493             5.00795           0.0104008
31             5.04083             5.00901           0.0101192
32             5.01347             5.00915          0.00980391
33             5.02264             5.00956          0.00951533
34             4.95433             5.00794           0.0093731
35             5.02419              5.0084           0.0091168
36             4.93083             5.00625           0.0091146
37             4.94738             5.00466          0.00900606
38             5.01784               5.005          0.00877575
39             5.02046              5.0054          0.00855968
40             4.94994             5.00401          0.00845721
41             4.99415             5.00377          0.00825436
42              5.0065             5.00384          0.00805809
43              4.9448             5.00246           0.0079868
44             4.95768             5.00145          0.00786988
45             5.05109             5.00255          0.00777192
46             4.99389             5.00236          0.00760525
47             5.00295             5.00237          0.00744344
48             5.00497             5.00243          0.00728857
49             5.02055              5.0028           0.0071492
50             5.00308              5.0028          0.00700622
51              4.9715             5.00219          0.00689567
52             4.92293             5.00067          0.00692948
53             5.00392             5.00073            0.006799
54             4.98807             5.00049          0.00667714
55             5.00679             5.00061          0.00655672
56             4.98759             5.00037          0.00644375
57             5.01078             5.00056          0.00633329
58             4.97257             5.00007          0.00624245
59             4.97365             4.99963          0.00615269
60             5.00468             4.99971          0.00605072
61             5.06035              5.0007          0.00603263
62             5.02289             5.00106          0.00594593
63             4.97814              5.0007          0.00586267
64             4.96897              5.0002          0.00579199
65             4.98401             4.99995          0.00570823
66             4.99303             4.99985          0.00562271
67             5.00022             4.99985          0.00553879
68             5.03609             5.00039          0.00548291
69             4.98098             5.00011          0.00541066
70             4.96281             4.99957          0.00535953
71             4.95751             4.99898          0.00531668
72             5.07991             5.00011          0.00536034
73             5.02963             5.00051          0.00530214
74             4.99418             5.00042          0.00523118
75             5.00397             5.00047          0.00516165
76             4.97573             5.00015          0.00510398
77             4.99659              5.0001          0.00503791
78             5.01831             5.00033          0.00497872
79             4.99866             5.00031          0.00491575
80             5.00562             5.00038          0.00485475
81             4.98106             5.00014          0.00480067
82             4.96532             4.99972          0.00476086
83             4.97657             4.99944          0.00471166
84             5.08569             5.00046          0.00476615
85             4.98826             5.00032          0.00471224
86             4.98065             5.00009            0.004663
87             5.02118             5.00033           0.0046157
88             5.06452             5.00106          0.00462052
89             5.01038             5.00117          0.00456979
90             4.99855             5.00114          0.00451911
91             5.05371             5.00172          0.00450622
92             5.08794             5.00265          0.00455366
93             5.00237             5.00265           0.0045047
94             5.02781             5.00292          0.00446472
95             5.04794             5.00339           0.0044428
96             4.99467              5.0033          0.00439745
97             5.07027             5.00399          0.00440598
98             5.02492              5.0042          0.00436619
99             4.99158             5.00408          0.00432395
100             4.97226             5.00376           0.0042924
