***************************************************
            HYDROGEN ATOM SIMULATION
***************************************************

Estimation of <r> in hydrogen atom first excited state.
Number of steps for each block: 100000.
Transition probability: unif.
Starting position: (100, 100, 100)a_0.

BLOCK:      ACTUAL VALUE:       AVERAGE VALUE:      ERROR:
1             4.99415             4.99415                   0
2              5.0065             5.00032          0.00436733
3              4.9448             4.98182           0.0153902
4             4.95768             4.97578           0.0126707
5             5.05109             4.99084           0.0168588
6             4.99389             4.99135           0.0140567
7             5.00295             4.99301           0.0121458
8             5.00497              4.9945           0.0107193
9             5.02055              4.9974          0.00991125
10             5.00308             4.99797          0.00893641
11              4.9715             4.99556          0.00844158
12             4.92293             4.98951           0.0096675
13             5.00392             4.99062          0.00898717
14             4.98807             4.99043          0.00834707
15             5.00679             4.99152           0.0078615
16             4.98759             4.99128            0.007374
17             5.01078             4.99243           0.0070289
18             4.97257             4.99132          0.00672442
19             4.97365             4.99039          0.00643449
20             5.00468             4.99111          0.00615227
21             5.06035              4.9944           0.0066847
22             5.02289              4.9957          0.00650508
23             4.97814             4.99494          0.00626687
24             4.96897             4.99385          0.00609839
25             4.98401             4.99346          0.00586714
26             4.99303             4.99344          0.00564151
27             5.00022             4.99369          0.00543814
28             5.03609             4.99521          0.00545066
29             4.98098             4.99472          0.00528474
30             4.96281             4.99365          0.00521449
31             4.95751             4.99249          0.00517498
32             5.07991             4.99522          0.00568886
33             5.02963             4.99626          0.00561118
34             4.99418              4.9962          0.00544648
35             5.00397             4.99642          0.00529539
36             4.97573             4.99585          0.00517939
37             4.99659             4.99587          0.00503945
38             5.01831             4.99646          0.00494131
39             4.99866             4.99652          0.00481493
40             5.00562             4.99674          0.00469993
41             4.98106             4.99636          0.00460084
42             4.96532             4.99562          0.00455025
43             4.97657             4.99518          0.00446595
44             5.08569             4.99724          0.00481498
45             4.98826             4.99704          0.00471211
46             4.98065             4.99668          0.00462313
47             5.02118              4.9972          0.00455406
48             5.06452              4.9986          0.00467015
49             5.01038             4.99884          0.00458102
50             4.99855             4.99884           0.0044894
51             5.05371             4.99991          0.00452845
52             5.08794             5.00161          0.00474724
53             5.00237             5.00162           0.0046577
54             5.02781             5.00211          0.00459661
55             5.04794             5.00294          0.00458795
56             4.99467             5.00279           0.0045084
57             5.07027             5.00398          0.00458209
58             5.02492             5.00434           0.0045173
59             4.99158             5.00412           0.0044459
60             4.97226             5.00359           0.0044034
61             4.94857             5.00269          0.00442261
62             5.02065             5.00298          0.00436076
63             4.97257              5.0025          0.00431816
64             5.05534             5.00332           0.0043289
65             4.94448             5.00242          0.00435593
66             5.00768              5.0025          0.00429066
67             5.05972             5.00335          0.00431078
68             5.00127             5.00332          0.00424749
69              5.0273             5.00367          0.00420013
70             4.98277             5.00337          0.00415072
71             5.02389             5.00366          0.00410232
72              4.9427             5.00281          0.00413178
73             4.98186             5.00252          0.00408513
74             4.94527             5.00175          0.00410253
75             4.98703             5.00155          0.00405252
76              4.9942             5.00146          0.00400035
77              4.9705             5.00105          0.00396855
78             5.01496             5.00123          0.00392167
79             5.00589             5.00129          0.00387247
80             5.02798             5.00163          0.00383841
81             5.05815             5.00232          0.00385394
82             5.03432             5.00271          0.00382664
83             4.93443             5.00189          0.00386795
84             4.96986             5.00151          0.00384066
85             5.05547             5.00214          0.00384758
86             5.02042             5.00236          0.00380871
87             4.95173             5.00177          0.00380913
88             5.00065             5.00176          0.00376586
89             4.95675             5.00126          0.00375736
90             5.03875             5.00167          0.00373864
91              4.9966             5.00162          0.00369798
92             5.01264             5.00174          0.00365972
93             4.94679             5.00115          0.00366774
94             4.97301             5.00085          0.00364092
95             4.97322             5.00056          0.00361419
96             4.99047             5.00045          0.00357807
97             5.03258             5.00078          0.00355648
98             5.01418             5.00092          0.00352282
99             5.01315             5.00104           0.0034894
100             5.02651              5.0013          0.00346379
