***************************************************
            HYDROGEN ATOM SIMULATION
***************************************************

Estimation of <r> in hydrogen atom ground state.
Number of steps for each block: 100000.
Transition probability: unif.
Starting position: (1, 1, 1)a_0.

BLOCK:      ACTUAL VALUE:       AVERAGE VALUE:      ERROR:
1             1.49887             1.49887            0.864725
2             1.49887             1.49887            0.611453
3             1.49887             1.49887            0.499249
4             1.49887             1.49887            0.432363
5             1.49887             1.49887            0.386717
6             1.49887             1.49887            0.353023
7             1.49887             1.49887            0.326835
8             1.49887             1.49887            0.305727
9             1.49887             1.49887            0.288242
10             1.49887             1.49887             0.27345
11             1.49887             1.49887            0.260724
12             1.49887             1.49887            0.249625
13             1.49887             1.49887            0.239832
14             1.49887             1.49887            0.231108
15             1.49887             1.49887            0.223271
16             1.49887             1.49887            0.216181
17             1.49887             1.49887            0.209727
18             1.49887             1.49887            0.203818
19             1.49887             1.49887            0.198382
20             1.49887             1.49887            0.193358
21             1.49887             1.49887            0.188699
22             1.49887             1.49887             0.18436
23             1.49887             1.49887            0.180308
24             1.49887             1.49887            0.176511
25             1.49887             1.49887            0.172945
26             1.49887             1.49887            0.169587
27             1.49887             1.49887            0.166416
28             1.49887             1.49887            0.163418
29             1.49887             1.49887            0.160575
30             1.49887             1.49887            0.157876
31             1.49887             1.49887            0.155309
32             1.49887             1.49887            0.152863
33             1.49887             1.49887            0.150529
34             1.49887             1.49887            0.148299
35             1.49887             1.49887            0.146165
36             1.49887             1.49887            0.144121
37             1.49887             1.49887             0.14216
38             1.49887             1.49887            0.140277
39             1.49887             1.49887            0.138467
40             1.49887             1.49887            0.136725
41             1.49887             1.49887            0.135047
42             1.49887             1.49887             0.13343
43             1.49887             1.49887            0.131869
44             1.49887             1.49887            0.130362
45             1.49887             1.49887            0.128906
46             1.49887             1.49887            0.127497
47             1.49887             1.49887            0.126133
48             1.49887             1.49887            0.124812
49             1.49887             1.49887            0.123532
50             1.49887             1.49887            0.122291
51             1.49887             1.49887            0.121086
52             1.49887             1.49887            0.119916
53             1.49887             1.49887            0.118779
54             1.49887             1.49887            0.117674
55             1.49887             1.49887              0.1166
56             1.49887             1.49887            0.115554
57             1.49887             1.49887            0.114536
58             1.49887             1.49887            0.113544
59             1.49887             1.49887            0.112578
60             1.49887             1.49887            0.111636
61             1.49887             1.49887            0.110717
62             1.49887             1.49887             0.10982
63             1.49887             1.49887            0.108945
64             1.49887             1.49887            0.108091
65             1.49887             1.49887            0.107256
66             1.49887             1.49887             0.10644
67             1.49887             1.49887            0.105643
68             1.49887             1.49887            0.104863
69             1.49887             1.49887            0.104101
70             1.49887             1.49887            0.103354
71             1.49887             1.49887            0.102624
72             1.49887             1.49887            0.101909
73             1.49887             1.49887            0.101208
74             1.49887             1.49887            0.100522
75             1.49887             1.49887           0.0998499
76             1.49887             1.49887           0.0991908
77             1.49887             1.49887           0.0985446
78             1.49887             1.49887           0.0979108
79             1.49887             1.49887           0.0972892
80             1.49887             1.49887           0.0966792
81             1.49887             1.49887           0.0960806
82             1.49887             1.49887           0.0954929
83             1.49887             1.49887           0.0949159
84             1.49887             1.49887           0.0943493
85             1.49887             1.49887           0.0937926
86             1.49887             1.49887           0.0932457
87             1.49887             1.49887           0.0927083
88             1.49887             1.49887             0.09218
89             1.49887             1.49887           0.0916607
90             1.49887             1.49887             0.09115
91             1.49887             1.49887           0.0906478
92             1.49887             1.49887           0.0901538
93             1.49887             1.49887           0.0896678
94             1.49887             1.49887           0.0891896
95             1.49887             1.49887           0.0887189
96             1.49887             1.49887           0.0882556
97             1.49887             1.49887           0.0877995
98             1.49887             1.49887           0.0873504
99             1.49887             1.49887           0.0869081
100             1.49887             1.49887           0.0864725
