***************************************************
            HYDROGEN ATOM SIMULATION
***************************************************

Estimation of <r> in hydrogen atom ground state.
Number of steps for each block: 100000.
Transition probability: gauss.
Starting position: (1, 1, 1)a_0.

BLOCK:      ACTUAL VALUE:       AVERAGE VALUE:      ERROR:
1             1.49307             1.49307                   0
2              1.4823             1.48769          0.00380927
3             1.51504              1.4968          0.00786603
4             1.50501             1.49885          0.00616106
5             1.48972             1.49703           0.0051925
6             1.50041             1.49759          0.00435763
7             1.50235             1.49827          0.00378763
8             1.47598             1.49549          0.00421632
9             1.49034             1.49491          0.00378641
10             1.49674              1.4951          0.00341215
11             1.49592             1.49517          0.00310277
12             1.49992             1.49557          0.00286939
13             1.51287              1.4969          0.00294107
14             1.48593             1.49611          0.00283336
15             1.48014             1.49505          0.00283751
16             1.50816             1.49587          0.00277592
17             1.49761             1.49597          0.00261452
18             1.51984              1.4973          0.00278522
19             1.54407             1.49976          0.00356425
20             1.51254              1.5004          0.00344285
21             1.51136             1.50092          0.00331828
22             1.51116             1.50139          0.00319991
23             1.49622             1.50116          0.00306864
24             1.48994             1.50069          0.00297617
25             1.47765             1.49977          0.00299643
26             1.53029             1.50095          0.00310265
27              1.4916              1.5006          0.00300698
28             1.50201             1.50065          0.00290001
29             1.48484              1.5001          0.00285081
30             1.48873             1.49973          0.00278086
31             1.48308             1.49919          0.00274251
32              1.5043             1.49935          0.00266145
33             1.49045             1.49908          0.00259444
34             1.50882             1.49936           0.0025339
35              1.5099             1.49967          0.00247933
36             1.50014             1.49968          0.00241049
37             1.49786             1.49963          0.00234584
38             1.51272             1.49997          0.00230928
39             1.48543              1.4996             0.00228
40             1.48691             1.49928          0.00224497
41             1.50333             1.49938          0.00219238
42             1.49886             1.49937          0.00214022
43             1.49941             1.49937          0.00209045
44             1.48386             1.49902          0.00207246
45              1.4913             1.49885           0.0020335
46             1.47915             1.49842          0.00203388
47             1.51112             1.49869          0.00200847
48             1.48413             1.49839           0.0019894
49             1.50287             1.49848           0.0019509
50              1.5146              1.4988          0.00193835
51             1.50506             1.49892          0.00190422
52             1.51721             1.49927          0.00189981
53             1.49332             1.49916          0.00186728
54             1.48769             1.49895          0.00184475
55             1.49727             1.49892          0.00181146
56             1.50206             1.49898          0.00177998
57             1.50597              1.4991          0.00175298
58             1.51893             1.49944          0.00175579
59             1.48143             1.49913          0.00175236
60             1.50552             1.49924          0.00172639
61             1.49271             1.49913           0.0017014
62             1.51552              1.4994          0.00169435
63             1.49774             1.49937          0.00166766
64             1.50171             1.49941            0.001642
65             1.52503              1.4998          0.00166337
66             1.47844             1.49948          0.00166936
67             1.48532             1.49927          0.00165776
68              1.5118             1.49945           0.0016436
69             1.48949             1.49931          0.00162611
70             1.49983             1.49932           0.0016029
71              1.5026             1.49936          0.00158099
72             1.48186             1.49912          0.00157761
73             1.50344             1.49918          0.00155711
74             1.49911             1.49918          0.00153607
75             1.49417             1.49911          0.00151704
76             1.48264             1.49889          0.00151248
77             1.47859             1.49863          0.00151564
78             1.51141             1.49879          0.00150504
79             1.49774             1.49878          0.00148604
80             1.50548             1.49886          0.00146982
81             1.49611             1.49883          0.00145207
82             1.49838             1.49882          0.00143437
83             1.51976             1.49908           0.0014391
84              1.5191             1.49931          0.00144159
85              1.5091             1.49943          0.00142922
86             1.50425             1.49949           0.0014137
87             1.51859             1.49971          0.00141439
88             1.49542             1.49966          0.00139916
89             1.48465             1.49949          0.00139356
90             1.48677             1.49935          0.00138522
91             1.50877             1.49945          0.00137386
92              1.4736             1.49917          0.00138737
93             1.51715             1.49936          0.00138585
94             1.48593             1.49922          0.00137846
95             1.48384             1.49906          0.00137342
96             1.50838             1.49916          0.00136255
97             1.49244             1.49909          0.00135025
98             1.49377             1.49903          0.00133757
99             1.49642             1.49901          0.00132432
100             1.49927             1.49901          0.00131108
