***************************************************
            HYDROGEN ATOM SIMULATION
***************************************************

Estimation of <r> in hydrogen atom ground state.
Number of steps for each block: 100000.
Transition probability: gauss.
Starting position: (100, 100, 100)a_0.

BLOCK:      ACTUAL VALUE:       AVERAGE VALUE:      ERROR:
1             2.19553             2.19553                   0
2             1.51138             1.85346            0.241881
3             1.49699             1.73463            0.188189
4             1.54345             1.68684            0.147086
5             1.50866              1.6512             0.12191
6             1.50268             1.62645            0.104074
7             1.48189              1.6058           0.0912321
8             1.51622              1.5946           0.0805123
9             1.49345             1.58336           0.0723467
10             1.50495             1.57552           0.0655355
11              1.4992             1.56858           0.0599439
12             1.49826             1.56272           0.0552343
13             1.50353             1.55817           0.0511728
14             1.48591             1.55301           0.0477772
15             1.50768             1.54999           0.0446875
16             1.48554             1.54596           0.0420757
17             1.51428             1.54409           0.0396419
18             1.53237             1.54344           0.0374449
19             1.49998             1.54116           0.0355439
20             1.50407              1.5393            0.033815
21             1.50388             1.53761           0.0322468
22             1.50698             1.53622           0.0308111
23              1.5049             1.53486           0.0295016
24             1.50297             1.53353           0.0283023
25             1.49892             1.53215            0.027204
26             1.49758             1.53082           0.0261902
27             1.48749             1.52921           0.0252693
28             1.48183             1.52752           0.0244234
29             1.51074             1.52694           0.0235881
30             1.49292             1.52581           0.0228291
31             1.50423             1.52511           0.0221032
32             1.50466             1.52447           0.0214218
33             1.52068             1.52436           0.0207729
34             1.47604             1.52294           0.0202105
35             1.49721              1.5222           0.0196464
36             1.51081             1.52189           0.0191032
37             1.49615             1.52119           0.0185996
38             1.52271             1.52123           0.0181102
39             1.50038              1.5207           0.0176537
40             1.50251             1.52024           0.0172182
41             1.46705             1.51894           0.0168471
42             1.50785             1.51868            0.016448
43             1.48729             1.51795           0.0160817
44             1.49942             1.51753           0.0157217
45             1.49058             1.51693           0.0153837
46             1.49637             1.51648           0.0150558
47             1.49496             1.51602           0.0147424
48             1.50844             1.51587           0.0144361
49             1.50289              1.5156           0.0141439
50             1.49787             1.51525           0.0138655
51             1.49919             1.51493           0.0135972
52              1.4952             1.51455            0.013341
53             1.49697             1.51422           0.0130934
54             1.53261             1.51456           0.0128554
55             1.53166             1.51487           0.0126254
56             1.51198             1.51482           0.0124001
57             1.50554             1.51466           0.0121836
58             1.50265             1.51445           0.0119753
59              1.4984             1.51418           0.0117754
60             1.49148              1.5138           0.0115852
61             1.51006             1.51374           0.0113955
62             1.49592             1.51345           0.0112153
63             1.50519             1.51332            0.011038
64             1.48929             1.51295           0.0108719
65             1.47722              1.5124           0.0107186
66             1.48993             1.51206           0.0105616
67             1.51525              1.5121            0.010404
68             1.47711             1.51159           0.0102638
69             1.50419             1.51148           0.0101156
70             1.50168             1.51134          0.00997203
71             1.50363             1.51123          0.00983217
72             1.51534             1.51129          0.00969577
73             1.49772              1.5111          0.00956474
74             1.49015             1.51082          0.00943967
75              1.4801             1.51041          0.00932269
76             1.50583             1.51035          0.00920022
77             1.47711             1.50992          0.00909086
78             1.49337             1.50971          0.00897678
79             1.48553              1.5094          0.00886837
80             1.48696             1.50912          0.00876195
81             1.49201             1.50891          0.00865632
82             1.50857              1.5089          0.00855076
83             1.47541              1.5085          0.00845726
84              1.5088              1.5085          0.00835658
85             1.51067             1.50853           0.0082583
86             1.51766             1.50864          0.00816296
87             1.50212             1.50856          0.00806947
88              1.5158             1.50864           0.0079782
89             1.48661              1.5084          0.00789239
90             1.49586             1.50826          0.00780593
91             1.51843             1.50837          0.00772095
92             1.50251             1.50831          0.00763729
93             1.52153             1.50845          0.00755649
94             1.48675             1.50822          0.00747963
95             1.50097             1.50814          0.00740128
96             1.49452               1.508          0.00732555
97             1.52028             1.50812          0.00725112
98             1.48939             1.50793          0.00717965
99             1.48682             1.50772          0.00711029
100             1.52739             1.50792          0.00704191
