***************************************************
            HYDROGEN ATOM SIMULATION
***************************************************

Estimation of <r> in hydrogen atom ground state.
Number of steps for each block: 100000.
Transition probability: gauss.
Starting position: (100, 100, 100)a_0.

BLOCK:      ACTUAL VALUE:       AVERAGE VALUE:      ERROR:
1             1.49289             1.49289            0.857802
2              1.4881              1.4905              0.6046
3             1.49764             1.49288            0.495246
4             1.49216              1.4927            0.428792
5             1.51563             1.49729            0.385896
6             1.49296             1.49656            0.351933
7             1.49958               1.497            0.326015
8             1.48511             1.49551            0.304352
9             1.49229             1.49515            0.286808
10              1.5106              1.4967            0.272655
11             1.50722             1.49765            0.260299
12             1.49609             1.49752            0.249174
13             1.51852             1.49914            0.239916
14              1.5215             1.50074            0.231682
15             1.51162             1.50146            0.224042
16             1.51004               1.502            0.217083
17             1.48814             1.50118            0.210373
18             1.47455              1.4997            0.204043
19             1.48479             1.49892            0.198393
20             1.52174             1.50006            0.193664
21             1.47817             1.49902            0.188734
22             1.49302             1.49874            0.184328
23             1.49075              1.4984            0.180193
24             1.48431             1.49781             0.17626
25             1.50468             1.49808            0.172763
26              1.4908              1.4978            0.169344
27              1.5089             1.49822             0.16627
28             1.49798             1.49821            0.163272
29             1.50698             1.49851            0.160497
30             1.51142             1.49894             0.15789
31             1.50977             1.49929            0.155395
32               1.478             1.49862            0.152812
33             1.48529             1.49822            0.150398
34              1.4883             1.49793            0.148112
35             1.49113             1.49773            0.145942
36             1.47477              1.4971            0.143778
37             1.51751             1.49765            0.141927
38             1.47119             1.49695            0.139916
39             1.49531             1.49691            0.138103
40             1.50646             1.49715             0.13641
41              1.4834             1.49681            0.134675
42             1.50511             1.49701            0.133098
43             1.50925             1.49729            0.131591
44             1.51401             1.49767            0.130153
45             1.49553             1.49763            0.128691
46             1.50234             1.49773            0.127302
47             1.50114              1.4978            0.125952
48             1.49058             1.49765            0.124608
49             1.48113             1.49731            0.123275
50             1.50275             1.49742            0.122053
51             1.51544             1.49778            0.120908
52             1.50026             1.49782            0.119748
53             1.50154             1.49789            0.118624
54             1.48505             1.49766            0.117483
55             1.50018              1.4977            0.116417
56             1.50822             1.49789            0.115402
57             1.48733              1.4977            0.114357
58             1.49457             1.49765            0.113358
59             1.51159             1.49789            0.112429
60              1.4946             1.49783             0.11148
61              1.4821             1.49757            0.110524
62             1.49185             1.49748            0.109616
63             1.50629             1.49762            0.108763
64             1.47534             1.49727            0.107859
65             1.50598             1.49741            0.107046
66             1.49735             1.49741            0.106232
67             1.49155             1.49732            0.105423
68             1.48345             1.49712            0.104617
69             1.51656              1.4974            0.103895
70             1.48033             1.49715            0.103117
71             1.48936             1.49704            0.102373
72             1.50956             1.49722            0.101683
73             1.50157             1.49728            0.100992
74             1.49949             1.49731            0.100312
75             1.49578             1.49729            0.099638
76             1.51028             1.49746            0.099003
77             1.52817             1.49786           0.0984106
78             1.49553             1.49783           0.0977738
79             1.50851             1.49796           0.0971706
80             1.51194             1.49814           0.0965839
81             1.51203             1.49831           0.0960079
82             1.48777             1.49818           0.0954043
83             1.47798             1.49794           0.0947969
84              1.4863              1.4978           0.0942135
85              1.4952             1.49777           0.0936538
86             1.47947             1.49755           0.0930812
87             1.50384             1.49763           0.0925537
88              1.4813             1.49744           0.0920035
89             1.49043             1.49736           0.0914755
90             1.50739             1.49747           0.0909794
91             1.49232             1.49742           0.0904713
92              1.4805             1.49723           0.0899561
93             1.49452              1.4972           0.0894677
94             1.50628              1.4973            0.089002
95             1.47767             1.49709           0.0885078
96             1.49946             1.49712           0.0880486
97             1.49675             1.49711           0.0875931
98             1.51776             1.49733           0.0871696
99             1.51233             1.49748           0.0867459
100             1.48587             1.49736           0.0862976
