***************************************************
            HYDROGEN ATOM SIMULATION
***************************************************

Estimation of <r> in hydrogen atom ground state.
Number of steps for each block: 100000.
Transition probability: unif.
Starting position: (1, 1, 1)a_0.

BLOCK:      ACTUAL VALUE:       AVERAGE VALUE:      ERROR:
1             1.50555             1.50555                   0
2             1.50965              1.5076          0.00144926
3             1.50747             1.50755         0.000966775
4             1.49802             1.50517          0.00218792
5             1.49663             1.50346           0.0023228
6             1.50925             1.50443          0.00212622
7             1.48965             1.50232          0.00267261
8             1.50154             1.50222          0.00234028
9             1.50534             1.50256          0.00210572
10             1.51301             1.50361           0.0021386
11             1.49867             1.50316          0.00199081
12             1.48847             1.50194          0.00216886
13             1.50917             1.50249          0.00207213
14             1.48203             1.50103          0.00238434
15             1.51688             1.50209          0.00244829
16             1.49151             1.50143          0.00238284
17             1.50527             1.50165          0.00225336
18             1.52055              1.5027          0.00236005
19             1.51021              1.5031           0.0022687
20             1.49922              1.5029          0.00216352
21             1.49444              1.5025          0.00209766
22             1.48378             1.50165          0.00216798
23             1.51028             1.50203          0.00210595
24             1.49232             1.50162           0.0020567
25             1.50634             1.50181          0.00198306
26             1.48335              1.5011          0.00202986
27             1.49781             1.50098          0.00195834
28             1.49503             1.50077          0.00189987
29             1.49668             1.50062          0.00183959
30             1.49596             1.50047          0.00178482
31             1.48956             1.50012           0.0017616
32             1.50342             1.50022          0.00170958
33             1.51249             1.50059          0.00169773
34             1.50301             1.50066          0.00164929
35             1.49982             1.50064          0.00160235
36             1.50477             1.50075          0.00156194
37             1.49577             1.50062          0.00152552
38             1.48384             1.50018          0.00154796
39             1.47436             1.49952          0.00164372
40             1.49748             1.49947          0.00160341
41             1.50237             1.49954          0.00156586
42             1.52938             1.50025          0.00168212
43             1.52372             1.50079           0.0017293
44             1.51358             1.50108          0.00171424
45             1.50317             1.50113          0.00167677
46             1.48782             1.50084          0.00166508
47             1.49123             1.50064          0.00164216
48             1.50809             1.50079          0.00161527
49             1.50473             1.50087           0.0015843
50             1.50674             1.50099          0.00155695
51             1.48886             1.50075          0.00154449
52             1.50096             1.50076          0.00151479
53             1.47486             1.50027          0.00156305
54             1.50258             1.50031          0.00153469
55             1.48899              1.5001          0.00152053
56              1.4903             1.49993          0.00150342
57             1.49805              1.4999          0.00147741
58             1.52464             1.50032          0.00151227
59             1.50634             1.50042          0.00149006
60              1.5064             1.50052          0.00146855
61             1.49276              1.5004          0.00144998
62             1.50589             1.50048           0.0014293
63             1.47782             1.50013          0.00145117
64             1.53626             1.50069          0.00153438
65             1.50097             1.50069          0.00151078
66             1.52383             1.50104          0.00152803
67             1.48024             1.50073          0.00153647
68             1.49725             1.50068          0.00151472
69              1.4709             1.50025          0.00155304
70             1.50845             1.50037          0.00153527
71             1.49273             1.50026          0.00151741
72             1.49638             1.50021          0.00149729
73             1.50667              1.5003           0.0014794
74             1.49773             1.50026          0.00145981
75             1.52187             1.50055           0.0014685
76             1.49823             1.50052           0.0014495
77             1.49703             1.50047          0.00143138
78             1.50332             1.50051          0.00141349
79             1.51817             1.50073          0.00141316
80             1.50317             1.50076          0.00139583
81             1.51409             1.50093          0.00138825
82              1.4889             1.50078          0.00137905
83             1.50209              1.5008          0.00136252
84             1.50544             1.50085          0.00134742
85             1.49224             1.50075          0.00133537
86             1.49981             1.50074          0.00131989
87             1.49306             1.50065          0.00130766
88             1.50316             1.50068          0.00129311
89             1.48124             1.50046           0.0012969
90             1.49469              1.5004          0.00128407
91             1.47373              1.5001          0.00130298
92             1.51301             1.50025          0.00129635
93             1.50456             1.50029          0.00128324
94             1.47991             1.50007          0.00128777
95             1.51302             1.50021          0.00128141
96              1.5043             1.50025          0.00126877
97             1.50633             1.50032          0.00125723
98             1.48401             1.50015          0.00125537
99             1.47832             1.49993           0.0012619
100              1.4778             1.49971          0.00126854
