***************************************************
            HYDROGEN ATOM SIMULATION
***************************************************

Estimation of <r> in hydrogen atom ground state.
Number of steps for each block: 100000.
Transition probability: unif.
Starting position: (100, 100, 100)a_0.

BLOCK:      ACTUAL VALUE:       AVERAGE VALUE:      ERROR:
1             2.08763             2.08763                   0
2             1.51426             1.80095            0.202717
3             1.51132              1.7044            0.156453
4             1.47429             1.64688            0.127478
5             1.48561             1.61462            0.105985
6              1.5044             1.59625           0.0898986
7             1.51353             1.58443           0.0778287
8             1.51247             1.57544           0.0686181
9             1.49151             1.56611           0.0616242
10             1.47207             1.55671           0.0561747
11             1.48939             1.55059           0.0514002
12             1.48245             1.54491           0.0474295
13              1.5314             1.54387           0.0437924
14             1.50521             1.54111           0.0407513
15             1.51029             1.53906           0.0380864
16             1.50398             1.53686            0.035769
17             1.49272             1.53427           0.0337591
18             1.50884             1.53285           0.0319131
19             1.49355             1.53079           0.0303004
20             1.47443             1.52797           0.0289162
21             1.50747             1.52699           0.0275557
22             1.49589             1.52558           0.0263394
23              1.5067             1.52476            0.025207
24             1.46928             1.52245           0.0242624
25             1.49123              1.5212            0.023324
26             1.49155             1.52006           0.0224548
27             1.49766             1.51923           0.0216385
28              1.4983             1.51848           0.0208786
29             1.50533             1.51803           0.0201636
30             1.52149             1.51814           0.0194918
31             1.50392             1.51768           0.0188684
32             1.51115             1.51748           0.0182799
33             1.50687             1.51716           0.0177288
34             1.50976             1.51694           0.0172087
35             1.47336             1.51569            0.016762
36             1.49511             1.51512           0.0163061
37             1.48465              1.5143           0.0158862
38             1.52262             1.51452           0.0154696
39             1.50052             1.51416           0.0150771
40             1.50571             1.51395           0.0147017
41             1.47036             1.51288           0.0143815
42              1.5411             1.51356           0.0140548
43             1.50335             1.51332           0.0137299
44             1.50851             1.51321           0.0134183
45             1.48612             1.51261           0.0131336
46             1.50913             1.51253           0.0128483
47             1.48748               1.512            0.012586
48             1.50224              1.5118           0.0123255
49             1.51272             1.51181           0.0120739
50             1.49902             1.51156           0.0118352
51             1.48826              1.5111           0.0116119
52             1.49332             1.51076           0.0113936
53             1.48112              1.5102           0.0111924
54             1.49147             1.50985           0.0109905
55             1.51935             1.51003            0.010792
56             1.49776             1.50981           0.0106015
57              1.4962             1.50957           0.0104182
58              1.5117             1.50961           0.0102387
59             1.48393             1.50917           0.0100744
60             1.49601             1.50895          0.00990885
61             1.51483             1.50905          0.00974688
62             1.50622               1.509          0.00958977
63             1.50357             1.50892          0.00943794
64             1.49454             1.50869          0.00929315
65             1.52324             1.50891          0.00915287
66             1.48599             1.50857          0.00902078
67             1.49212             1.50832          0.00888948
68             1.48948             1.50805          0.00876307
69             1.51089             1.50809          0.00863616
70             1.51063             1.50812          0.00851287
71             1.49855             1.50799          0.00839404
72             1.50393             1.50793          0.00827764
73             1.48423             1.50761          0.00817062
74             1.50057             1.50751          0.00806076
75             1.49446             1.50734          0.00795516
76             1.49173             1.50713          0.00785314
77               1.497               1.507          0.00775225
78              1.4938             1.50683          0.00765471
79             1.48783             1.50659          0.00756159
80             1.48189             1.50628          0.00747337
81             1.49256             1.50611          0.00738303
82             1.50739             1.50613          0.00729301
83             1.49019             1.50594          0.00720767
84             1.52172             1.50612          0.00712431
85             1.50917             1.50616          0.00704058
86             1.49651             1.50605          0.00695961
87             1.50792             1.50607          0.00687965
88             1.50053             1.50601          0.00680176
89             1.48988             1.50583          0.00672775
90             1.48859             1.50563          0.00665572
91             1.47459             1.50529          0.00659131
92             1.50664             1.50531          0.00651969
93             1.49643             1.50521          0.00645028
94             1.52073             1.50538          0.00638377
95             1.52114             1.50554          0.00631873
96              1.5106              1.5056          0.00625313
97             1.51976             1.50574          0.00619037
98             1.48573             1.50554          0.00613057
99              1.4902             1.50538           0.0060706
100             1.51324             1.50546          0.00601041
