***************************************************
            HYDROGEN ATOM SIMULATION
***************************************************

Estimation of <r> in hydrogen atom ground state.
Number of steps for each block: 100000.
Transition probability: unif.
Starting position: (100, 100, 100)a_0.

BLOCK:      ACTUAL VALUE:       AVERAGE VALUE:      ERROR:
1             1.49337             1.49337            0.858364
2             1.49297             1.49317            0.606791
3             1.48552             1.49062            0.493738
4             1.50423             1.49402            0.429558
5             1.49931             1.49508            0.384755
6             1.50167             1.49618             0.35175
7             1.50385             1.49727            0.326136
8              1.4975              1.4973            0.305084
9             1.49313             1.49684            0.287458
10             1.51505             1.49866            0.273372
11             1.51683             1.50031            0.261225
12             1.50351             1.50058            0.250193
13             1.48234             1.49918            0.239928
14             1.51205             1.50009            0.231484
15              1.4961             1.49983            0.223556
16             1.48649               1.499            0.216216
17              1.5103             1.49966            0.209947
18             1.47816             1.49847            0.203706
19             1.49138             1.49809            0.198174
20             1.48988             1.49768             0.19305
21             1.49825             1.49771            0.188405
22             1.49191             1.49745            0.184008
23             1.51888             1.49838            0.180188
24             1.50848              1.4988            0.176493
25             1.51089             1.49928            0.173039
26             1.50725             1.49959            0.169748
27             1.49533             1.49943             0.16654
28             1.50576             1.49966            0.163588
29             1.48717             1.49923            0.160651
30             1.51423             1.49973            0.158056
31             1.48994             1.49941             0.15542
32              1.4989             1.49939            0.152969
33             1.50691             1.49962             0.15068
34             1.48534              1.4992            0.148364
35             1.49877             1.49919            0.146227
36             1.49949              1.4992            0.144183
37             1.51158             1.49953            0.142285
38             1.50476             1.49967            0.140426
39             1.50018             1.49968            0.138617
40             1.51008             1.49994             0.13692
41              1.4866             1.49962            0.135182
42             1.47853             1.49912            0.133473
43             1.51093             1.49939             0.13196
44             1.48478             1.49906            0.130394
45             1.50271             1.49914            0.128951
46             1.48487             1.49883            0.127489
47              1.4933             1.49871            0.126106
48             1.49628             1.49866            0.124777
49             1.50733             1.49884            0.123526
50             1.49698              1.4988            0.122279
51             1.50674             1.49896            0.121099
52             1.50138               1.499            0.119936
53             1.50802             1.49917            0.118827
54             1.51179             1.49941            0.117758
55             1.48925             1.49922            0.116654
56             1.49576             1.49916            0.115598
57             1.50721              1.4993            0.114601
58             1.47642             1.49891            0.113549
59              1.4858             1.49869            0.112549
60             1.49451             1.49862            0.111597
61             1.49816             1.49861            0.110677
62             1.49809              1.4986             0.10978
63             1.53067             1.49911            0.108979
64             1.50656             1.49923            0.108141
65              1.5043              1.4993            0.107317
66             1.49589             1.49925            0.106494
67             1.49772             1.49923            0.105693
68             1.50668             1.49934            0.104928
69             1.49859             1.49933            0.104164
70             1.49083             1.49921              0.1034
71             1.49757             1.49918            0.102666
72             1.49403             1.49911            0.101941
73             1.49774             1.49909            0.101238
74             1.52086             1.49939            0.100591
75             1.49416             1.49932            0.099909
76             1.49508             1.49926           0.0992421
77             1.49594             1.49922           0.0985899
78             1.52992             1.49961           0.0980073
79             1.49252             1.49952           0.0973734
80             1.50155             1.49955           0.0967662
81             1.51331             1.49972           0.0961888
82              1.4903              1.4996           0.0955858
83             1.49483             1.49955            0.095001
84              1.5226             1.49982           0.0944684
85             1.49062             1.49971           0.0938975
86             1.51877             1.49993           0.0933776
87             1.48375             1.49975           0.0928163
88             1.48488             1.49958           0.0922667
89             1.48844             1.49945           0.0917315
90             1.51316             1.49961            0.091239
91             1.49541             1.49956           0.0907307
92             1.49951             1.49956           0.0902362
93             1.51074             1.49968           0.0897642
94             1.50431             1.49973           0.0892913
95             1.49421             1.49967           0.0888132
96             1.49603             1.49963            0.088345
97             1.51923             1.49983           0.0879121
98             1.50407             1.49988           0.0874675
99             1.50134             1.49989           0.0870263
100             1.50553             1.49995           0.0865966
