x,y,z,r
-1.85671,3.04405,6.00312,6.98219
-1.85671,3.04405,6.00312,6.98219
-2.08294,0.115305,6.0225,6.37358
-2.08294,0.115305,6.0225,6.37358
-2.08294,0.115305,6.0225,6.37358
0.466095,-0.891251,4.5474,4.6573
2.31129,-0.00944269,2.83037,3.6542
2.31129,-0.00944269,2.83037,3.6542
2.31129,-0.00944269,2.83037,3.6542
0.676233,0.179976,4.58196,4.63509
0.676233,0.179976,4.58196,4.63509
-1.86187,-1.66555,3.01748,3.91737
-0.300399,-1.35604,4.4528,4.66439
-0.300399,-1.35604,4.4528,4.66439
0.588481,-3.11601,2.85908,4.26968
0.588481,-3.11601,2.85908,4.26968
-1.25813,-4.18742,1.5054,4.62424
-1.25813,-4.18742,1.5054,4.62424
-1.25813,-4.18742,1.5054,4.62424
-1.25813,-4.18742,1.5054,4.62424
-0.846147,-5.15247,3.13496,6.09031
-0.846147,-5.15247,3.13496,6.09031
1.28788,-4.71029,4.7207,6.79194
-1.77058,-4.03008,1.76693,4.74326
-1.15281,-4.55468,1.06859,4.8183
-1.15281,-4.55468,1.06859,4.8183
-4.5642,-3.95158,6.12046,8.59691
-4.5642,-3.95158,6.12046,8.59691
-4.14881,-4.41492,6.44863,8.8481
-4.14881,-4.41492,6.44863,8.8481
-4.14881,-4.41492,6.44863,8.8481
-2.82046,-3.73702,6.88292,8.32436
-2.85691,-2.16473,6.17679,7.14148
-2.42683,-2.28606,4.58266,5.66713
-2.42683,-2.28606,4.58266,5.66713
-1.07592,-0.501044,4.85044,4.99354
-1.07592,-0.501044,4.85044,4.99354
-1.07592,-0.501044,4.85044,4.99354
-1.07592,-0.501044,4.85044,4.99354
-1.07592,-0.501044,4.85044,4.99354
-1.07592,-0.501044,4.85044,4.99354
-1.07592,-0.501044,4.85044,4.99354
-0.560952,2.92467,1.7379,3.448
-2.86089,0.826316,2.53885,3.91321
-2.86089,0.826316,2.53885,3.91321
-0.970748,-0.737726,3.9729,4.15579
-0.970748,-0.737726,3.9729,4.15579
-1.04223,2.07906,3.05257,3.83756
-0.679109,2.81323,2.4852,3.81467
-2.76718,2.85019,3.8395,5.52473
-1.36172,-0.232962,3.23638,3.51891
-1.36172,-0.232962,3.23638,3.51891
-0.10668,-0.116046,0.586992,0.607789
0.461734,1.27562,3.42371,3.68269
0.461734,1.27562,3.42371,3.68269
0.461734,1.27562,3.42371,3.68269
0.461734,1.27562,3.42371,3.68269
0.461734,1.27562,3.42371,3.68269
0.461734,1.27562,3.42371,3.68269
0.461734,1.27562,3.42371,3.68269
0.461734,1.27562,3.42371,3.68269
-0.680646,-0.0955483,3.62073,3.68539
-0.680646,-0.0955483,3.62073,3.68539
-0.680646,-0.0955483,3.62073,3.68539
-0.680646,-0.0955483,3.62073,3.68539
-0.680646,-0.0955483,3.62073,3.68539
-0.680646,-0.0955483,3.62073,3.68539
-0.420396,-0.714197,3.13349,3.24123
-0.420396,-0.714197,3.13349,3.24123
-0.420396,-0.714197,3.13349,3.24123
0.331503,2.14183,3.29893,3.94719
0.331503,2.14183,3.29893,3.94719
0.331503,2.14183,3.29893,3.94719
0.331503,2.14183,3.29893,3.94719
-0.423308,3.40738,5.15079,6.19032
0.841917,3.33773,4.68017,5.80976
0.841917,3.33773,4.68017,5.80976
0.841917,3.33773,4.68017,5.80976
0.77106,1.8042,5.05691,5.4242
2.91192,5.01423,5.72606,8.14921
2.91192,5.01423,5.72606,8.14921
0.632274,2.79024,4.81874,5.60406
0.632274,2.79024,4.81874,5.60406
2.42221,2.16467,3.00849,4.42763
2.42221,2.16467,3.00849,4.42763
-0.712659,2.17855,1.77557,2.89941
-0.712659,2.17855,1.77557,2.89941
0.975941,3.04842,-2.39807,3.9995
0.975941,3.04842,-2.39807,3.9995
0.975941,3.04842,-2.39807,3.9995
0.975941,3.04842,-2.39807,3.9995
-0.536149,3.42199,-2.25734,4.13437
-0.536149,3.42199,-2.25734,4.13437
-0.536149,3.42199,-2.25734,4.13437
-3.8799,3.20455,-2.66227,5.69302
-1.56997,1.76957,-2.13426,3.1861
-1.56997,1.76957,-2.13426,3.1861
-1.56997,1.76957,-2.13426,3.1861
-1.56997,1.76957,-2.13426,3.1861
-1.56997,1.76957,-2.13426,3.1861
0.570074,0.797995,-4.26993,4.3811
0.570074,0.797995,-4.26993,4.3811
0.570074,0.797995,-4.26993,4.3811
0.570074,0.797995,-4.26993,4.3811
0.570074,0.797995,-4.26993,4.3811
0.570074,0.797995,-4.26993,4.3811
0.225757,-1.78593,-4.01705,4.40196
0.225757,-1.78593,-4.01705,4.40196
0.225757,-1.78593,-4.01705,4.40196
-0.390089,0.50053,-4.24869,4.29582
-0.390089,0.50053,-4.24869,4.29582
-0.235752,2.77649,-5.08865,5.80162
-0.235752,2.77649,-5.08865,5.80162
-0.103028,2.42598,-6.27622,6.72956
-0.103028,2.42598,-6.27622,6.72956
1.35348,2.38549,-6.20542,6.78452
0.772863,4.6835,-6.08605,7.71832
0.772863,4.6835,-6.08605,7.71832
-0.628566,6.33741,-5.67932,8.53303
-0.0964945,7.12018,-7.43983,10.2984
-1.54142,4.60452,-4.58179,6.67611
0.339953,1.85069,-5.41152,5.72932
-0.208754,2.58755,-3.39621,4.27472
-0.208754,2.58755,-3.39621,4.27472
-0.208754,2.58755,-3.39621,4.27472
-0.208754,2.58755,-3.39621,4.27472
0.101738,0.780103,0.948351,1.23219
0.101738,0.780103,0.948351,1.23219
0.856898,-1.46229,2.69835,3.18648
0.00563003,0.166112,0.801572,0.818622
0.158134,0.448146,1.40771,1.48576
0.158134,0.448146,1.40771,1.48576
0.167808,1.53988,3.02321,3.39694
0.352379,2.36835,2.90659,3.76584
0.352379,2.36835,2.90659,3.76584
1.82613,1.48003,4.51409,5.08942
1.82613,1.48003,4.51409,5.08942
1.82613,1.48003,4.51409,5.08942
1.21797,1.83393,4.09003,4.6449
1.47502,-0.349533,0.984294,1.8074
3.79421,-2.25389,2.65651,5.15102
3.79421,-2.25389,2.65651,5.15102
2.83543,-2.01217,6.34363,7.23396
1.86664,-3.47831,7.53783,8.50893
1.3327,-2.33546,5.95157,6.53082
1.3327,-2.33546,5.95157,6.53082
-0.271326,-1.83174,1.78611,2.57276
-0.271326,-1.83174,1.78611,2.57276
0.455231,-1.59914,1.48612,2.23003
-0.148576,0.777229,0.494128,0.93291
3.65127,0.0893144,-1.10359,3.81545
3.65127,0.0893144,-1.10359,3.81545
3.65127,0.0893144,-1.10359,3.81545
3.65992,-1.76117,-2.87567,4.97657
3.65992,-1.76117,-2.87567,4.97657
3.65992,-1.76117,-2.87567,4.97657
3.65992,-1.76117,-2.87567,4.97657
1.68569,-0.47763,-1.03132,2.03305
-1.46254,-1.04828,-2.90207,3.41467
-1.46254,-1.04828,-2.90207,3.41467
