x,y,z,r
1.90606,0.832181,0.155401,2.0856
1.90606,0.832181,0.155401,2.0856
1.37977,2.22592,0.144012,2.62283
1.04525,2.46636,-1.49625,3.06826
1.04525,2.46636,-1.49625,3.06826
2.07498,1.76764,-0.223127,2.73494
2.07498,1.76764,-0.223127,2.73494
2.07498,1.76764,-0.223127,2.73494
2.07498,1.76764,-0.223127,2.73494
1.96942,1.9379,-1.02157,2.94579
1.96942,1.9379,-1.02157,2.94579
0.909856,2.09905,-1.89951,2.97355
0.909856,2.09905,-1.89951,2.97355
1.0293,0.923425,-2.24497,2.63668
-0.0173963,1.13112,-1.93015,2.23724
-0.0173963,1.13112,-1.93015,2.23724
0.522938,1.43992,-2.22835,2.70414
0.866722,1.39762,-2.23476,2.77465
1.49466,2.32786,-1.63601,3.21395
1.49466,2.32786,-1.63601,3.21395
-0.300665,2.23807,-0.304618,2.27863
-0.300665,2.23807,-0.304618,2.27863
-0.279829,1.95071,-0.649015,2.0748
-1.08289,1.1581,-1.15524,1.96174
-1.64988,0.564586,-0.875164,1.9511
-1.64988,0.564586,-0.875164,1.9511
-0.635432,0.997723,-1.26436,1.73143
-0.473939,1.31109,0.260951,1.41834
-0.473939,1.31109,0.260951,1.41834
-0.503603,0.252561,-0.875725,1.0413
0.64794,-0.670249,-0.214624,0.956621
0.64794,-0.670249,-0.214624,0.956621
0.64794,-0.670249,-0.214624,0.956621
0.64794,-0.670249,-0.214624,0.956621
1.22547,-0.65846,0.340118,1.43214
1.22547,-0.65846,0.340118,1.43214
1.22547,-0.65846,0.340118,1.43214
-0.117009,-0.192606,0.0466761,0.230145
-0.117009,-0.192606,0.0466761,0.230145
0.226328,-0.630798,0.601523,0.900534
0.226328,-0.630798,0.601523,0.900534
-0.189313,0.0144787,1.52469,1.53647
-0.189313,0.0144787,1.52469,1.53647
-0.911967,0.155451,0.728034,1.17724
-0.579585,0.883771,-0.0621287,1.05869
-0.918672,-0.490498,0.269439,1.07571
-0.918672,-0.490498,0.269439,1.07571
-0.918672,-0.490498,0.269439,1.07571
-0.218416,-0.499489,0.262185,0.604926
-0.115159,-0.893707,0.129715,0.910384
-0.115159,-0.893707,0.129715,0.910384
-0.115159,-0.893707,0.129715,0.910384
-0.115159,-0.893707,0.129715,0.910384
-0.115159,-0.893707,0.129715,0.910384
-0.115159,-0.893707,0.129715,0.910384
-0.115159,-0.893707,0.129715,0.910384
-0.115159,-0.893707,0.129715,0.910384
-0.545502,-0.62065,-0.191809,0.848275
-0.727309,-0.813972,-0.0744693,1.09411
-0.0634823,-1.49088,-0.709888,1.65248
-0.0634823,-1.49088,-0.709888,1.65248
-0.0634823,-1.49088,-0.709888,1.65248
1.00131,-1.27186,-0.839874,1.82363
0.953858,-0.679184,0.86285,1.45453
0.953858,-0.679184,0.86285,1.45453
0.953858,-0.679184,0.86285,1.45453
0.953858,-0.679184,0.86285,1.45453
0.820423,-0.403526,-0.148749,0.926312
0.392799,-1.67591,-0.356051,1.75777
0.0885764,-1.53117,0.302772,1.56333
0.38214,-1.41447,-0.40826,1.521
-0.286313,-0.0377776,0.371575,0.470606
0.165082,-0.517873,0.572247,0.789247
-0.0295711,-0.69674,0.911504,1.14768
-0.0295711,-0.69674,0.911504,1.14768
-0.0295711,-0.69674,0.911504,1.14768
-0.476715,-1.13964,0.675015,1.40772
-0.476715,-1.13964,0.675015,1.40772
-0.877704,-1.02936,-0.36985,1.4024
-0.877704,-1.02936,-0.36985,1.4024
-0.877704,-1.02936,-0.36985,1.4024
-0.877704,-1.02936,-0.36985,1.4024
-0.877704,-1.02936,-0.36985,1.4024
-0.877704,-1.02936,-0.36985,1.4024
-0.877704,-1.02936,-0.36985,1.4024
-0.703217,-1.08005,-1.21533,1.77145
-0.544516,-1.08953,-0.849518,1.48501
-0.544516,-1.08953,-0.849518,1.48501
0.329382,-0.627677,-0.2149,0.740711
0.209414,-0.328059,0.33845,0.515777
0.209414,-0.328059,0.33845,0.515777
0.209414,-0.328059,0.33845,0.515777
0.209414,-0.328059,0.33845,0.515777
0.209414,-0.328059,0.33845,0.515777
-0.611693,-0.261911,0.348467,0.75113
-0.263299,-0.129617,0.569488,0.640659
-0.263299,-0.129617,0.569488,0.640659
0.952154,-0.0263142,0.0128457,0.952605
0.0544178,-1.11671,0.244806,1.14452
-0.288563,-1.11284,0.0969593,1.15373
-0.288563,-1.11284,0.0969593,1.15373
-0.66587,-0.425715,-0.0938554,0.79588
-0.66587,-0.425715,-0.0938554,0.79588
0.38637,0.212185,0.330875,0.551165
0.38637,0.212185,0.330875,0.551165
0.900903,1.57779,0.0311861,1.81715
0.900903,1.57779,0.0311861,1.81715
-0.47815,1.46249,-0.195375,1.55103
-0.47815,1.46249,-0.195375,1.55103
-0.140242,0.315908,0.183121,0.391151
-0.14712,-0.314032,0.468963,0.583255
-0.14712,-0.314032,0.468963,0.583255
0.0126154,1.10524,-0.069415,1.10749
0.0126154,1.10524,-0.069415,1.10749
0.0126154,1.10524,-0.069415,1.10749
0.0126154,1.10524,-0.069415,1.10749
0.0126154,1.10524,-0.069415,1.10749
0.0126154,1.10524,-0.069415,1.10749
0.405466,0.163325,-0.817291,0.926845
0.358606,-0.601229,-1.32171,1.49565
0.358606,-0.601229,-1.32171,1.49565
0.100419,0.611239,-0.776154,0.993032
0.100419,0.611239,-0.776154,0.993032
0.100419,0.611239,-0.776154,0.993032
0.100419,0.611239,-0.776154,0.993032
0.194718,-0.320187,0.23885,0.444392
0.194718,-0.320187,0.23885,0.444392
0.194718,-0.320187,0.23885,0.444392
0.194718,-0.320187,0.23885,0.444392
0.194718,-0.320187,0.23885,0.444392
0.194718,-0.320187,0.23885,0.444392
-0.179651,-0.724202,-0.0607664,0.748623
-0.179651,-0.724202,-0.0607664,0.748623
-0.179651,-0.724202,-0.0607664,0.748623
0.251791,0.369078,-0.354498,0.570339
0.251791,0.369078,-0.354498,0.570339
0.00562895,0.31318,-0.393656,0.50307
0.00562895,0.31318,-0.393656,0.50307
0.00562895,0.31318,-0.393656,0.50307
0.154753,0.109716,0.864692,0.885256
0.154753,0.109716,0.864692,0.885256
-0.261156,1.13412,-0.0738918,1.16614
-0.353599,-0.107911,-0.394618,0.540741
-0.353599,-0.107911,-0.394618,0.540741
0.34927,0.395247,-0.68011,0.860674
-1.00437,0.524546,-0.374248,1.19331
-1.00437,0.524546,-0.374248,1.19331
-1.00437,0.524546,-0.374248,1.19331
-1.27004,0.819423,0.0597008,1.51262
-1.27004,0.819423,0.0597008,1.51262
-1.07029,0.353398,-0.598856,1.27634
-1.07029,0.353398,-0.598856,1.27634
-0.227171,0.976719,-1.10403,1.49147
-0.227171,0.976719,-1.10403,1.49147
-0.227171,0.976719,-1.10403,1.49147
0.395455,1.85732,-0.756579,2.04412
0.395455,1.85732,-0.756579,2.04412
0.395455,1.85732,-0.756579,2.04412
0.395455,1.85732,-0.756579,2.04412
0.193023,1.63049,0.326812,1.67408
0.14667,0.914704,0.675852,1.14672
0.14667,0.914704,0.675852,1.14672
0.14667,0.914704,0.675852,1.14672
-0.429368,-0.393016,-0.24409,0.631188
-0.429368,-0.393016,-0.24409,0.631188
-0.429368,-0.393016,-0.24409,0.631188
-0.429368,-0.393016,-0.24409,0.631188
-0.429368,-0.393016,-0.24409,0.631188
-0.0748929,-0.832997,-0.64332,1.05516
-0.0748929,-0.832997,-0.64332,1.05516
-0.0748929,-0.832997,-0.64332,1.05516
-0.0748929,-0.832997,-0.64332,1.05516
0.0386404,-0.546084,-0.133967,0.563602
0.0386404,-0.546084,-0.133967,0.563602
0.0386404,-0.546084,-0.133967,0.563602
0.402567,-0.423345,-0.302838,0.658021
0.402567,-0.423345,-0.302838,0.658021
0.402567,-0.423345,-0.302838,0.658021
0.402567,-0.423345,-0.302838,0.658021
0.402567,-0.423345,-0.302838,0.658021
0.402567,-0.423345,-0.302838,0.658021
0.402567,-0.423345,-0.302838,0.658021
-0.154678,-1.25623,0.197504,1.28103
-0.154678,-1.25623,0.197504,1.28103
-0.154678,-1.25623,0.197504,1.28103
0.856576,-1.19686,-0.592414,1.58655
-0.141439,-0.702761,-0.759231,1.04418
-0.141439,-0.702761,-0.759231,1.04418
-0.141439,-0.702761,-0.759231,1.04418
-0.141439,-0.702761,-0.759231,1.04418
-0.141439,-0.702761,-0.759231,1.04418
-0.00484382,0.620706,0.539135,0.822172
0.353041,0.255086,-0.131619,0.455006
0.353041,0.255086,-0.131619,0.455006
0.353041,0.255086,-0.131619,0.455006
0.353041,0.255086,-0.131619,0.455006
0.353041,0.255086,-0.131619,0.455006
0.239181,0.725937,0.751608,1.07196
0.239181,0.725937,0.751608,1.07196
1.32396,0.447687,-0.411584,1.45695
1.32396,0.447687,-0.411584,1.45695
1.69751,0.0994927,0.121238,1.70474
1.47546,0.431162,1.05323,1.86337
0.646184,0.872613,1.56779,1.90709
0.646184,0.872613,1.56779,1.90709
0.646184,0.872613,1.56779,1.90709
0.0574213,1.65429,-0.0330585,1.65562
-0.192574,1.4773,-0.212553,1.50488
