#   N_BLOCK:  ACCEPTANCE:
          99   0.0137257
          99   0.0144901
          99   0.0158634
          99   0.0172679
          99   0.0187178
          99   0.0202057
          99   0.0218472
          99   0.0235054
          99   0.0252095
          99   0.0269914
          99   0.0288681
          99   0.0307684
          99   0.0327505
          99   0.0347342
          99   0.0367474
          99   0.0388191
          99   0.0409542
          99   0.0430586
          99   0.0452475
          99   0.0474508
          99   0.0496478
          99   0.0518632
          99   0.0541176
          99   0.0563668
          99   0.0586309
          99   0.0608631
          99   0.0631339
          99   0.0653981
          99   0.0676821
          99   0.0699799
          99   0.0722774
          99   0.0745791
          99   0.0768778
          99   0.0791777
          99   0.0814867
          99   0.0838055
          99   0.0860938
          99   0.0883927
          99   0.0907059
          99   0.0930051
          99   0.0953031
          99    0.097593
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99     181.374
          99     15.5653
          99     8.30126
          99     5.73743
          99     4.42774
          99     3.63306
          99     3.09977
          99     2.71734
          99     2.42984
          99     2.20588
          99      2.0266
          99     1.87996
          99      1.7578
          99     1.65455
          99     1.56617
          99     1.48969
          99     1.42292
          99     1.36412
          99     1.31197
          99     1.26545
          99      1.2237
          99     1.18603
          99     1.15191
          99     1.12087
          99     1.09253
          99     1.06653
          99     1.04264
          99     1.02061
          99     1.00025
          99    0.981378
          99    0.963842
          99     0.94753
          99    0.932316
          99     0.91809
          99    0.904776
          99    0.892295
          99    0.880566
          99    0.869543
          99     0.85916
          99    0.849369
          99    0.840131
          99    0.831396
          99    0.823139
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
          99           0
