#     TEMP:     M_AVE:       ERROR:
         0.5    0.894727  0.00753192
        0.51    0.878507   0.0086914
        0.52    0.862433  0.00658599
        0.53    0.836733  0.00782245
        0.54    0.815544  0.00857599
        0.55    0.795449    0.007873
        0.56    0.762761  0.00819082
        0.57    0.742092  0.00864151
        0.58    0.727403   0.0072776
        0.59    0.695874  0.00825994
         0.6    0.670035  0.00762496
        0.61    0.648433  0.00777872
        0.62    0.619252    0.006656
        0.63    0.599118  0.00720104
        0.64    0.578077  0.00730482
        0.65    0.555959  0.00660129
        0.66     0.51543   0.0061264
        0.67    0.500535   0.0070253
        0.68    0.474667  0.00638347
        0.69    0.460511  0.00607938
         0.7    0.446827  0.00532653
        0.71    0.421979   0.0059673
        0.72    0.400526  0.00567872
        0.73    0.387893  0.00555448
        0.74    0.376799  0.00507733
        0.75    0.368263  0.00491664
        0.76    0.338404  0.00478766
        0.77    0.334457   0.0044926
        0.78    0.316097  0.00426244
        0.79    0.301174  0.00410602
         0.8    0.292404  0.00391903
        0.81    0.275967  0.00391296
        0.82    0.267539  0.00365976
        0.83    0.264154  0.00366278
        0.84    0.244536  0.00372069
        0.85    0.236844  0.00363147
        0.86    0.239261  0.00360671
        0.87    0.228694  0.00332651
        0.88    0.214582  0.00320521
        0.89     0.20728  0.00306564
         0.9    0.199879   0.0027718
        0.91    0.190783  0.00254763
        0.92    0.191344    0.002598
        0.93     0.18091  0.00252598
        0.94      0.1805  0.00265225
        0.95    0.167771  0.00244248
        0.96     0.16612  0.00220422
        0.97    0.164601   0.0021816
        0.98    0.155573  0.00225083
        0.99    0.150881  0.00211379
           1    0.141337  0.00218247
        1.01    0.140728  0.00232419
        1.02     0.13832  0.00232391
        1.03    0.136766  0.00182578
        1.04    0.127793  0.00188979
        1.05    0.129253  0.00201532
        1.06      0.1244  0.00182112
        1.07    0.120646  0.00168835
        1.08    0.114808  0.00187233
        1.09     0.11521  0.00166265
         1.1    0.110215  0.00154397
        1.11    0.106987  0.00180173
        1.12    0.106133  0.00172478
        1.13    0.104859  0.00134589
        1.14   0.0998186  0.00168632
        1.15   0.0976267   0.0015267
        1.16   0.0958086  0.00152261
        1.17   0.0925328  0.00138039
        1.18    0.091226  0.00152619
        1.19   0.0882046   0.0015199
         1.2   0.0870732  0.00150904
        1.21   0.0828467   0.0014669
        1.22   0.0858006  0.00128027
        1.23   0.0804739  0.00135382
        1.24   0.0812107  0.00125963
        1.25   0.0786292  0.00117963
        1.26   0.0791521   0.0011125
        1.27   0.0770908  0.00118097
        1.28   0.0735336  0.00116706
        1.29   0.0729093  0.00120289
         1.3   0.0719997  0.00111538
        1.31   0.0707496  0.00126917
        1.32   0.0690228  0.00109159
        1.33   0.0652693  0.00101732
        1.34   0.0666716  0.00102189
        1.35   0.0656966  0.00110188
        1.36   0.0631416 0.000938729
        1.37   0.0631365 0.000840385
        1.38   0.0621323 0.000923592
        1.39   0.0598709  0.00105052
         1.4   0.0600917  0.00095482
        1.41   0.0573539 0.000907707
        1.42   0.0586105 0.000948644
        1.43    0.057232 0.000884751
        1.44   0.0561953 0.000946495
        1.45   0.0560053 0.000868891
        1.46   0.0544775 0.000924493
        1.47   0.0528856 0.000871802
        1.48   0.0518555 0.000939401
        1.49   0.0534437 0.000850315
         1.5   0.0501665 0.000817731
        1.51   0.0490822 0.000904258
        1.52   0.0490797 0.000840101
        1.53   0.0474669 0.000724701
        1.54   0.0475611 0.000827174
        1.55   0.0473727 0.000773927
        1.56   0.0464147 0.000826216
        1.57   0.0469909 0.000718171
        1.58   0.0440063  0.00072091
        1.59    0.042689 0.000653375
         1.6   0.0429428 0.000758936
        1.61   0.0436703 0.000720664
        1.62   0.0414645 0.000692219
        1.63   0.0419781 0.000708932
        1.64   0.0412856 0.000749029
        1.65    0.041339 0.000818038
        1.66   0.0407414 0.000687188
        1.67   0.0394742 0.000736479
        1.68    0.039734 0.000686149
        1.69   0.0394829 0.000613259
         1.7      0.0369 0.000662039
        1.71   0.0377931 0.000538989
        1.72   0.0370995 0.000688405
        1.73   0.0362715 0.000740745
        1.74   0.0362981 0.000650721
        1.75   0.0364111 0.000676068
        1.76   0.0353067 0.000662986
        1.77   0.0352891 0.000622046
        1.78   0.0351697 0.000590569
        1.79   0.0336078 0.000687235
         1.8   0.0332994 0.000584461
        1.81   0.0332287 0.000607828
        1.82   0.0332591 0.000544347
        1.83   0.0333777 0.000605848
        1.84   0.0321933 0.000637151
        1.85   0.0315798 0.000533989
        1.86   0.0311304 0.000621522
        1.87   0.0314608 0.000576111
        1.88   0.0303041  0.00059278
        1.89   0.0295438 0.000576011
         1.9   0.0300452 0.000586259
        1.91   0.0311938 0.000579126
        1.92   0.0295993 0.000569582
        1.93   0.0298301 0.000598913
        1.94   0.0295895 0.000642825
        1.95   0.0280861 0.000527686
        1.96   0.0287201 0.000493721
        1.97   0.0279566   0.0005203
        1.98   0.0280733 0.000636943
        1.99   0.0270991 0.000508497
           2   0.0268583 0.000504108
