#     TEMP:     M_AVE:       ERROR:
         0.5    0.892511   0.0102532
         0.6    0.649938   0.0120094
         0.7    0.452351  0.00815531
         0.8    0.291766   0.0056953
         0.9    0.205029   0.0039512
           1    0.150516  0.00264183
         1.1    0.110564  0.00224433
         1.2   0.0882573  0.00175652
         1.3   0.0708932  0.00129987
         1.4   0.0574383  0.00124934
         1.5   0.0508283  0.00104251
         1.6   0.0418919 0.000943133
         1.7   0.0378337 0.000831102
         1.8   0.0337387 0.000790723
         1.9   0.0297589 0.000686196
           2   0.0269632 0.000645483
