#     TEMP:   CV_AVE:      ERROR:
         0.5    0.197582  0.00361939
         0.6    0.333718  0.00255744
         0.7    0.409243  0.00123512
         0.8    0.429282 0.000739793
         0.9    0.427785 0.000492569
           1     0.41146 0.000355598
         1.1    0.389182 0.000278021
         1.2    0.364012 0.000186512
         1.3    0.337854 0.000163281
         1.4    0.311817  0.00011754
         1.5    0.287704  8.6791e-05
         1.6    0.264954 8.77188e-05
         1.7     0.24427 6.55362e-05
         1.8    0.225457 4.76818e-05
         1.9    0.208204 4.46902e-05
           2    0.192677 4.05702e-05
