#     TEMP:   CV_AVE:      ERROR:
         0.5   -0.363054  0.00563416
         0.6   0.0341416  0.00372035
         0.7    0.231583  0.00183201
         0.8    0.324105  0.00103982
         0.9    0.361636 0.000610072
           1    0.368623 0.000449569
         1.1    0.361704 0.000285618
         1.2    0.345277 0.000222851
         1.3    0.325233 0.000196928
         1.4     0.30379 0.000145956
         1.5    0.282284 0.000112525
         1.6    0.261713 8.66275e-05
         1.7    0.242498 7.36181e-05
         1.8    0.224466 6.40762e-05
         1.9    0.208044 4.48072e-05
           2    0.192969 3.68792e-05
