#     TEMP:   X_AVE:       ERROR:
         0.5     39.5428    0.227753
        0.51     38.5941    0.236342
        0.52     36.8169    0.236227
        0.53     35.7893    0.260119
        0.54     34.4636    0.268443
        0.55     33.2424    0.234999
        0.56     31.0734    0.238626
        0.57     30.1735    0.230077
        0.58     29.0677    0.255918
        0.59     27.7168    0.239172
         0.6     26.3862    0.239173
        0.61     25.1663    0.215702
        0.62     24.2442    0.213557
        0.63     23.0692    0.182226
        0.64      22.262    0.199684
        0.65     21.4186    0.159283
        0.66     20.1343    0.149514
        0.67     19.1429    0.177118
        0.68     18.6135    0.145874
        0.69     17.9828    0.138876
         0.7       17.41     0.13693
        0.71     16.5338    0.125195
        0.72     15.8957    0.136629
        0.73     15.5606    0.114184
        0.74     14.9238    0.106652
        0.75      14.477    0.106549
        0.76      13.781    0.105609
        0.77     13.3216    0.100121
        0.78     12.7826   0.0894184
        0.79     12.5558   0.0824535
         0.8     12.0383   0.0877144
        0.81     11.6594   0.0766573
        0.82     11.5535   0.0828705
        0.83     11.1918    0.078129
        0.84     10.9257   0.0808167
        0.85     10.4947   0.0668134
        0.86     10.1991   0.0557338
        0.87     10.0103   0.0564182
        0.88     9.64925   0.0589686
        0.89     9.48288   0.0514104
         0.9     9.26265   0.0547265
        0.91     9.03356   0.0519136
        0.92     8.79234   0.0523675
        0.93     8.70025   0.0509271
        0.94     8.45101   0.0415987
        0.95     8.23147    0.045145
        0.96     7.98919   0.0435963
        0.97     7.82519   0.0412377
        0.98     7.71016   0.0379064
        0.99      7.4864   0.0351061
           1     7.43502   0.0372985
        1.01     7.24728   0.0337685
        1.02     7.07711   0.0340532
        1.03     6.96674   0.0315158
        1.04      6.8575   0.0286505
        1.05     6.69547   0.0283447
        1.06      6.5652    0.030404
        1.07      6.4731   0.0247708
        1.08     6.39018   0.0272139
        1.09     6.30575   0.0275327
         1.1     6.15846   0.0244647
        1.11     6.08836   0.0275144
        1.12     5.99416   0.0278263
        1.13     5.91065   0.0242683
        1.14     5.76976   0.0230523
        1.15     5.69408   0.0200586
        1.16     5.58928   0.0214826
        1.17     5.49892   0.0234837
        1.18     5.49608   0.0199378
        1.19     5.35489   0.0215686
         1.2     5.31191   0.0216965
        1.21     5.23926   0.0211877
        1.22     5.13353   0.0161424
        1.23     5.10673   0.0180398
        1.24     4.96726   0.0196905
        1.25      4.9499   0.0178577
        1.26      4.9243   0.0146865
        1.27     4.82087   0.0179487
        1.28      4.7559   0.0184164
        1.29     4.71342   0.0156227
         1.3     4.65565   0.0197477
        1.31     4.61072   0.0143107
        1.32     4.56529   0.0153303
        1.33     4.50719   0.0124433
        1.34     4.44955   0.0134089
        1.35      4.3791   0.0140115
        1.36     4.32583   0.0149351
        1.37     4.28369   0.0159137
        1.38     4.27172   0.0138302
        1.39     4.19492   0.0139947
         1.4     4.16406   0.0135023
        1.41     4.14915   0.0122493
        1.42     4.08043   0.0137152
        1.43     4.04469    0.011497
        1.44     4.03359   0.0117431
        1.45      3.9632   0.0130334
        1.46      3.9338   0.0105277
        1.47     3.91267   0.0109896
        1.48     3.87474   0.0112022
        1.49     3.82235   0.0112771
         1.5     3.79415   0.0116131
        1.51     3.75356  0.00972163
        1.52     3.73932   0.0110864
        1.53     3.71042   0.0107149
        1.54     3.66334   0.0100453
        1.55     3.62524   0.0100607
        1.56     3.61491  0.00932296
        1.57     3.57296  0.00886743
        1.58     3.52765   0.0103505
        1.59      3.5123  0.00867993
         1.6     3.48696  0.00924876
        1.61     3.45601   0.0091341
        1.62     3.43892  0.00868957
        1.63     3.41934   0.0079889
        1.64     3.37744  0.00864401
        1.65     3.36248  0.00896766
        1.66      3.3319   0.0088346
        1.67     3.31127  0.00862546
        1.68     3.28901  0.00860813
        1.69     3.26952  0.00783563
         1.7     3.25333   0.0072875
        1.71     3.21973  0.00868956
        1.72     3.19034  0.00788352
        1.73     3.19361   0.0078518
        1.74     3.15573  0.00743518
        1.75     3.12441  0.00887563
        1.76     3.12494  0.00794182
        1.77     3.09303  0.00711538
        1.78     3.05852  0.00668793
        1.79     3.04981  0.00739949
         1.8     3.03147  0.00664595
        1.81     3.02223  0.00723093
        1.82     2.99715  0.00750975
        1.83     2.98437  0.00690078
        1.84     2.96046   0.0074789
        1.85     2.92519   0.0068834
        1.86     2.94386  0.00596586
        1.87     2.90995  0.00686207
        1.88     2.89981  0.00638186
        1.89     2.87553   0.0066064
         1.9     2.85943  0.00731501
        1.91     2.85302  0.00642665
        1.92     2.82137  0.00634263
        1.93      2.8151  0.00566266
        1.94     2.79357  0.00561961
        1.95     2.77974  0.00543679
        1.96     2.75666   0.0064476
        1.97     2.75447  0.00599365
        1.98     2.75226  0.00592312
        1.99     2.73071  0.00602503
           2     2.72402  0.00585423
