#     TEMP:   X_AVE:       ERROR:
         0.5     39.0798    0.342748
         0.6     26.7685    0.308954
         0.7     17.7102    0.194062
         0.8     12.2369   0.0987339
         0.9     9.20758   0.0679628
           1     7.39289   0.0467486
         1.1     6.11364    0.028115
         1.2     5.27947   0.0263409
         1.3     4.63401   0.0192864
         1.4     4.17075   0.0154725
         1.5      3.7966   0.0127065
         1.6     3.48422   0.0122432
         1.7      3.2346    0.010376
         1.8     3.04025  0.00977888
         1.9     2.87014  0.00850215
           2     2.69982  0.00713586
