#     TEMP:     TE_AVE:       ERROR:
         0.5   -0.974144 0.000474325
         0.6    -0.93638 0.000492744
         0.7   -0.891762 0.000337351
         0.8   -0.848314 0.000278334
         0.9   -0.804019 0.000248461
           1   -0.761686 0.000231789
         1.1   -0.720727 0.000233075
         1.2   -0.682002  0.00019908
         1.3   -0.646038 0.000215571
         1.4   -0.613498 0.000186806
         1.5   -0.582649 0.000168318
         1.6   -0.554911  0.00019956
         1.7   -0.528804 0.000178332
         1.8   -0.504569  0.00015349
         1.9   -0.482721 0.000166213
           2   -0.462123 0.000173033
