#     TEMP:     TE_AVE:       ERROR:
         0.5    -1.00323 0.000584559
         0.6   -0.963441 0.000875545
         0.7   -0.913863 0.000711773
         0.8   -0.861407 0.000486706
         0.9   -0.812963 0.000385476
           1   -0.768026 0.000329616
         1.1   -0.724934 0.000249519
         1.2    -0.68557 0.000219109
         1.3   -0.649053 0.000242722
         1.4   -0.615363  0.00021452
         1.5   -0.584528  0.00020461
         1.6   -0.556132 0.000197792
         1.7   -0.529752 0.000182539
         1.8   -0.505962 0.000187964
         1.9   -0.483426 0.000158514
           2   -0.462991 0.000158054
