#      BLOCK:    DISTANCE:    ACTUAL_GOFR:   AVE_GOFR:    ERROR:
           1           0           0           0           0
           1    0.064633           0           0           0
           1    0.129266           0           0           0
           1    0.193899           0           0           0
           1    0.258532           0           0           0
           1    0.323165           0           0           0
           1    0.387798           0           0           0
           1    0.452431           0           0           0
           1    0.517064           0           0           0
           1    0.581697           0           0           0
           1     0.64633           0           0           0
           1    0.710963           0           0           0
           1    0.775596           0           0           0
           1     0.84023           0           0           0
           1    0.904863    0.160366    0.160366           0
           1    0.969496    0.930659    0.930659           0
           1     1.03413     1.37044     1.37044           0
           1     1.09876     1.99089     1.99089           0
           1     1.16339     1.81724     1.81724           0
           1     1.22803     1.98726     1.98726           0
           1     1.29266     1.66596     1.66596           0
           1     1.35729     1.27474     1.27474           0
           1     1.42193     1.07277     1.07277           0
           1     1.48656     1.17276     1.17276           0
           1     1.55119     1.32174     1.32174           0
           1     1.61583      1.0427      1.0427           0
           1     1.68046     1.06683     1.06683           0
           1     1.74509     1.03454     1.03454           0
           1     1.80973    0.853301    0.853301           0
           1     1.87436     1.03424     1.03424           0
           1     1.93899     1.14354     1.14354           0
           1     2.00362     1.25943     1.25943           0
           1     2.06826     1.15615     1.15615           0
           1     2.13289     1.04235     1.04235           0
           1     2.19752     0.99225     0.99225           0
           1     2.26216     1.04792     1.04792           0
           1     2.32679     1.07822     1.07822           0
           1     2.39142     1.21049     1.21049           0
           1     2.45606     1.16831     1.16831           0
           1     2.52069     1.09521     1.09521           0
           1     2.58532     1.01611     1.01611           0
           1     2.64995    0.928883    0.928883           0
           1     2.71459    0.883934    0.883934           0
           1     2.77922    0.857146    0.857146           0
           1     2.84385     1.02979     1.02979           0
           1     2.90849    0.944317    0.944317           0
           1     2.97312      0.9261      0.9261           0
           1     3.03775    0.761296    0.761296           0
           1     3.10239     0.94601     0.94601           0
           1     3.16702    0.832219    0.832219           0
           1     3.23165    0.905223    0.905223           0
           1     3.29629    0.999065    0.999065           0
           1     3.36092     1.05574     1.05574           0
           1     3.42555     1.00341     1.00341           0
           1     3.49018    0.998681    0.998681           0
           1     3.55482    0.928466    0.928466           0
           1     3.61945     0.84908     0.84908           0
           1     3.68408    0.958931    0.958931           0
           1     3.74872    0.902155    0.902155           0
           1     3.81335    0.917257    0.917257           0
           1     3.87798    0.929026    0.929026           0
           1     3.94262    0.814124    0.814124           0
           1     4.00725    0.930881    0.930881           0
           1     4.07188    0.919552    0.919552           0
           1     4.13651    0.994612    0.994612           0
           1     4.20115    0.857944    0.857944           0
           1     4.26578     0.99278     0.99278           0
           1     4.33041    0.945447    0.945447           0
           1     4.39505    0.917137    0.917137           0
           1     4.45968      1.0456      1.0456           0
           1     4.52431     1.02862     1.02862           0
           1     4.58895    0.947185    0.947185           0
           1     4.65358    0.938121    0.938121           0
           1     4.71821    0.971264    0.971264           0
           1     4.78285     1.00545     1.00545           0
           1     4.84748     1.02631     1.02631           0
           1     4.91211     1.14037     1.14037           0
           1     4.97674     1.12174     1.12174           0
           1     5.04138     1.09981     1.09981           0
           1     5.10601     0.96413     0.96413           0
           1     5.17064     0.96689     0.96689           0
           1     5.23528    0.970277    0.970277           0
           1     5.29991     1.01649     1.01649           0
           1     5.36454     1.01496     1.01496           0
           1     5.42918     1.06652     1.06652           0
           1     5.49381     1.08725     1.08725           0
           1     5.55844     1.08382     1.08382           0
           1     5.62307    0.996353    0.996353           0
           1     5.68771      0.9617      0.9617           0
           1     5.75234    0.975938    0.975938           0
           1     5.81697    0.990368    0.990368           0
           1     5.88161     1.05751     1.05751           0
           1     5.94624    0.968557    0.968557           0
           1     6.01087    0.983799    0.983799           0
           1     6.07551     1.00027     1.00027           0
           1     6.14014     1.01815     1.01815           0
           1     6.20477    0.969227    0.969227           0
           1      6.2694    0.901759    0.901759           0
           1     6.33404    0.926206    0.926206           0
           1     6.39867    0.964058    0.964058           0
           2           0           0           0           0
           2    0.064633           0           0           0
           2    0.129266           0           0           0
           2    0.193899           0           0           0
           2    0.258532           0           0           0
           2    0.323165           0           0           0
           2    0.387798           0           0           0
           2    0.452431           0           0           0
           2    0.517064           0           0           0
           2    0.581697           0           0           0
           2     0.64633           0           0           0
           2    0.710963           0           0           0
           2    0.775596           0           0           0
           2     0.84023           0           0           0
           2    0.904863    0.101721    0.131044   0.0207342
           2    0.969496     1.22634      1.0785    0.104541
           2     1.03413     1.62417     1.49731   0.0897058
           2     1.09876     1.52159     1.75624    0.165924
           2     1.16339     1.59977      1.7085    0.076887
           2     1.22803     1.36904     1.67815    0.218574
           2     1.29266     1.88697     1.77646   0.0781364
           2     1.35729     1.49975     1.38724   0.0795528
           2     1.42193     1.53435     1.30356    0.163192
           2     1.48656      1.3034     1.23808   0.0461868
           2     1.55119      1.1439     1.23282    0.062873
           2     1.61583    0.947693    0.995195   0.0335891
           2     1.68046    0.851104    0.958969   0.0762718
           2     1.74509    0.777781    0.906161   0.0907779
           2     1.80973    0.791352    0.822326    0.021902
           2     1.87436     1.01869     1.02646  0.00549862
           2     1.93899      1.0377     1.09062   0.0374184
           2     2.00362     1.00488     1.13215    0.089996
           2     2.06826     1.12163     1.13889   0.0122029
           2     2.13289     1.08349     1.06292   0.0145458
           2     2.19752      1.0989     1.04558   0.0377076
           2     2.26216     1.05303     1.05047  0.00180669
           2     2.32679     1.08133     1.07977  0.00110075
           2     2.39142     1.08521     1.14785   0.0442928
           2     2.45606     1.00011     1.08421   0.0594659
