#      BLOCK:    DISTANCE:    ACTUAL_GOFR:   AVE_GOFR:    ERROR:
           1           0           0           0           0
           1    0.064633           0           0           0
           1    0.129266           0           0           0
           1    0.193899           0           0           0
           1    0.258532           0           0           0
           1    0.323165           0           0           0
           1    0.387798           0           0           0
           1    0.452431           0           0           0
           1    0.517064           0           0           0
           1    0.581697           0           0           0
           1     0.64633           0           0           0
           1    0.710963           0           0           0
           1    0.775596           0           0           0
           1     0.84023 0.000598682 0.000598682           0
           1    0.904863    0.142721    0.142721           0
           1    0.969496     1.02559     1.02559           0
           1     1.03413     2.00897     2.00897           0
           1     1.09876     2.37111     2.37111           0
           1     1.16339     2.07967     2.07967           0
           1     1.22803     1.81305     1.81305           0
           1     1.29266     1.63012     1.63012           0
           1     1.35729      1.4615      1.4615           0
           1     1.42193     1.34355     1.34355           0
           1     1.48656     1.24391     1.24391           0
           1     1.55119     1.19082     1.19082           0
           1     1.61583     1.16456     1.16456           0
           1     1.68046     1.12496     1.12496           0
           1     1.74509     1.12301     1.12301           0
           1     1.80973      1.0542      1.0542           0
           1     1.87436     1.04377     1.04377           0
           1     1.93899     1.06809     1.06809           0
           1     2.00362     1.08848     1.08848           0
           1     2.06826     1.07276     1.07276           0
           1     2.13289     1.05509     1.05509           0
           1     2.19752     1.04553     1.04553           0
           1     2.26216     1.04272     1.04272           0
           1     2.32679     1.02988     1.02988           0
           1     2.39142     1.05323     1.05323           0
           1     2.45606     1.03303     1.03303           0
           1     2.52069     1.03477     1.03477           0
           1     2.58532      1.0207      1.0207           0
           1     2.64995     1.00513     1.00513           0
           1     2.71459     1.01465     1.01465           0
           1     2.77922      1.0193      1.0193           0
           1     2.84385     1.02538     1.02538           0
           1     2.90849     1.00706     1.00706           0
           1     2.97312     1.01227     1.01227           0
           1     3.03775     1.01171     1.01171           0
           1     3.10239    0.982159    0.982159           0
           1     3.16702     1.01001     1.01001           0
           1     3.23165    0.987831    0.987831           0
           1     3.29629    0.991245    0.991245           0
           1     3.36092    0.993566    0.993566           0
           1     3.42555     0.99796     0.99796           0
           1     3.49018    0.983577    0.983577           0
           1     3.55482    0.992148    0.992148           0
           1     3.61945     0.98849     0.98849           0
           1     3.68408    0.997757    0.997757           0
           1     3.74872    0.998514    0.998514           0
           1     3.81335    0.990393    0.990393           0
           1     3.87798    0.998542    0.998542           0
           1     3.94262     1.01069     1.01069           0
           1     4.00725    0.990654    0.990654           0
           1     4.07188    0.999547    0.999547           0
           1     4.13651    0.994245    0.994245           0
           1     4.20115     0.99175     0.99175           0
           1     4.26578    0.997347    0.997347           0
           1     4.33041     1.00081     1.00081           0
           1     4.39505    0.987719    0.987719           0
           1     4.45968    0.993963    0.993963           0
           1     4.52431    0.983251    0.983251           0
           1     4.58895    0.988032    0.988032           0
           1     4.65358    0.997411    0.997411           0
           1     4.71821    0.992016    0.992016           0
           1     4.78285     0.99888     0.99888           0
           1     4.84748     1.00067     1.00067           0
           1     4.91211    0.995383    0.995383           0
           1     4.97674    0.991852    0.991852           0
           1     5.04138    0.993456    0.993456           0
           1     5.10601    0.988846    0.988846           0
           1     5.17064    0.979911    0.979911           0
           1     5.23528    0.991296    0.991296           0
           1     5.29991    0.983865    0.983865           0
           1     5.36454    0.986994    0.986994           0
           1     5.42918    0.982071    0.982071           0
           1     5.49381    0.984961    0.984961           0
           1     5.55844    0.984524    0.984524           0
           1     5.62307    0.990821    0.990821           0
           1     5.68771    0.990689    0.990689           0
           1     5.75234    0.986036    0.986036           0
           1     5.81697    0.983824    0.983824           0
           1     5.88161    0.983872    0.983872           0
           1     5.94624    0.983063    0.983063           0
           1     6.01087    0.981177    0.981177           0
           1     6.07551    0.990151    0.990151           0
           1     6.14014    0.985466    0.985466           0
           1     6.20477    0.987221    0.987221           0
           1      6.2694    0.987238    0.987238           0
           1     6.33404     0.98884     0.98884           0
           1     6.39867    0.983904    0.983904           0
           2           0           0           0           0
           2    0.064633           0           0           0
           2    0.129266           0           0           0
           2    0.193899           0           0           0
           2    0.258532           0           0           0
           2    0.323165           0           0           0
           2    0.387798           0           0           0
           2    0.452431           0           0           0
           2    0.517064           0           0           0
           2    0.581697           0           0           0
           2     0.64633           0           0           0
           2    0.710963           0           0           0
           2    0.775596           0           0           0
           2     0.84023  0.00179605  0.00119736 0.000423332
           2    0.904863    0.139607    0.141164  0.00110093
           2    0.969496     1.07464     1.05011   0.0173431
           2     1.03413     2.08513     2.04705   0.0269259
           2     1.09876     2.30019     2.33565   0.0250713
           2     1.16339     2.14121     2.11044   0.0217583
           2     1.22803     1.90403     1.85854   0.0321671
           2     1.29266     1.63947      1.6348  0.00330542
           2     1.35729     1.49739     1.47944   0.0126884
           2     1.42193     1.37114     1.35735  0.00975643
           2     1.48656     1.26901     1.25646  0.00887401
           2     1.55119     1.18354     1.18718  0.00257149
           2     1.61583     1.16775     1.16615  0.00112755
           2     1.68046     1.14843      1.1367  0.00829758
           2     1.74509     1.09703     1.11002  0.00918495
           2     1.80973     1.11614     1.08517    0.021902
           2     1.87436     1.07952     1.06164    0.012638
           2     1.93899     1.09942     1.08376   0.0110762
           2     2.00362     1.06329     1.07589  0.00890626
           2     2.06826     1.08691     1.07983  0.00500538
           2     2.13289     1.05966     1.05738  0.00161619
           2     2.19752     1.07341     1.05947   0.0098565
           2     2.26216     1.07087     1.05679  0.00995212
           2     2.32679     1.05331     1.04159  0.00828458
           2     2.39142      1.0488     1.05102  0.00156424
