#    DISTANCE:      AVERAGE_GOFR:       ERROR:
           0           0                 0
    0.064633           0                 0
    0.129266           0                 0
    0.193899           0                 0
    0.258532           0                 0
    0.323165           0                 0
    0.387798           0                 0
    0.452431           0                 0
    0.517064           0                 0
    0.581697           0                 0
     0.64633           0                 0
    0.710963           0                 0
    0.775596           0                 0
     0.84023 0.000431051       0.000237531
    0.904863    0.141257        0.00656939
    0.969496     1.00976         0.0266268
     1.03413     1.86164         0.0352876
     1.09876     2.07111         0.0383457
     1.16339     1.99875         0.0370523
     1.22803     1.75713         0.0366356
     1.29266     1.55426         0.0304167
     1.35729     1.39421         0.0284479
     1.42193     1.27508         0.0261321
     1.48656     1.20184         0.0215011
     1.55119     1.18772         0.0207677
     1.61583     1.12476         0.0180167
     1.68046     1.07794         0.0199552
     1.74509     1.05503         0.0166386
     1.80973     1.05676         0.0183252
     1.87436     1.05282         0.0161632
     1.93899     1.03549         0.0154392
     2.00362      1.0405         0.0151726
     2.06826     1.02222         0.0146359
     2.13289     1.02029         0.0142009
     2.19752     1.02321         0.0138792
     2.26216     1.02129         0.0141331
     2.32679     1.01842         0.0139761
     2.39142     1.00319         0.0116918
     2.45606     1.01268         0.0127906
     2.52069     1.00203         0.0110333
     2.58532     1.01146         0.0125615
     2.64995     1.01129         0.0114181
     2.71459     1.02635          0.010837
     2.77922     1.00814         0.0100401
     2.84385     1.00482        0.00993355
     2.90849     1.00889        0.00979042
     2.97312    0.988507        0.00990826
     3.03775    0.990394          0.010197
     3.10239    0.986669        0.00887875
     3.16702      1.0031          0.010672
     3.23165    0.991615         0.0102351
     3.29629      0.9911        0.00821554
     3.36092    0.990826         0.0080174
     3.42555    0.998801        0.00810246
     3.49018    0.996918        0.00838264
     3.55482     0.99236        0.00830062
     3.61945    0.981347         0.0078014
     3.68408    0.973479        0.00746703
     3.74872     0.97768         0.0081495
     3.81335    0.976425        0.00786441
     3.87798    0.971657        0.00740563
     3.94262    0.971885        0.00751889
     4.00725    0.977053         0.0070264
     4.07188    0.973578        0.00748099
     4.13651    0.978525        0.00663518
     4.20115    0.978727        0.00682964
     4.26578    0.991371        0.00693483
     4.33041    0.987311        0.00749258
     4.39505     0.98536        0.00653082
     4.45968    0.985143        0.00584377
     4.52431    0.989345        0.00745917
     4.58895    0.987613        0.00703297
     4.65358    0.987886        0.00701142
     4.71821    0.980855        0.00719217
     4.78285    0.989469        0.00600186
     4.84748    0.992441        0.00634006
     4.91211    0.989491        0.00650959
     4.97674    0.974562        0.00667802
     5.04138     0.98113        0.00590388
     5.10601    0.980142        0.00582462
     5.17064    0.986883        0.00623316
     5.23528    0.985704        0.00534977
     5.29991     0.98203         0.0054933
     5.36454    0.980785        0.00507235
     5.42918    0.992185        0.00531656
     5.49381    0.996273        0.00551466
     5.55844    0.995876        0.00573825
     5.62307    0.983157        0.00519288
     5.68771      0.9876        0.00452306
     5.75234     0.98995        0.00482492
     5.81697    0.995223         0.0053075
     5.88161    0.995801         0.0050979
     5.94624    0.984517        0.00449471
     6.01087    0.988647        0.00481983
     6.07551     0.98733        0.00468077
     6.14014    0.989432        0.00522851
     6.20477    0.982259        0.00437686
      6.2694    0.976911        0.00466718
     6.33404    0.982018         0.0044862
     6.39867    0.984498        0.00454247
