#    DISTANCE:      AVERAGE_GOFR:       ERROR:
           0           0                 0
    0.064633           0                 0
    0.129266           0                 0
    0.193899           0                 0
    0.258532           0                 0
    0.323165           0                 0
    0.387798           0                 0
    0.452431           0                 0
    0.517064           0                 0
    0.581697           0                 0
     0.64633           0                 0
    0.710963           0                 0
    0.775596           0                 0
     0.84023 0.000748353       7.73089e-05
    0.904863     0.14871        0.00125187
    0.969496     1.06358        0.00329848
     1.03413     2.05113        0.00622992
     1.09876     2.27504        0.00582941
     1.16339     2.09548        0.00527125
     1.22803     1.84169        0.00457119
     1.29266     1.62725        0.00361232
     1.35729     1.46002        0.00317582
     1.42193     1.34519        0.00273665
     1.48656     1.25112          0.002262
     1.55119     1.19016        0.00209638
     1.61583     1.14878        0.00232776
     1.68046      1.1135        0.00231386
     1.74509     1.09434        0.00200969
     1.80973     1.07694        0.00196472
     1.87436     1.06759        0.00185463
     1.93899     1.06213        0.00181049
     2.00362     1.06116        0.00168854
     2.06826     1.05815        0.00162364
     2.13289     1.05418        0.00169467
     2.19752     1.04829        0.00167991
     2.26216     1.04459        0.00164712
     2.32679     1.03932        0.00160874
     2.39142     1.03308        0.00156874
     2.45606     1.02903         0.0014545
     2.52069     1.02127        0.00156075
     2.58532       1.018        0.00136372
     2.64995     1.01466        0.00146685
     2.71459     1.00949         0.0012609
     2.77922     1.00703        0.00124001
     2.84385      1.0069        0.00133544
     2.90849     1.00373         0.0011372
     2.97312     1.00289        0.00126362
     3.03775      1.0008        0.00114639
     3.10239     1.00012        0.00127998
     3.16702    0.997721        0.00118327
     3.23165    0.999174        0.00109887
     3.29629     0.99416        0.00101962
     3.36092    0.994316        0.00113805
     3.42555    0.994007        0.00100727
     3.49018    0.992691        0.00101563
     3.55482    0.992656       0.000916215
     3.61945    0.991881        0.00109943
     3.68408    0.992122       0.000896319
     3.74872    0.991956       0.000935443
     3.81335    0.989218        0.00091018
     3.87798    0.989796       0.000967039
     3.94262    0.989647       0.000970178
     4.00725     0.98929       0.000874229
     4.07188    0.988462       0.000874966
     4.13651     0.98917       0.000935537
     4.20115    0.988104       0.000805147
     4.26578    0.988336       0.000786786
     4.33041    0.988423       0.000719225
     4.39505    0.987554       0.000660389
     4.45968    0.988171       0.000835036
     4.52431    0.987512       0.000790011
     4.58895    0.986909        0.00081953
     4.65358    0.987541        0.00080496
     4.71821     0.98763       0.000780925
     4.78285    0.986288       0.000736139
     4.84748    0.987393        0.00070806
     4.91211    0.986565       0.000628906
     4.97674    0.986889       0.000648332
     5.04138    0.986303       0.000640335
     5.10601    0.986031       0.000624032
     5.17064    0.986645       0.000634275
     5.23528    0.986361       0.000579175
     5.29991    0.986054       0.000668326
     5.36454    0.985487       0.000633845
     5.42918     0.98516       0.000557174
     5.49381    0.986961       0.000643113
     5.55844     0.98613       0.000540251
     5.62307    0.986703       0.000524103
     5.68771    0.986705       0.000567707
     5.75234    0.986259       0.000544655
     5.81697    0.985625       0.000518571
     5.88161    0.986009       0.000514232
     5.94624    0.985948       0.000528651
     6.01087    0.986138       0.000539129
     6.07551    0.985989       0.000560051
     6.14014    0.985862       0.000553592
     6.20477    0.985537       0.000457492
      6.2694     0.98517       0.000535755
     6.33404    0.985695       0.000532587
     6.39867    0.986104       0.000477725
