#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.416657   -0.416657           0
           2   -0.423855   -0.420256  0.00254485
           3   -0.414399   -0.418304  0.00232803
           4   -0.412516   -0.416857  0.00214915
           5   -0.413977   -0.416281  0.00179483
           6   -0.411158   -0.415427   0.0016866
           7   -0.413749   -0.415187  0.00146259
           8   -0.420301   -0.415826  0.00141256
           9   -0.415227    -0.41576  0.00125717
          10   -0.413409   -0.415525  0.00115323
          11   -0.418809   -0.415823  0.00108636
          12   -0.411691   -0.415479  0.00104898
          13   -0.414759   -0.415424 0.000969747
          14   -0.423231   -0.415981  0.00104863
          15   -0.417041   -0.416052 0.000981101
          16   -0.418163   -0.416184 0.000928612
          17   -0.417595   -0.416267 0.000877693
          18   -0.409301    -0.41588 0.000910257
          19   -0.410196   -0.415581 0.000910179
          20   -0.414575    -0.41553 0.000866058
          21   -0.417713   -0.415634 0.000831029
          22   -0.418514   -0.415765 0.000803499
          23   -0.423739   -0.416112 0.000840035
          24   -0.422162   -0.416364 0.000842004
          25    -0.42279   -0.416621 0.000846644
          26   -0.409488   -0.416347 0.000857376
          27   -0.416458   -0.416351 0.000825632
          28   -0.412039   -0.416197 0.000810381
          29   -0.414974   -0.416155 0.000783533
          30   -0.420388   -0.416296 0.000770016
          31   -0.416679   -0.416308 0.000745276
          32   -0.412634   -0.416193 0.000730778
          33   -0.408719   -0.415967 0.000742903
          34   -0.413139   -0.415884 0.000725693
          35   -0.413908   -0.415827 0.000707151
          36   -0.403903   -0.415496 0.000761138
          37   -0.419407   -0.415602 0.000747872
          38   -0.422352   -0.415779 0.000748993
          39   -0.418336   -0.415845 0.000732653
          40   -0.426429   -0.416109 0.000760618
          41   -0.412291   -0.416016 0.000747746
          42   -0.410127   -0.415876 0.000742975
          43   -0.421251   -0.416001 0.000736136
          44   -0.414005   -0.415956 0.000720802
          45   -0.414408   -0.415921 0.000705604
          46   -0.410362     -0.4158  0.00070054
          47   -0.417234   -0.415831 0.000686299
          48   -0.415342   -0.415821 0.000672076
          49   -0.408128   -0.415664 0.000676451
          50   -0.414874   -0.415648 0.000663107
          51    -0.41143   -0.415565 0.000655242
          52   -0.416949   -0.415592 0.000643181
          53   -0.414573   -0.415573 0.000631333
          54   -0.410349   -0.415476 0.000627009
          55    -0.42183   -0.415591 0.000626163
          56   -0.429963   -0.415848 0.000665501
          57   -0.417925   -0.415885 0.000654822
          58   -0.413636   -0.415846 0.000644678
          59   -0.412111   -0.415782 0.000636852
          60   -0.411733   -0.415715 0.000629805
          61   -0.419935   -0.415784 0.000623267
          62   -0.409755   -0.415687 0.000620753
          63   -0.412808   -0.415641  0.00061258
          64   -0.418405   -0.415684 0.000604528
          65   -0.427574   -0.415867 0.000622285
          66   -0.413613   -0.415833 0.000613793
          67   -0.433784   -0.416101 0.000660524
          68   -0.423266   -0.416206 0.000659162
          69   -0.412679   -0.416155 0.000651589
          70    -0.42524   -0.416285 0.000655077
          71   -0.419795   -0.416335 0.000647713
          72   -0.415336   -0.416321 0.000638865
          73   -0.427115   -0.416469 0.000647001
          74   -0.421706   -0.416539 0.000642117
          75   -0.421365   -0.416604 0.000636771
          76   -0.413077   -0.416557 0.000630082
          77   -0.407469   -0.416439 0.000632856
          78    -0.41828   -0.416463 0.000625182
          79   -0.418549   -0.416489 0.000617826
          80   -0.418921    -0.41652  0.00061085
          81   -0.423188   -0.416602 0.000608832
          82   -0.415326   -0.416586 0.000601606
          83   -0.406295   -0.416462 0.000607001
          84   -0.414495   -0.416439 0.000600227
          85   -0.413632   -0.416406 0.000594073
          86   -0.404395   -0.416266 0.000603358
          87   -0.400767   -0.416088 0.000622169
          88   -0.411983   -0.416041 0.000616845
          89   -0.410157   -0.415975 0.000613447
          90   -0.418209      -0.416 0.000607133
          91   -0.405865   -0.415889 0.000610591
          92    -0.41344   -0.415862 0.000604534
          93   -0.408748   -0.415786 0.000602854
          94   -0.413265   -0.415759 0.000597037
          95   -0.415294   -0.415754 0.000590772
          96   -0.417361   -0.415771 0.000584856
          97   -0.413312   -0.415745 0.000579375
          98   -0.415205    -0.41574  0.00057349
          99   -0.420012   -0.415783 0.000569318
         100    -0.42217   -0.415847 0.000567196
